JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.73308,2.73308,3.46385,7.81043e-05,0,0.730769,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",3.142,3.14208,3.14208,5.18022,7.81043e-05,0,2.03814,,"None"
3,"COMPLETED","Frontier","Aurora",3.472,3.47208,3.47208,3.89516,7.81043e-05,0,0.423077,,"None"
4,"COMPLETED","Perlmutter-Phase-1","Crux",3.666,3.66608,3.66608,4.02608,7.81043e-05,0,0.36,,"None"
5,"COMPLETED","Frontier","Aurora",3.76,3.76008,3.76008,5.04373,7.81043e-05,0,1.28365,,"None"
6,"COMPLETED","Aurora","Perlmutter-Phase-2",3.799,3.79908,3.79908,5.05908,7.81043e-05,0,1.26,,"None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83508,3.83508,13.3351,7.81043e-05,0,9.5,,"None"
8,"COMPLETED","Aurora","Perlmutter-Phase-1",4.196,4.19608,4.19608,6.07608,7.81043e-05,0,1.88,,"None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41108,4.41108,5.03682,7.81043e-05,0,0.625745,,"None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",4.708,4.70808,4.70808,5.602,7.81043e-05,0,0.893921,,"None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",4.741,4.74108,4.74108,6.20711,7.81043e-05,0,1.46603,,"None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74708,4.74708,7.22708,7.81043e-05,0,2.48,,"None"
13,"COMPLETED","Aurora","Perlmutter-Phase-1",4.986,4.98608,4.98608,8.70608,7.81043e-05,0,3.72,,"None"
14,"COMPLETED","Frontier","Perlmutter-Phase-1",5.028,5.02808,5.02808,7.00808,7.81043e-05,0,1.98,,"None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09108,5.09108,6.4856,7.81043e-05,0,1.39452,,"None"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",5.251,5.25108,5.25108,10.6911,7.81043e-05,0,5.44,,"None"
17,"COMPLETED","Frontier","Aurora",5.269,5.26908,5.26908,5.61042,7.81043e-05,0,0.341346,,"None"
18,"COMPLETED","Andes","Perlmutter-Phase-2",5.301,5.30108,5.30108,18.5211,7.81043e-05,0,13.22,,"None"
19,"COMPLETED","Andes","Perlmutter-Phase-2",5.349,5.34908,5.34908,7.90908,7.81043e-05,0,2.56,,"None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36008,5.36008,6.94181,7.81043e-05,0,1.58173,,"None"
21,"COMPLETED","Perlmutter-Phase-1","Crux",5.423,5.42308,5.42308,5.86308,7.81043e-05,0,0.44,,"None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora",5.676,5.67608,5.67608,5.98858,7.81043e-05,0,0.3125,,"None"
23,"COMPLETED","Andes","Perlmutter-Phase-2",5.719,5.71908,5.71908,7.99908,7.81043e-05,0,2.28,,"None"
24,"COMPLETED","Aurora","Perlmutter-Phase-1",5.969,5.96908,5.96908,8.56908,7.81043e-05,0,2.6,,"None"
