JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.73308,2.73308,3.46385,7.81043e-05,0,0.730769,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",3.142,3.14208,3.14208,50.9311,7.81043e-05,0,47.789,,"None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47208,3.47208,21.9047,7.81043e-05,0,18.4327,,"None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.66608,3.66608,11.4661,7.81043e-05,0,7.8,,"None"
5,"COMPLETED","Frontier","Aurora",3.76,3.76008,3.76008,17.5774,7.81043e-05,0,13.8173,,"None"
6,"COMPLETED","Aurora","Perlmutter-Phase-2",3.799,3.79908,3.79908,18.8991,7.81043e-05,0,15.1,,"None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83508,3.83508,101.735,7.81043e-05,0,97.9,,"None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19608,4.19608,9.45569,7.81043e-05,0,5.25962,,"None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41108,4.41108,26.6161,7.81043e-05,0,22.205,,"None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",4.708,4.70808,4.70808,32.6163,7.81043e-05,0,27.9082,,"None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",4.741,4.74108,4.74108,43.2691,7.81043e-05,0,38.528,,"None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74708,4.74708,32.9671,7.81043e-05,0,28.22,,"None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98608,4.98608,14.8803,7.81043e-05,0,9.89423,,"None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02808,5.02808,25.4095,7.81043e-05,0,20.3814,,"None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09108,5.09108,42.2961,7.81043e-05,0,37.205,,"None"
16,"COMPLETED","Aurora","Aurora",5.251,5.25108,5.25108,19.2751,7.81043e-05,0,14.024,,"None"
17,"COMPLETED","Frontier","Aurora",5.269,5.26908,5.26908,9.28831,7.81043e-05,0,4.01923,,"None"
18,"COMPLETED","Andes","Frontier",5.301,5.30108,5.30108,124.228,7.81043e-05,0,118.927,,"None"
19,"COMPLETED","Andes","Frontier",5.349,5.34908,5.34908,31.3086,7.81043e-05,0,25.9595,,"None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36008,5.36008,22.0908,7.81043e-05,0,16.7308,,"None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora",5.423,5.42308,5.42308,7.47116,7.81043e-05,0,2.04808,,"None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora",5.676,5.67608,5.67608,9.42127,7.81043e-05,0,3.74519,,"None"
23,"COMPLETED","Andes","Frontier",5.719,5.71908,5.71908,29.0862,7.81043e-05,0,23.3671,,"None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96908,5.96908,13.0652,7.81043e-05,0,7.09615,,"None"
25,"COMPLETED","Perlmutter-Phase-2","Frontier",5.973,5.97308,5.97308,19.7037,7.81043e-05,0,13.7306,,"None"
26,"COMPLETED","Andes","Frontier",5.993,5.99308,5.99308,126.011,7.81043e-05,0,120.018,,"None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",6.022,6.02208,6.02208,9.6514,7.81043e-05,0,3.62932,,"None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.117,6.11708,6.11708,7.52947,7.81043e-05,0,1.4124,,"None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",6.146,6.14608,6.14608,10.3913,7.81043e-05,0,4.24519,,"None"
30,"COMPLETED","Frontier","Aurora",6.171,6.17108,6.17108,10.0124,7.81043e-05,0,3.84135,,"None"
31,"COMPLETED","Frontier","Frontier",6.212,6.21208,6.21208,32.0464,7.81043e-05,0,25.8343,,"None"
32,"COMPLETED","Andes","Frontier",6.216,6.21608,6.21608,63.0337,7.81043e-05,0,56.8176,,"None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.493,6.49308,6.49308,13.1037,7.81043e-05,0,6.61058,,"None"
34,"COMPLETED","Frontier","Aurora",6.527,6.52708,6.52708,6.93573,7.81043e-05,0,0.408654,,"None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora",6.591,6.59108,6.59108,10.7017,7.81043e-05,0,4.11058,,"None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier",6.595,6.59508,246.932,298.279,7.81043e-05,240.337,51.3468,,"None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.642,6.64208,6.64208,21.2221,7.81043e-05,0,14.58,,"None"
38,"COMPLETED","Frontier","Aurora",6.674,6.67408,6.67408,18.9577,7.81043e-05,0,12.2837,,"None"
39,"COMPLETED","Perlmutter-Phase-2","Aurora",6.694,6.69408,6.69408,11.7373,7.81043e-05,0,5.04327,,"None"
