JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.733,2.73308,2.73308,5.77308,7.81043e-05,0,3.04,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14208,3.14208,56.6021,7.81043e-05,0,53.46,,"None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47208,3.47208,21.9047,7.81043e-05,0,18.4327,,"None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.66608,3.66608,11.4661,7.81043e-05,0,7.8,,"None"
5,"COMPLETED","Frontier","Frontier",3.76,3.76008,3.76008,55.1427,7.81043e-05,0,51.3826,,"None"
6,"COMPLETED","Aurora","Aurora",3.799,3.79908,3.79908,7.42889,7.81043e-05,0,3.62981,,"None"
7,"COMPLETED","Perlmutter-Phase-2","Aurora",3.835,3.83508,3.83508,27.3687,7.81043e-05,0,23.5337,,"None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19608,4.19608,9.45569,7.81043e-05,0,5.25962,,"None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41108,4.41108,26.6161,7.81043e-05,0,22.205,,"None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.708,4.70808,4.70808,35.9281,7.81043e-05,0,31.22,,"None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",4.741,4.74108,4.74108,15.1017,7.81043e-05,0,10.3606,,"None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74708,4.74708,32.9671,7.81043e-05,0,28.22,,"None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98608,4.98608,14.8803,7.81043e-05,0,9.89423,,"None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02808,5.02808,25.4095,7.81043e-05,0,20.3814,,"None"
15,"COMPLETED","Perlmutter-Phase-2","Andes",5.091,5.09108,5.09108,46.7111,7.81043e-05,0,41.62,,"None"
16,"COMPLETED","Aurora","Frontier",5.251,5.25108,5.25108,57.4024,7.81043e-05,0,52.1514,,"None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26908,5.26908,20.2154,7.81043e-05,0,14.9464,,"None"
18,"COMPLETED","Andes","Frontier",5.301,5.30108,5.30108,124.228,7.81043e-05,0,118.927,,"None"
19,"COMPLETED","Andes","Perlmutter-Phase-2",5.349,5.34908,5.34908,34.3891,7.81043e-05,0,29.04,,"None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36008,5.36008,22.0908,7.81043e-05,0,16.7308,,"None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",5.423,5.42308,5.42308,13.9431,7.81043e-05,0,8.52,,"None"
22,"COMPLETED","Perlmutter-Phase-1","Frontier",5.676,5.67608,5.67608,19.6034,7.81043e-05,0,13.9273,,"None"
23,"COMPLETED","Andes","Frontier",5.719,5.71908,5.71908,29.0862,7.81043e-05,0,23.3671,,"None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96908,5.96908,13.0652,7.81043e-05,0,7.09615,,"None"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.973,5.97308,5.97308,21.3331,7.81043e-05,0,15.36,,"None"
26,"COMPLETED","Andes","Frontier",5.993,5.99308,5.99308,126.011,7.81043e-05,0,120.018,,"None"
