JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311078,0.311078,1.06197,7.81043e-05,0,0.750894,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.349,0.349078,0.349078,7.74908,7.81043e-05,0,7.4,,"None"
3,"COMPLETED","Frontier","Frontier",0.545,0.545078,0.545078,2.11838,7.81043e-05,0,1.5733,,"None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670078,0.670078,1.00181,7.81043e-05,0,0.331731,,"None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740078,0.740078,6.08008,7.81043e-05,0,5.34,,"None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999078,0.999078,1.30196,7.81043e-05,0,0.302885,,"None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08608,1.08608,2.1005,7.81043e-05,0,1.01442,,"None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",1.399,1.39908,1.39908,1.89908,7.81043e-05,0,0.5,,"None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54608,1.54608,2.16146,7.81043e-05,0,0.615385,,"None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.027,2.02708,2.02708,5.54708,7.81043e-05,0,3.52,,"None"
11,"COMPLETED","Crux","Aurora",2.104,2.10408,2.10408,2.60889,7.81043e-05,0,0.504808,,"None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16108,2.16108,2.76894,7.81043e-05,0,0.607867,,"None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31308,2.31308,3.26063,7.81043e-05,0,0.947557,,"None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.482,2.48208,2.48208,4.46208,7.81043e-05,0,1.98,,"None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83208,2.83208,4.09169,7.81043e-05,0,1.25962,,"None"
16,"COMPLETED","Aurora","Aurora",3.242,3.24208,3.24208,3.6315,7.81043e-05,0,0.389423,,"None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46908,3.46908,3.79089,7.81043e-05,0,0.321812,,"None"
18,"COMPLETED","Frontier","Frontier",3.655,3.65508,3.65508,9.42981,7.81043e-05,0,5.77473,,"None"
19,"COMPLETED","Frontier","Frontier",3.871,3.87108,3.87108,6.15952,7.81043e-05,0,2.28844,,"None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.007,4.00708,4.00708,6.64708,7.81043e-05,0,2.64,,"None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09408,4.09408,4.4835,7.81043e-05,0,0.389423,,"None"
22,"COMPLETED","Frontier","Frontier",4.243,4.24308,4.24308,4.54701,7.81043e-05,0,0.303933,,"None"
23,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",4.857,4.85708,4.85708,15.1571,7.81043e-05,0,10.3,,"None"
24,"COMPLETED","Crux","Aurora",5.15,5.15008,5.15008,5.77508,7.81043e-05,0,0.625,,"None"
25,"COMPLETED","Crux","Aurora",5.484,5.48408,5.48408,5.89273,7.81043e-05,0,0.408654,,"None"
26,"COMPLETED","Frontier","Frontier",5.615,5.61508,5.61508,11.4613,7.81043e-05,0,5.84625,,"None"
27,"COMPLETED","Frontier","Frontier",5.941,5.94108,5.94108,17.0078,7.81043e-05,0,11.0667,,"None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.364,6.36408,6.36408,7.94408,7.81043e-05,0,1.58,,"None"
29,"COMPLETED","Frontier","Frontier",6.381,6.38108,6.38108,7.72196,7.81043e-05,0,1.34088,,"None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.419,6.41908,6.41908,6.75908,7.81043e-05,0,0.34,,"None"
31,"COMPLETED","Frontier","Frontier",6.449,6.44908,6.44908,9.27387,7.81043e-05,0,2.82479,,"None"
32,"COMPLETED","Aurora","Aurora",6.534,6.53408,6.53408,7.25042,7.81043e-05,0,0.716346,,"None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.612,6.61208,6.61208,9.03208,7.81043e-05,0,2.42,,"None"
