JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311078,0.311078,1.06197,7.81043e-05,0,0.750894,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.349,0.349078,0.349078,78.0291,7.81043e-05,0,77.68,,"None"
3,"COMPLETED","Frontier","Frontier",0.545,0.545078,0.545078,18.9777,7.81043e-05,0,18.4327,,"None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670078,0.670078,4.62681,7.81043e-05,0,3.95673,,"None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0.74,0.740078,0.740078,58.2201,7.81043e-05,0,57.48,,"None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999078,0.999078,4.62889,7.81043e-05,0,3.62981,,"None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08608,1.08608,6.57646,7.81043e-05,0,5.49038,,"None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier",1.399,1.39908,1.39908,19.2239,7.81043e-05,0,17.8248,,"None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54608,1.54608,8.52204,7.81043e-05,0,6.97596,,"None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.027,2.02708,2.02708,40.9671,7.81043e-05,0,38.94,,"None"
11,"COMPLETED","Crux","Crux",2.104,2.10408,2.10408,18.9241,7.81043e-05,0,16.82,,"None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16108,2.16108,23.8834,7.81043e-05,0,21.7223,,"None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31308,2.31308,31.4549,7.81043e-05,0,29.1418,,"None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",2.482,2.48208,2.48208,7.96285,7.81043e-05,0,5.48077,,"None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83208,2.83208,16.3753,7.81043e-05,0,13.5433,,"None"
16,"COMPLETED","Aurora","Aurora",3.242,3.24208,3.24208,13.5209,7.81043e-05,0,10.2788,,"None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46908,3.46908,17.9327,7.81043e-05,0,14.4636,,"None"
18,"COMPLETED","Frontier","Frontier",3.655,3.65508,3.65508,28.2022,7.81043e-05,0,24.5471,,"None"
