JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311687,0.311687,1.06258,0.000686535,0,0.750894,"0.00:0.74:0.00:0.87:0.70:0.65","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora",0.349,0.349613,0.349613,2.12846,0.000612535,0,1.77885,"0.00:0.90:0.00:0.83:0.86:0.00","None"
3,"COMPLETED","Frontier","Aurora",0.545,0.545601,0.545601,0.968677,0.000600535,0,0.423077,"0.00:0.90:0.00:0.87:0.81:0.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670613,0.670613,1.00234,0.000612535,0,0.331731,"0.00:0.93:0.00:0.82:0.80:0.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740606,0.740606,6.08061,0.000605535,0,5.34,"0.61:0.73:0.67:0.74:0.85:0.81","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",0.999,0.999597,0.999597,2.2596,0.000596712,0,1.26,"0.59:0.76:0.71:0.72:0.79:0.74","None"
7,"COMPLETED","Aurora","Crux",1.086,1.08666,1.08666,5.30666,0.000661535,0,4.22,"0.72:0.80:0.83:0.76:0.72:0.67","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier",1.399,1.39958,1.39958,1.84654,0.000582535,0,0.446961,"0.58:0.71:0.63:0.81:0.74:0.69","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54659,1.54659,2.16198,0.000590535,0,0.615385,"0.00:0.92:0.00:0.81:0.80:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora",2.027,2.02759,2.02759,2.87374,0.000586535,0,0.846154,"0.00:0.91:0.00:0.85:0.86:0.00","None"
11,"COMPLETED","Crux","Crux",2.104,2.10462,2.10462,4.20462,0.000619249,0,2.1,"0.71:0.76:0.83:0.73:0.70:0.63","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16159,2.16159,2.76946,0.000589535,0,0.607867,"0.00:0.82:0.00:0.93:0.80:0.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31361,2.31361,3.26117,0.000609535,0,0.947557,"0.00:0.83:0.00:0.93:0.80:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",2.482,2.48261,2.48261,2.95858,0.000613535,0,0.475962,"0.00:0.89:0.00:0.82:0.84:0.00","None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83261,2.83261,4.09223,0.000613535,0,1.25962,"0.00:0.93:0.00:0.83:0.81:0.00","None"
16,"COMPLETED","Aurora","Frontier",3.242,3.24261,3.24261,4.69076,0.000609535,0,1.44815,"0.00:0.86:0.00:0.90:0.81:0.00","None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46961,3.46961,3.79142,0.000607535,0,0.321812,"0.00:0.78:0.00:0.88:0.76:0.00","None"
18,"COMPLETED","Frontier","Frontier",3.655,3.6556,3.6556,9.43034,0.000604535,0,5.77473,"0.76:0.73:0.77:0.78:0.70:0.64","None"
19,"COMPLETED","Frontier","Aurora",3.871,3.87161,3.87161,4.48699,0.000606535,0,0.615385,"0.00:0.89:0.00:0.86:0.81:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Crux",4.007,4.0076,4.0076,6.6476,0.000596535,0,2.64,"0.72:0.73:0.78:0.74:0.75:0.70","None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09461,4.09461,4.48403,0.000606535,0,0.389423,"0.00:0.91:0.00:0.80:0.79:0.00","None"
22,"COMPLETED","Frontier","Frontier",4.243,4.24361,4.24361,4.54754,0.000605535,0,0.303933,"0.00:0.78:0.00:0.90:0.78:0.00","None"
23,"COMPLETED","Perlmutter-Phase-2","Frontier",4.857,4.8576,4.8576,14.065,0.000604392,0,9.20739,"0.67:0.78:0.00:0.79:0.76:0.73","None"
24,"COMPLETED","Crux","Perlmutter-Phase-1",5.15,5.15059,5.15059,7.75059,0.000592696,0,2.6,"0.61:0.79:0.72:0.75:0.81:0.77","None"
25,"COMPLETED","Crux","Crux",5.484,5.4846,5.4846,7.1846,0.000600519,0,1.7,"0.72:0.78:0.83:0.74:0.70:0.65","None"
26,"COMPLETED","Frontier","Frontier",5.615,5.61565,5.61565,11.4619,0.000648535,0,5.84625,"0.76:0.75:0.77:0.80:0.72:0.66","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-1",5.941,5.9416,5.9416,18.3216,0.000598535,0,12.38,"0.65:0.73:0.67:0.78:0.79:0.74","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.364,6.3646,6.3646,7.777,0.000601535,0,1.4124,"0.61:0.74:0.66:0.83:0.75:0.71","None"
29,"COMPLETED","Frontier","Aurora",6.381,6.3816,6.3816,6.74217,0.000596535,0,0.360577,"0.00:0.87:0.00:0.83:0.78:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Frontier",6.419,6.41961,6.41961,6.72354,0.000606712,0,0.303933,"0.00:0.73:0.00:0.82:0.77:0.00","None"
31,"COMPLETED","Frontier","Aurora",6.449,6.4496,6.4496,7.20921,0.000596535,0,0.759615,"0.00:0.89:0.00:0.87:0.81:0.00","None"
32,"COMPLETED","Aurora","Frontier",6.534,6.5346,6.5346,9.19849,0.000602535,0,2.66389,"0.00:0.86:0.00:0.90:0.81:0.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.612,6.6126,6.6126,7.19433,0.000602535,0,0.581731,"0.00:0.88:0.00:0.81:0.84:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Crux",6.668,6.66859,6.66859,7.12859,0.000594535,0,0.46,"0.69:0.65:0.73:0.66:0.68:0.66","None"
35,"COMPLETED","Andes","Frontier",6.753,6.7536,6.7536,7.07541,0.000597535,0,0.321812,"0.63:0.64:0.61:0.79:0.62:0.61","None"
36,"COMPLETED","Frontier","Perlmutter-Phase-1",7.046,7.04661,7.04661,15.2266,0.000609535,0,8.18,"0.00:0.82:0.00:0.86:0.88:0.00","None"
