JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311235,0.311235,1.06213,0.000234889,0,0.750894,"0.51:0.21:0.31:0.62:0.56:0.34","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora",0.349,0.349235,0.349235,2.12808,0.000235244,0,1.77885,"0.47:0.84:0.39:0.59:0.10:0.40","None"
3,"REJECTED","Frontier","Andes",0.545,-1,-1,0.545235,0.000234889,-1,-1,"0.77:0.77:0.25:0.27:0.68:0.53","Job requires GPU while System has none"
4,"COMPLETED","Aurora","Aurora",0.67,0.670235,0.670235,1.00197,0.000234889,0,0.331731,"0.33:0.98:0.20:0.84:0.10:0.51","None"
5,"COMPLETED","Perlmutter-Phase-1","Andes",0.74,0.740235,0.740235,6.08024,0.000235244,0,5.34,"0.99:0.52:0.09:0.33:0.97:0.44","None"
6,"COMPLETED","Aurora","Frontier",0.999,0.999235,0.999235,2.12558,0.000235244,0,1.12634,"0.48:0.38:0.00:0.98:0.85:0.74","None"
7,"COMPLETED","Aurora","Perlmutter-Phase-1",1.086,1.08624,1.08624,5.30624,0.000235244,0,4.22,"0.06:0.84:0.69:0.60:0.87:0.70","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora",1.399,1.39924,1.39924,1.51943,0.000235244,0,0.120192,"0.25:0.76:0.39:0.34:0.13:0.16","None"
9,"REJECTED","Aurora","Crux",1.546,-1,-1,1.54623,0.000234889,-1,-1,"0.47:0.26:0.94:0.14:0.91:0.06","Job requires GPU while System has none"
10,"COMPLETED","Perlmutter-Phase-1","Frontier",2.027,2.02724,2.02724,5.17384,0.000235244,0,3.1466,"0.14:0.06:0.59:0.99:0.86:0.61","None"
11,"COMPLETED","Crux","Aurora",2.104,2.10423,2.10423,2.60904,0.000234889,0,0.504808,"0.44:0.76:0.19:0.23:0.17:0.03","None"
12,"REJECTED","Frontier","Crux",2.161,-1,-1,2.16123,0.000234737,-1,-1,"0.65:0.79:0.95:0.29:0.10:0.42","Job requires more nodes than the System has"
13,"COMPLETED","Frontier","Frontier",2.313,2.31323,2.31323,3.26079,0.000234889,0,0.947557,"0.32:0.64:0.79:0.90:0.57:0.36","None"
14,"REJECTED","Perlmutter-Phase-1","Andes",2.482,-1,-1,2.48224,0.000235244,-1,-1,"0.77:0.46:0.48:0.53:0.44:0.32","Job requires GPU while System has none"
15,"REJECTED","Aurora","Crux",2.832,-1,-1,2.83223,0.000234889,-1,-1,"0.74:0.81:0.97:0.52:0.62:0.81","Job requires GPU while System has none"
16,"REJECTED","Aurora","Crux",3.242,-1,-1,3.24223,0.000234889,-1,-1,"0.04:0.43:0.97:0.33:0.85:0.60","Job requires GPU while System has none"
17,"REJECTED","Frontier","Crux",3.469,-1,-1,3.46923,0.000234737,-1,-1,"0.51:0.46:0.92:0.26:0.45:0.87","Job requires GPU while System has none"
18,"COMPLETED","Frontier","Perlmutter-Phase-2",3.655,3.65523,3.65523,10.1152,0.000234839,0,6.46,"0.95:0.06:0.44:0.90:0.28:0.99","None"
19,"REJECTED","Frontier","Crux",3.871,-1,-1,3.87123,0.000234737,-1,-1,"0.52:0.67:0.98:0.42:0.43:0.84","Job requires GPU while System has none"
20,"COMPLETED","Perlmutter-Phase-1","Aurora",4.007,4.00724,4.00724,4.64185,0.000235244,0,0.634615,"0.65:0.98:0.38:0.38:0.54:0.78","None"
21,"COMPLETED","Aurora","Frontier",4.094,4.09424,4.09424,5.54239,0.000235244,0,1.44815,"0.59:0.79:0.49:0.96:0.02:0.10","None"
22,"COMPLETED","Frontier","Aurora",4.243,4.24323,4.24323,4.32497,0.000234839,0,0.0817308,"0.62:0.69:0.53:0.43:0.15:0.59","None"
23,"REJECTED","Perlmutter-Phase-2","Crux",4.857,-1,-1,4.85724,0.000235244,-1,-1,"0.47:0.12:0.53:0.13:0.22:0.24","Job requires more nodes than the System has"
24,"COMPLETED","Crux","Frontier",5.15,5.15024,5.15024,7.47443,0.00023518,0,2.3242,"0.20:0.02:0.93:0.99:0.63:0.61","None"
25,"COMPLETED","Crux","Aurora",5.484,5.48423,5.48423,5.89289,0.000234889,0,0.408654,"0.03:0.74:0.47:0.34:0.52:0.68","None"
26,"COMPLETED","Frontier","Crux",5.615,5.61523,5.61523,12.1552,0.000234737,0,6.54,"0.74:0.15:0.76:0.69:0.67:0.69","None"
27,"COMPLETED","Frontier","Frontier",5.941,5.94123,5.94123,17.008,0.000234889,0,11.0667,"0.40:0.33:0.53:0.89:0.72:0.52","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.364,6.36424,6.36424,7.77663,0.000235244,0,1.4124,"0.39:0.38:0.40:0.84:0.23:0.35","None"
29,"COMPLETED","Frontier","Aurora",6.381,6.38123,6.38123,6.74181,0.000234839,0,0.360577,"0.10:0.91:0.64:0.26:0.74:0.25","None"
30,"REJECTED","Perlmutter-Phase-1","Andes",6.419,-1,-1,6.41924,0.000235244,-1,-1,"0.96:0.68:0.74:0.62:0.56:0.37","Job requires GPU while System has none"
31,"REJECTED","Frontier","Crux",6.449,-1,-1,6.44923,0.000234737,-1,-1,"0.37:0.82:0.88:0.73:0.81:0.68","Job requires GPU while System has none"
32,"COMPLETED","Aurora","Frontier",6.534,6.53424,6.53424,9.19812,0.000235244,0,2.66389,"0.53:0.67:0.21:0.84:0.80:0.28","None"
33,"REJECTED","Perlmutter-Phase-1","Andes",6.612,-1,-1,6.61224,0.000235244,-1,-1,"0.87:0.40:0.05:0.78:0.67:0.87","Job requires GPU while System has none"
34,"COMPLETED","Perlmutter-Phase-1","Andes",6.668,6.66824,6.66824,7.12824,0.000235244,0,0.46,"0.97:0.10:0.06:0.79:0.63:0.56","None"
35,"COMPLETED","Andes","Crux",6.753,6.75323,6.75323,7.11323,0.000234737,0,0.36,"0.42:0.55:0.59:0.39:0.45:0.12","None"
36,"COMPLETED","Frontier","Perlmutter-Phase-1",7.046,7.04623,7.04623,15.2262,0.000234839,0,8.18,"0.59:0.70:0.61:0.33:0.75:0.60","None"
