JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Andes",0.311,-1,-1,0.311235,0.000234889,-1,-1,"0.94:0.74:0.17:0.17:0.12:0.31","Job requires more nodes than the System has"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",0.349,0.349235,0.349235,6.96425,0.000235244,0,6.61502,"0.11:0.58:0.65:0.93:0.12:0.51","None"
3,"REJECTED","Frontier","Andes",0.545,-1,-1,0.545235,0.000234889,-1,-1,"0.70:0.31:0.24:0.36:0.35:0.62","Job requires GPU while System has none"
4,"REJECTED","Aurora","Crux",0.67,-1,-1,0.670235,0.000234889,-1,-1,"0.91:0.85:0.98:0.92:0.84:0.60","Job requires more nodes than the System has"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0.74,0.740235,0.740235,52.1228,0.000235244,0,51.3826,"0.61:0.35:0.69:0.77:0.50:0.17","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",0.999,0.999235,0.999235,16.0992,0.000235244,0,15.1,"0.53:0.63:0.52:0.28:0.87:0.61","None"
7,"COMPLETED","Aurora","Perlmutter-Phase-1",1.086,1.08624,1.08624,23.9262,0.000235244,0,22.84,"0.59:0.58:0.71:0.09:0.78:0.45","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",1.399,1.39923,1.39923,1.89923,0.000234696,0,0.5,"0.34:0.68:0.08:0.34:0.91:0.81","None"
9,"COMPLETED","Aurora","Frontier",1.546,1.54624,1.54624,27.4878,0.000235244,0,25.9416,"0.23:0.62:0.83:0.87:0.86:0.46","None"
10,"REJECTED","Perlmutter-Phase-1","Crux",2.027,-1,-1,2.02724,0.000235244,-1,-1,"0.71:0.17:0.74:0.05:0.41:0.51","Job requires more nodes than the System has"
11,"COMPLETED","Crux","Perlmutter-Phase-1",2.104,2.10424,16.0992,32.9192,0.000235212,13.995,16.82,"0.32:0.30:0.22:0.45:0.51:0.44","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16123,2.16123,2.7691,0.000234889,0,0.607867,"0.77:0.00:0.26:0.80:0.52:0.10","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31323,2.31323,31.4551,0.000234889,0,29.1418,"0.40:0.45:0.25:0.94:0.20:0.21","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",2.482,2.48224,2.48224,7.963,0.000235244,0,5.48077,"0.46:0.51:0.48:0.48:0.26:0.46","None"
15,"REJECTED","Aurora","Perlmutter-Phase-2",2.832,-1,-1,2.83224,0.000235244,-1,-1,"0.03:0.09:0.02:0.08:0.47:0.59","Job requires GPU while System has none"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",3.242,3.24224,23.9262,66.6862,0.000235244,20.684,42.76,"0.54:0.31:0.82:0.31:0.99:0.30","None"
17,"REJECTED","Frontier","Andes",3.469,-1,-1,3.46923,0.000234889,-1,-1,"0.63:0.34:0.05:0.35:0.46:0.60","Job requires more nodes than the System has"
18,"REJECTED","Frontier","Perlmutter-Phase-2",3.655,-1,-1,3.65523,0.000234839,-1,-1,"0.50:0.54:0.63:0.42:0.66:0.71","Job requires more nodes than the System has"
19,"REJECTED","Frontier","Perlmutter-Phase-1",3.871,-1,-1,3.87123,0.000234839,-1,-1,"0.77:0.36:0.83:0.74:0.91:0.17","Job requires more nodes than the System has"
20,"COMPLETED","Perlmutter-Phase-1","Aurora",4.007,4.00724,4.00724,8.47839,0.000235244,0,4.47115,"0.06:0.76:0.32:0.72:0.59:0.25","None"
21,"REJECTED","Aurora","Perlmutter-Phase-2",4.094,-1,-1,4.09424,0.000235244,-1,-1,"0.30:0.24:0.20:0.65:0.47:0.72","Job requires GPU while System has none"
22,"REJECTED","Frontier","Andes",4.243,-1,-1,4.24323,0.000234889,-1,-1,"0.88:0.55:0.60:0.70:0.83:0.15","Job requires more nodes than the System has"
23,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.857,4.85723,4.85723,15.1572,0.000234696,0,10.3,"0.06:0.60:0.31:0.58:0.59:0.78","None"
24,"COMPLETED","Crux","Crux",5.15,5.15023,5.15023,34.6702,0.000234889,0,29.52,"0.71:0.34:0.88:0.78:0.33:0.81","None"
25,"COMPLETED","Crux","Crux",5.484,5.48423,34.6702,36.3702,0.000234889,29.186,1.7,"0.35:0.46:0.99:0.33:0.92:0.21","None"
26,"COMPLETED","Frontier","Aurora",5.615,5.61523,5.61523,12.2547,0.000234839,0,6.63942,"0.16:0.68:0.40:0.19:0.11:0.04","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-2",5.941,5.94123,5.94123,18.3212,0.000234839,0,12.38,"0.49:0.68:0.87:0.36:0.70:0.93","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.364,6.36423,6.36423,48.4042,0.000234696,0,42.04,"0.95:0.32:0.30:0.25:0.53:0.98","None"
29,"REJECTED","Frontier","Perlmutter-Phase-2",6.381,-1,-1,6.38123,0.000234839,-1,-1,"0.43:0.87:0.14:0.67:0.39:0.98","Job requires more nodes than the System has"
30,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.419,-1,-1,6.41923,0.000234696,-1,-1,"0.77:0.85:0.06:0.93:0.53:0.98","Job requires GPU while System has none"
31,"REJECTED","Frontier","Andes",6.449,-1,-1,6.44923,0.000234889,-1,-1,"0.75:0.02:0.56:0.47:0.69:0.67","Job requires more nodes than the System has"
32,"REJECTED","Aurora","Andes",6.534,-1,-1,6.53424,0.000235244,-1,-1,"0.89:0.44:0.43:0.28:0.13:0.80","Job requires more nodes than the System has"
33,"REJECTED","Perlmutter-Phase-1","Crux",6.612,-1,-1,6.61224,0.000235244,-1,-1,"0.26:0.25:0.81:0.62:0.02:0.60","Job requires more nodes than the System has"
34,"REJECTED","Perlmutter-Phase-1","Crux",6.668,-1,-1,6.66824,0.000235244,-1,-1,"0.45:0.41:0.98:0.73:0.87:0.71","Job requires more nodes than the System has"
35,"COMPLETED","Andes","Andes",6.753,6.75323,6.75323,23.2132,0.000234889,0,16.46,"0.82:0.69:0.07:0.22:0.46:0.44","None"
36,"REJECTED","Frontier","Crux",7.046,-1,-1,7.04623,0.000234737,-1,-1,"0.21:0.85:0.90:0.34:0.82:0.85","Job requires more nodes than the System has"
37,"REJECTED","Aurora","Perlmutter-Phase-2",7.236,-1,-1,7.23624,0.000235244,-1,-1,"0.32:0.42:0.35:0.80:0.72:0.86","Job requires GPU while System has none"
38,"REJECTED","Aurora","Crux",7.295,-1,-1,7.29523,0.000234889,-1,-1,"0.16:0.01:0.94:0.58:0.37:0.76","Job requires more nodes than the System has"
39,"COMPLETED","Perlmutter-Phase-2","Aurora",7.343,7.34324,7.34324,12.3865,0.000235244,0,5.04327,"0.45:0.79:0.66:0.01:0.79:0.46","None"
40,"COMPLETED","Perlmutter-Phase-2","Frontier",7.887,7.88724,7.88724,18.4713,0.000235244,0,10.584,"0.79:0.69:0.42:0.88:0.25:0.02","None"
41,"REJECTED","Frontier","Perlmutter-Phase-2",7.917,-1,-1,7.91723,0.000234839,-1,-1,"0.26:0.48:0.30:0.59:0.77:0.81","Job requires more nodes than the System has"
42,"REJECTED","Aurora","Perlmutter-Phase-2",8.684,-1,-1,8.68424,0.000235244,-1,-1,"0.05:0.81:0.10:0.67:0.16:0.99","Job requires GPU while System has none"
43,"COMPLETED","Aurora","Aurora",9.145,9.14523,9.14523,15.1885,0.000234889,0,6.04327,"0.21:0.92:0.31:0.14:0.19:0.90","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",9.171,9.17123,9.17123,62.3912,0.000234696,0,53.22,"0.47:0.74:0.25:0.72:0.67:0.84","None"
45,"COMPLETED","Frontier","Aurora",9.34,9.34023,9.34023,15.2633,0.000234839,0,5.92308,"0.12:0.89:0.80:0.30:0.50:0.66","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",9.753,9.75323,9.75323,11.3732,0.000234696,0,1.62,"0.24:0.73:0.73:0.63:0.93:0.65","None"
47,"COMPLETED","Aurora","Aurora",9.805,9.80523,9.80523,29.762,0.000234889,0,19.9567,"0.70:0.95:0.01:0.56:0.80:0.87","None"
48,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",9.815,9.81523,9.81523,94.7952,0.000234696,0,84.98,"0.53:0.26:0.48:0.26:0.45:0.94","None"
49,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",9.979,9.97923,62.3912,99.1312,0.000234696,52.412,36.74,"0.06:0.08:0.78:0.05:0.72:0.90","None"
50,"REJECTED","Frontier","Andes",10.37,-1,-1,10.3702,0.000234889,-1,-1,"0.97:0.85:0.76:0.94:0.24:0.41","Job requires more nodes than the System has"
51,"REJECTED","Frontier","Perlmutter-Phase-2",10.481,-1,-1,10.4812,0.000234839,-1,-1,"0.24:0.57:0.28:0.41:0.01:0.71","Job requires GPU while System has none"
52,"REJECTED","Perlmutter-Phase-2","Andes",10.708,-1,-1,10.7082,0.000235244,-1,-1,"0.95:0.47:0.46:0.79:0.31:0.43","Job requires more nodes than the System has"
