JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311589,0.311589,1.06248,0.000588535,0,0.750894,"0.00:0.74:0.00:0.88:0.72:0.73","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora",0.349,0.349604,0.349604,2.12845,0.000603535,0,1.77885,"0.00:0.90:0.00:0.84:0.87:0.00","None"
3,"COMPLETED","Frontier","Aurora",0.545,0.545582,0.545582,0.968658,0.000581535,0,0.423077,"0.00:0.90:0.00:0.88:0.83:0.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670604,0.670604,1.00233,0.000603535,0,0.331731,"0.00:0.93:0.00:0.83:0.82:0.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0.74,0.740591,0.740591,6.08059,0.000590535,0,5.34,"0.68:0.73:0.74:0.74:0.86:0.88","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-2",0.999,0.999586,0.999586,2.25959,0.000585535,0,1.26,"0.66:0.76:0.78:0.73:0.80:0.81","None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08659,1.08659,6.57698,0.000591535,0,5.49038,"0.00:0.82:0.00:0.80:0.70:0.74","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier",1.399,1.39959,1.39959,1.84655,0.000589535,0,0.446961,"0.65:0.71:0.71:0.82:0.75:0.76","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54659,1.54659,2.16198,0.000593535,0,0.615385,"0.00:0.93:0.00:0.82:0.82:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora",2.027,2.02759,2.02759,2.87375,0.000594535,0,0.846154,"0.00:0.92:0.00:0.85:0.88:0.00","None"
11,"COMPLETED","Crux","Crux",2.104,2.10459,2.10459,4.20459,0.000587712,0,2.1,"0.78:0.77:0.91:0.73:0.71:0.71","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16159,2.16159,2.76946,0.000592535,0,0.607867,"0.00:0.82:0.00:0.94:0.82:0.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31341,2.31341,31.4552,0.000411084,0,29.1418,"0.00:0.00:0.00:0.95:0.00:0.00","None"
