JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311293,0.311293,1.06219,0.000292579,0,0.750894,"0.00:0.69:0.00:0.97:0.68:0.69","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.349,0.349293,0.349293,7.74929,0.000292535,0,7.4,"0.00:0.82:0.00:0.81:0.96:0.00","None"
3,"COMPLETED","Frontier","Frontier",0.545,0.545294,0.545294,2.1186,0.000293535,0,1.5733,"0.00:0.88:0.00:0.97:0.85:0.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670295,0.670295,1.00203,0.000294535,0,0.331731,"0.00:1.00:0.00:0.69:0.69:0.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740294,0.740294,6.08029,0.000293535,0,5.34,"0.69:0.84:0.74:0.83:0.95:0.81","None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999292,0.999292,1.30218,0.000291535,0,0.302885,"0.68:0.98:0.79:0.68:0.68:0.70","None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08629,1.08629,6.57667,0.000289476,0,5.49038,"0.00:0.97:0.00:0.69:0.69:0.70","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",1.399,1.39929,1.39929,1.89929,0.000291507,0,0.5,"0.69:0.82:0.75:0.87:0.95:0.80","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54629,1.54629,2.16168,0.000293535,0,0.615385,"0.00:0.94:0.00:0.74:0.73:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.027,2.0273,2.0273,5.5473,0.000295535,0,3.52,"0.00:0.83:0.00:0.87:0.96:0.00","None"
11,"COMPLETED","Crux","Aurora",2.104,2.10429,2.10429,2.6091,0.000292519,0,0.504808,"0.70:0.91:0.81:0.68:0.67:0.69","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16129,2.16129,2.76916,0.000291535,0,0.607867,"0.00:0.80:0.00:0.97:0.83:0.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31324,2.31324,31.4551,0.000244535,0,29.1418,"0.00:0.00:0.00:0.98:0.00:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.482,2.48229,2.48229,4.46229,0.000289535,0,1.98,"0.00:0.68:0.00:0.62:0.95:0.00","None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83229,2.83229,4.09191,0.000291535,0,1.25962,"0.00:0.94:0.00:0.84:0.92:0.00","None"
16,"COMPLETED","Aurora","Aurora",3.242,3.24229,3.24229,3.63171,0.000289535,0,0.389423,"0.00:0.93:0.00:0.84:0.91:0.00","None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46929,3.46929,17.9329,0.000285535,0,14.4636,"0.00:0.67:0.00:0.88:0.00:0.00","None"
18,"COMPLETED","Frontier","Frontier",3.655,3.65529,3.65529,9.43002,0.000288535,0,5.77473,"0.72:0.62:0.70:0.82:0.67:0.69","None"
19,"COMPLETED","Frontier","Perlmutter-Phase-1",3.871,3.87129,3.87129,6.43129,0.000294535,0,2.56,"0.00:0.86:0.00:0.84:0.88:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.007,4.0073,4.0073,6.6473,0.000300535,0,2.64,"0.70:0.62:0.70:0.54:0.93:0.80","None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09429,4.09429,4.48371,0.000286535,0,0.389423,"0.00:0.93:0.00:0.59:0.70:0.00","None"
22,"COMPLETED","Frontier","Frontier",4.243,4.24329,4.24329,4.54723,0.000294535,0,0.303933,"0.00:0.64:0.00:0.81:0.68:0.00","None"
23,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",4.857,4.85729,4.85729,15.1573,0.000290535,0,10.3,"0.70:0.62:0.00:0.54:0.93:0.80","None"
24,"COMPLETED","Crux","Aurora",5.15,5.15029,5.15029,12.2464,0.000291519,0,7.09615,"0.69:0.92:0.80:0.70:0.69:0.76","None"
25,"COMPLETED","Crux","Aurora",5.484,5.48429,5.48429,5.89295,0.000292519,0,0.408654,"0.70:0.88:0.81:0.54:0.54:0.69","None"
26,"COMPLETED","Frontier","Frontier",5.615,5.61529,5.61529,11.4615,0.000292535,0,5.84625,"0.72:0.60:0.70:0.82:0.54:0.69","None"
27,"COMPLETED","Frontier","Frontier",5.941,5.94129,5.94129,17.008,0.000289535,0,11.0667,"0.70:0.75:0.73:0.83:0.68:0.75","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.364,6.36429,6.36429,7.94429,0.000291535,0,1.58,"0.67:0.63:0.68:0.57:0.80:0.80","None"
29,"COMPLETED","Frontier","Frontier",6.381,6.38129,6.38129,22.1679,0.000292535,0,15.7867,"0.00:0.76:0.00:0.84:0.00:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.419,6.41929,6.41929,6.75929,0.000290535,0,0.34,"0.00:0.71:0.00:0.63:0.75:0.00","None"
31,"COMPLETED","Frontier","Frontier",6.449,6.44929,6.44929,9.27408,0.000292535,0,2.82479,"0.00:0.81:0.00:0.82:0.72:0.00","None"
32,"COMPLETED","Aurora","Aurora",6.534,6.53429,6.53429,7.25064,0.000290535,0,0.716346,"0.00:0.91:0.00:0.79:0.79:0.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.612,6.61229,6.61229,9.03229,0.000290535,0,2.42,"0.00:0.72:0.00:0.58:0.82:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.668,6.6683,6.6683,7.1283,0.000296535,0,0.46,"0.70:0.66:0.70:0.53:0.76:0.78","None"
35,"COMPLETED","Andes","Frontier",6.753,6.75329,6.75329,7.07511,0.000293535,0,0.321812,"0.69:0.67:0.68:0.74:0.56:0.69","None"
36,"COMPLETED","Frontier","Aurora",7.046,7.04629,7.04629,9.01263,0.000288535,0,1.96635,"0.00:0.96:0.00:0.82:0.82:0.00","None"
37,"COMPLETED","Aurora","Aurora",7.236,7.23629,7.23629,10.7411,0.000291535,0,3.50481,"0.00:0.98:0.00:0.55:0.57:0.00","None"
38,"COMPLETED","Aurora","Aurora",7.295,7.29529,7.29529,8.96837,0.000291535,0,1.67308,"0.00:0.93:0.00:0.60:0.61:0.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",7.343,7.34329,7.34329,28.3233,0.000292535,0,20.98,"0.00:0.65:0.00:0.56:0.81:0.80","None"
40,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",7.887,7.88729,7.88729,8.82729,0.000294535,0,0.94,"0.70:0.62:0.70:0.53:0.47:0.79","None"
41,"COMPLETED","Frontier","Frontier",7.917,7.91729,7.91729,101.833,0.000292535,0,93.9154,"0.00:0.82:0.00:0.83:0.00:0.00","None"
42,"COMPLETED","Aurora","Aurora",8.684,8.68429,8.68429,9.34295,0.000293535,0,0.658654,"0.00:0.91:0.00:0.75:0.50:0.00","None"
43,"COMPLETED","Aurora","Aurora",9.145,9.1453,9.1453,9.31837,0.000297535,0,0.173077,"0.69:0.85:0.79:0.64:0.38:0.75","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",9.171,9.17129,9.17129,11.4313,0.000292535,0,2.26,"0.69:0.78:0.74:0.65:0.50:0.79","None"
45,"COMPLETED","Frontier","Frontier",9.34,9.34029,9.34029,13.8457,0.000290579,0,4.50536,"0.72:0.61:0.70:0.75:0.24:0.68","None"
46,"COMPLETED","Perlmutter-Phase-1","Aurora",9.753,9.75329,9.75329,10.1427,0.000290535,0,0.389423,"0.00:0.64:0.00:0.50:0.50:0.00","None"
47,"COMPLETED","Aurora","Aurora",9.805,9.80529,9.80529,29.762,0.000293535,0,19.9567,"0.00:0.94:0.00:0.67:0.42:0.00","None"
48,"COMPLETED","Perlmutter-Phase-2","Aurora",9.815,9.81529,9.81529,11.7768,0.000288535,0,1.96154,"0.70:0.86:0.78:0.73:0.51:0.80","None"
49,"COMPLETED","Perlmutter-Phase-2","Aurora",9.979,9.97929,9.97929,18.811,0.000292535,0,8.83173,"0.00:0.83:0.00:0.70:0.40:0.79","None"
50,"COMPLETED","Frontier","Frontier",10.37,10.3703,10.3703,11.5145,0.000294535,0,1.14422,"0.00:0.68:0.00:0.74:0.39:0.00","None"
51,"COMPLETED","Frontier","Frontier",10.481,10.4813,10.4813,11.6434,0.000293535,0,1.1621,"0.00:0.54:0.00:0.74:0.25:0.00","None"
52,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10.708,10.7083,10.7083,11.5283,0.000292535,0,0.82,"0.70:0.51:0.70:0.49:0.45:0.77","None"
53,"COMPLETED","Perlmutter-Phase-2","Aurora",10.785,10.7853,10.7853,28.3863,0.000294535,0,17.601,"0.00:0.83:0.00:0.75:0.48:0.79","None"
54,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10.939,10.9393,10.9393,23.6593,0.000295535,0,12.72,"0.00:0.52:0.00:0.48:0.35:0.79","None"
55,"COMPLETED","Frontier","Frontier",11.085,11.0853,11.0853,11.5859,0.000293579,0,0.500596,"0.00:0.70:0.00:0.70:0.40:0.00","None"
56,"COMPLETED","Aurora","Crux",11.856,11.8563,11.8563,12.5163,0.000306535,0,0.66,"0.69:0.75:0.79:0.64:0.40:0.66","None"
57,"COMPLETED","Aurora","Aurora",12.025,12.0253,12.0253,14.9339,0.000291535,0,2.90865,"0.00:0.84:0.00:0.57:0.32:0.00","None"
58,"COMPLETED","Aurora","Aurora",12.06,12.0603,12.0603,13.4545,0.000290535,0,1.39423,"0.00:0.82:0.00:0.57:0.33:0.00","None"
59,"COMPLETED","Perlmutter-Phase-2","Aurora",12.525,12.5253,12.5253,13.1936,0.000300535,0,0.668269,"0.69:0.80:0.78:0.74:0.50:0.70","None"
60,"COMPLETED","Perlmutter-Phase-2","Aurora",13.286,13.2863,13.2863,14.1421,0.000301535,0,0.855769,"0.69:0.76:0.76:0.70:0.50:0.70","None"
61,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",13.369,13.3693,13.3693,17.2693,0.000292519,0,3.9,"0.70:0.54:0.70:0.48:0.49:0.70","None"
62,"COMPLETED","Perlmutter-Phase-1","Crux",13.421,13.4213,13.4213,14.1413,0.000289535,0,0.72,"0.69:0.71:0.74:0.66:0.45:0.68","None"
63,"COMPLETED","Perlmutter-Phase-1","Aurora",13.566,13.5663,13.5663,14.0759,0.000292535,0,0.509615,"0.00:0.63:0.00:0.57:0.50:0.00","None"
64,"COMPLETED","Frontier","Frontier",13.901,13.9013,13.9013,98.5556,0.000290535,0,84.6544,"0.00:0.71:0.00:0.78:0.00:0.00","None"
65,"COMPLETED","Frontier","Frontier",13.945,13.9453,13.9453,15.0359,0.000292535,0,1.09058,"0.00:0.57:0.00:0.71:0.26:0.00","None"
66,"COMPLETED","Aurora","Aurora",14.018,14.0183,14.0183,14.8308,0.000291535,0,0.8125,"0.00:0.83:0.00:0.66:0.43:0.00","None"
67,"COMPLETED","Frontier","Frontier",14.056,14.0563,14.0563,31.0229,0.000289535,0,16.9666,"0.00:0.65:0.00:0.76:0.00:0.00","None"
68,"COMPLETED","Andes","Andes",14.103,14.1033,14.1033,20.1033,0.000290561,0,6,"0.72:0.56:0.70:0.70:0.25:0.61","None"
69,"COMPLETED","Perlmutter-Phase-2","Aurora",15.055,15.0553,15.0553,23.8245,0.000286535,0,8.76923,"0.00:0.72:0.00:0.60:0.40:0.71","None"
70,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",15.127,15.1273,15.1273,18.0873,0.000296535,0,2.96,"0.67:0.49:0.68:0.44:0.50:0.71","None"
71,"COMPLETED","Perlmutter-Phase-2","Crux",15.233,15.2333,15.2333,19.5533,0.000288535,0,4.32,"0.69:0.75:0.78:0.70:0.62:0.70","None"
72,"COMPLETED","Frontier","Frontier",15.461,15.4613,15.4613,19.1442,0.000288535,0,3.68296,"0.00:0.69:0.00:0.71:0.55:0.00","None"
73,"COMPLETED","Aurora","Aurora",15.596,15.5963,15.5963,16.1828,0.000295535,0,0.586538,"0.70:0.76:0.74:0.68:0.59:0.69","None"
74,"COMPLETED","Perlmutter-Phase-1","Aurora",15.642,15.6423,15.6423,16.0317,0.000291535,0,0.389423,"0.00:0.67:0.00:0.61:0.60:0.00","None"
75,"COMPLETED","Frontier","Frontier",15.886,15.8863,15.8863,17.102,0.000292535,0,1.21573,"0.00:0.59:0.00:0.68:0.45:0.00","None"
76,"COMPLETED","Aurora","Aurora",15.944,15.9443,15.9443,18.6991,0.000289535,0,2.75481,"0.00:0.79:0.00:0.72:0.64:0.00","None"
77,"COMPLETED","Aurora","Aurora",16.712,16.7123,16.7123,16.8181,0.000293535,0,0.105769,"0.00:0.65:0.00:0.49:0.42:0.00","None"
78,"COMPLETED","Aurora","Aurora",16.726,16.7263,16.7263,20.0676,0.000290535,0,3.34135,"0.00:0.80:0.00:0.71:0.62:0.00","None"
