JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311052,0.311052,1.06195,5.20843e-05,0,0.750894,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.349,0.349052,0.349052,7.74905,5.20843e-05,0,7.4,"1.00","None"
3,"COMPLETED","Frontier","Frontier",0.545,0.545052,0.545052,2.11835,5.20843e-05,0,1.5733,"1.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670052,0.670052,1.00178,5.20843e-05,0,0.331731,"1.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740052,0.740052,6.08005,5.20843e-05,0,5.34,"1.00","None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999052,0.999052,1.30194,5.20843e-05,0,0.302885,"1.00","None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08605,1.08605,6.57644,5.20843e-05,0,5.49038,"1.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",1.399,1.39905,1.39905,1.89905,5.20843e-05,0,0.5,"1.00","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54605,1.54605,2.16144,5.20843e-05,0,0.615385,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.027,2.02705,2.02705,5.54705,5.20843e-05,0,3.52,"1.00","None"
11,"COMPLETED","Crux","Crux",2.104,2.10405,2.10405,4.20405,5.20843e-05,0,2.1,"1.00","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16105,2.16105,2.76892,5.20843e-05,0,0.607867,"1.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31305,2.31305,31.4549,5.20843e-05,0,29.1418,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.482,2.48205,2.48205,4.46205,5.20843e-05,0,1.98,"1.00","None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83205,2.83205,4.09167,5.20843e-05,0,1.25962,"1.00","None"
16,"COMPLETED","Aurora","Aurora",3.242,3.24205,3.24205,3.63148,5.20843e-05,0,0.389423,"1.00","None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46905,3.46905,17.9327,5.20843e-05,0,14.4636,"1.00","None"
18,"COMPLETED","Frontier","Frontier",3.655,3.65505,3.65505,9.42978,5.20843e-05,0,5.77473,"1.00","None"
19,"COMPLETED","Frontier","Frontier",3.871,3.87105,3.87105,6.15949,5.20843e-05,0,2.28844,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.007,4.00705,4.00705,6.64705,5.20843e-05,0,2.64,"1.00","None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09405,4.09405,4.48348,5.20843e-05,0,0.389423,"1.00","None"
22,"COMPLETED","Frontier","Frontier",4.243,4.24305,4.24305,4.54699,5.20843e-05,0,0.303933,"1.00","None"
23,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.857,4.85705,4.85705,15.1571,5.20843e-05,0,10.3,"1.00","None"
24,"COMPLETED","Crux","Crux",5.15,5.15005,5.15005,34.6701,5.20843e-05,0,29.52,"1.00","None"
25,"COMPLETED","Crux","Crux",5.484,5.48405,34.6701,36.3701,5.20843e-05,29.186,1.7,"1.00","None"
26,"COMPLETED","Frontier","Frontier",5.615,5.61505,5.61505,11.4613,5.20843e-05,0,5.84625,"1.00","None"
