JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311594,0.311594,1.06249,0.000593535,0,0.750894,"0.00:0.74:0.00:0.87:0.70:0.65","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora",0.349,0.349596,0.349596,19.0227,0.000595535,0,18.6731,"0.00:0.94:0.00:0.88:0.86:0.00","None"
3,"COMPLETED","Frontier","Frontier",0.545,0.5454,0.5454,18.9781,0.000400084,0,18.4327,"0.00:0.00:0.00:0.89:0.00:0.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670597,0.670597,4.62733,0.000596535,0,3.95673,"0.00:0.96:0.00:0.87:0.81:0.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740596,0.740596,58.2206,0.000595535,0,57.48,"0.00:0.80:0.00:0.80:0.84:0.83","None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999591,0.999591,4.6294,0.000590535,0,3.62981,"0.00:0.82:0.00:0.79:0.79:0.78","None"
7,"COMPLETED","Aurora","Aurora",1.086,1.0866,1.0866,6.57699,0.000603535,0,5.49038,"0.00:0.82:0.00:0.79:0.67:0.67","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier",1.399,1.39959,1.39959,19.2244,0.000594535,0,17.8248,"0.00:0.78:0.00:0.86:0.72:0.72","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.54659,1.54659,8.52255,0.000589535,0,6.97596,"0.00:0.96:0.00:0.87:0.81:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora",2.027,2.02759,2.02759,11.3882,0.000590535,0,9.36058,"0.00:0.92:0.00:0.87:0.81:0.00","None"
11,"COMPLETED","Crux","Aurora",2.104,2.10459,2.10459,6.14786,0.000587535,0,4.04327,"0.69:0.82:0.75:0.79:0.72:0.70","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16141,2.16141,23.8837,0.000407084,0,21.7223,"0.00:0.00:0.00:0.94:0.00:0.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.3134,2.3134,31.4552,0.000403084,0,29.1418,"0.00:0.00:0.00:0.93:0.00:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",2.482,2.4826,2.4826,7.96337,0.000596535,0,5.48077,"0.00:0.93:0.00:0.87:0.84:0.00","None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83259,2.83259,16.3759,0.000589535,0,13.5433,"0.00:0.96:0.00:0.87:0.82:0.00","None"
16,"COMPLETED","Aurora","Frontier",3.242,3.24265,3.24265,41.4667,0.000647535,0,38.2241,"0.00:0.89:0.00:0.91:0.78:0.00","None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46961,3.46961,17.9333,0.000605535,0,14.4636,"0.00:0.86:0.00:0.95:0.00:0.00","None"
