JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0.311,0.311299,0.311299,1.06219,0.000298535,0,0.750894,"0.00:0.69:0.00:0.97:0.68:0.69","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.349,0.349295,0.349295,78.0293,0.000294535,0,77.68,"0.00:0.86:0.00:0.84:0.96:0.00","None"
3,"COMPLETED","Frontier","Frontier",0.545,0.545245,0.545245,18.9779,0.000244535,0,18.4327,"0.00:0.00:0.00:0.97:0.00:0.00","None"
4,"COMPLETED","Aurora","Aurora",0.67,0.670291,0.670291,4.62702,0.000290535,0,3.95673,"0.00:1.00:0.00:0.63:0.55:0.00","None"
5,"COMPLETED","Perlmutter-Phase-1","Aurora",0.74,0.740287,0.740287,14.5576,0.000286535,0,13.8173,"0.00:0.83:0.00:0.78:0.81:0.81","None"
6,"COMPLETED","Aurora","Aurora",0.999,0.999295,0.999295,4.6291,0.000294535,0,3.62981,"0.00:0.94:0.00:0.63:0.54:0.70","None"
7,"COMPLETED","Aurora","Aurora",1.086,1.08629,1.08629,6.57668,0.000292535,0,5.49038,"0.00:0.91:0.00:0.63:0.56:0.70","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier",1.399,1.39929,1.39929,19.2241,0.000289535,0,17.8248,"0.00:0.79:0.00:0.84:0.81:0.80","None"
9,"COMPLETED","Aurora","Aurora",1.546,1.5463,1.5463,8.52226,0.000295535,0,6.97596,"0.00:0.88:0.00:0.66:0.63:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.027,2.02729,2.02729,40.9673,0.000291535,0,38.94,"0.00:0.75:0.00:0.76:0.82:0.00","None"
11,"COMPLETED","Crux","Aurora",2.104,2.10429,2.10429,6.14756,0.000289519,0,4.04327,"0.70:0.84:0.81:0.58:0.20:0.70","None"
12,"COMPLETED","Frontier","Frontier",2.161,2.16124,2.16124,23.8835,0.000241579,0,21.7223,"0.00:0.00:0.00:0.88:0.00:0.00","None"
13,"COMPLETED","Frontier","Frontier",2.313,2.31324,2.31324,31.4551,0.000244535,0,29.1418,"0.00:0.00:0.00:0.79:0.00:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",2.482,2.48229,2.48229,7.96306,0.000289535,0,5.48077,"0.00:0.61:0.00:0.45:0.26:0.00","None"
15,"COMPLETED","Aurora","Aurora",2.832,2.83229,2.83229,16.3756,0.000292535,0,13.5433,"0.00:0.83:0.00:0.63:0.33:0.00","None"
16,"COMPLETED","Aurora","Aurora",3.242,3.24229,3.24229,13.5211,0.000294535,0,10.2788,"0.00:0.81:0.00:0.64:0.30:0.00","None"
17,"COMPLETED","Frontier","Frontier",3.469,3.46929,3.46929,17.9329,0.000288535,0,14.4636,"0.00:0.50:0.00:0.68:0.00:0.00","None"
18,"COMPLETED","Frontier","Frontier",3.655,3.6553,3.6553,28.2024,0.000295535,0,24.5471,"0.00:0.44:0.00:0.63:0.00:0.00","None"
19,"COMPLETED","Frontier","Aurora",3.871,3.87124,3.87124,10.852,0.000242597,0,6.98077,"0.00:0.68:0.00:0.63:0.00:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",4.007,4.00729,4.00729,22.6073,0.000289499,0,18.6,"0.00:0.42:0.00:0.32:0.23:0.80","None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09429,4.09429,8.68083,0.000291535,0,4.58654,"0.00:0.74:0.00:0.39:0.26:0.00","None"
22,"COMPLETED","Frontier","Frontier",4.243,4.24324,4.24324,17.9381,0.000243712,0,13.6949,"0.00:0.00:0.00:0.63:0.00:0.00","None"
23,"COMPLETED","Perlmutter-Phase-2","Andes",4.857,4.85729,4.85729,15.1573,0.000287535,0,10.3,"0.70:0.45:0.00:0.23:0.20:0.69","None"
24,"COMPLETED","Crux","Crux",5.15,5.15029,5.15029,34.6703,0.000291535,0,29.52,"0.42:0.75:0.80:0.39:0.35:0.65","None"
25,"COMPLETED","Crux","Aurora",5.484,5.48431,5.48431,9.17662,0.000312519,0,3.69231,"0.43:0.73:0.12:0.24:0.20:0.59","None"
26,"COMPLETED","Frontier","Frontier",5.615,5.61529,5.61529,30.3054,0.000291535,0,24.6901,"0.00:0.43:0.00:0.52:0.00:0.00","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-2",5.941,5.94129,5.94129,18.3213,0.000292519,0,12.38,"0.42:0.58:0.08:0.47:0.33:0.64","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.364,6.36429,6.36429,48.4043,0.000289535,0,42.04,"0.00:0.59:0.00:0.32:0.31:0.69","None"
29,"COMPLETED","Frontier","Aurora",6.381,6.38124,6.38124,10.6264,0.000242535,0,4.24519,"0.00:0.60:0.00:0.48:0.00:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora",6.419,6.41929,6.41929,10.1741,0.000290535,0,3.75481,"0.00:0.62:0.00:0.37:0.48:0.00","None"
31,"COMPLETED","Frontier","Aurora",6.449,6.44924,6.44924,14.9204,0.000243526,0,8.47115,"0.00:0.61:0.00:0.48:0.00:0.00","None"
32,"COMPLETED","Aurora","Aurora",6.534,6.53429,6.53429,21.8131,0.000291535,0,15.2788,"0.00:0.69:0.00:0.45:0.34:0.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.612,6.61229,6.61229,13.2229,0.000293535,0,6.61058,"0.00:0.48:0.00:0.26:0.28:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.668,6.66829,6.66829,15.4283,0.000287499,0,8.76,"0.00:0.37:0.00:0.19:0.47:0.52","None"
35,"COMPLETED","Andes","Frontier",6.753,6.75329,6.75329,21.4672,0.000291535,0,14.7139,"0.42:0.40:0.00:0.47:0.21:0.36","None"
36,"COMPLETED","Frontier","Aurora",7.046,7.04624,7.04624,27.5366,0.000243535,0,20.4904,"0.00:0.66:0.00:0.46:0.00:0.00","None"
37,"COMPLETED","Aurora","Aurora",7.236,7.23629,7.23629,10.7411,0.000291535,0,3.50481,"0.00:0.67:0.00:0.18:0.21:0.00","None"
38,"COMPLETED","Aurora","Aurora",7.295,7.29529,7.29529,24.9203,0.000293535,0,17.625,"0.00:0.63:0.00:0.28:0.27:0.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",7.343,7.34329,7.34329,28.3233,0.000291535,0,20.98,"0.00:0.32:0.00:0.19:0.24:0.46","None"
40,"COMPLETED","Perlmutter-Phase-2","Aurora",7.887,7.88729,7.88729,10.7334,0.000285535,0,2.84615,"0.00:0.29:0.00:0.17:0.21:0.24","None"
