JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Andes",0.311,-1,-1,0.311235,0.000234889,-1,-1,"0.99:0.12:0.27:0.97:0.40:0.45","Job requires more nodes than the System has"
2,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",0.349,-1,-1,0.349235,0.000234696,-1,-1,"0.10:0.67:0.14:0.36:0.10:0.80","Job requires GPU while System has none"
3,"REJECTED","Frontier","Andes",0.545,-1,-1,0.545235,0.000234889,-1,-1,"0.99:0.76:0.90:0.94:0.35:0.13","Job requires more nodes than the System has"
4,"COMPLETED","Aurora","Aurora",0.67,0.670235,0.670235,4.62697,0.000234889,0,3.95673,"0.32:0.79:0.51:0.60:0.10:0.37","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0.74,0.740235,0.740235,58.2202,0.000234696,0,57.48,"0.57:0.59:0.43:0.57:0.89:0.33","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",0.999,0.999235,0.999235,16.0992,0.000235244,0,15.1,"0.66:0.15:0.42:0.74:0.76:0.75","None"
7,"COMPLETED","Aurora","Frontier",1.086,1.08624,1.08624,21.5034,0.000235244,0,20.4172,"0.45:0.47:0.65:0.72:0.06:0.22","None"
8,"REJECTED","Perlmutter-Phase-2","Andes",1.399,-1,-1,1.39924,0.000235244,-1,-1,"0.93:0.10:0.58:0.80:0.51:0.54","Job requires more nodes than the System has"
9,"REJECTED","Aurora","Perlmutter-Phase-2",1.546,-1,-1,1.54624,0.000235244,-1,-1,"0.30:0.91:0.49:0.88:0.37:0.92","Job requires GPU while System has none"
10,"REJECTED","Perlmutter-Phase-1","Andes",2.027,-1,-1,2.02724,0.000235244,-1,-1,"0.95:0.52:0.28:0.50:0.82:0.42","Job requires more nodes than the System has"
11,"COMPLETED","Crux","Perlmutter-Phase-1",2.104,2.10424,2.10424,18.9242,0.000235212,0,16.82,"0.12:0.39:0.50:0.01:0.67:0.57","None"
12,"REJECTED","Frontier","Perlmutter-Phase-1",2.161,-1,-1,2.16123,0.000234839,-1,-1,"0.74:0.63:0.95:0.88:0.96:0.23","Job requires more nodes than the System has"
13,"REJECTED","Frontier","Perlmutter-Phase-1",2.313,-1,-1,2.31323,0.000234839,-1,-1,"0.11:0.64:0.38:0.17:0.98:0.42","Job requires more nodes than the System has"
14,"COMPLETED","Perlmutter-Phase-1","Frontier",2.482,2.48224,2.48224,22.8636,0.000235244,0,20.3814,"0.71:0.50:0.27:0.72:0.68:0.23","None"
15,"COMPLETED","Aurora","Perlmutter-Phase-1",2.832,2.83224,2.83224,59.1722,0.000235244,0,56.34,"0.02:0.25:0.74:0.70:0.82:0.67","None"
16,"REJECTED","Aurora","Andes",3.242,-1,-1,3.24224,0.000235244,-1,-1,"0.88:0.53:0.71:0.50:0.16:0.24","Job requires more nodes than the System has"
17,"REJECTED","Frontier","Andes",3.469,-1,-1,3.46923,0.000234889,-1,-1,"0.97:0.43:0.25:0.68:0.20:0.63","Job requires more nodes than the System has"
18,"REJECTED","Frontier","Andes",3.655,-1,-1,3.65523,0.000234889,-1,-1,"0.90:0.71:0.80:0.51:0.72:0.60","Job requires more nodes than the System has"
19,"REJECTED","Frontier","Perlmutter-Phase-2",3.871,-1,-1,3.87123,0.000234839,-1,-1,"0.16:0.84:0.63:0.04:0.10:0.94","Job requires more nodes than the System has"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.007,4.00723,16.0992,34.6992,0.000234696,12.092,18.6,"0.27:0.03:0.75:0.41:0.77:0.01","None"
21,"COMPLETED","Aurora","Aurora",4.094,4.09423,4.09423,8.68077,0.000234889,0,4.58654,"0.04:0.90:0.50:0.80:0.50:0.74","None"
22,"REJECTED","Frontier","Andes",4.243,-1,-1,4.24323,0.000234889,-1,-1,"0.95:0.23:0.55:0.58:0.33:0.32","Job requires more nodes than the System has"
23,"REJECTED","Perlmutter-Phase-2","Crux",4.857,-1,-1,4.85724,0.000235244,-1,-1,"0.75:0.71:0.79:0.17:0.67:0.53","Job requires more nodes than the System has"
24,"COMPLETED","Crux","Perlmutter-Phase-1",5.15,5.15024,18.9242,48.4442,0.000235212,13.774,29.52,"0.54:0.09:0.48:0.22:0.90:0.11","None"
25,"COMPLETED","Crux","Crux",5.484,5.48423,5.48423,20.8442,0.000234889,0,15.36,"0.30:0.48:0.78:0.51:0.37:0.46","None"
26,"REJECTED","Frontier","Crux",5.615,-1,-1,5.61523,0.000234737,-1,-1,"0.39:0.17:0.81:0.38:0.24:0.12","Job requires more nodes than the System has"
27,"COMPLETED","Frontier","Perlmutter-Phase-2",5.941,5.94123,5.94123,18.3212,0.000234839,0,12.38,"0.39:0.66:0.44:0.38:0.47:0.75","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.364,6.36424,6.36424,43.9447,0.000235244,0,37.5805,"0.13:0.68:0.55:0.74:0.07:0.38","None"
29,"REJECTED","Frontier","Perlmutter-Phase-1",6.381,-1,-1,6.38123,0.000234839,-1,-1,"0.18:0.47:0.02:0.45:0.72:0.20","Job requires more nodes than the System has"
30,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.419,-1,-1,6.41923,0.000234696,-1,-1,"0.03:0.06:0.77:0.78:0.65:0.85","Job requires GPU while System has none"
31,"REJECTED","Frontier","Crux",6.449,-1,-1,6.44923,0.000234737,-1,-1,"0.03:0.18:0.88:0.21:0.45:0.41","Job requires more nodes than the System has"
32,"REJECTED","Aurora","Crux",6.534,-1,-1,6.53423,0.000234889,-1,-1,"0.09:0.81:0.83:0.61:0.54:0.50","Job requires more nodes than the System has"
33,"REJECTED","Perlmutter-Phase-1","Crux",6.612,-1,-1,6.61224,0.000235244,-1,-1,"0.03:0.59:0.91:0.23:0.71:0.11","Job requires more nodes than the System has"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.668,6.66823,6.66823,15.4282,0.000234696,0,8.76,"0.40:0.65:0.10:0.22:0.66:0.97","None"
35,"REJECTED","Andes","Crux",6.753,-1,-1,6.75323,0.000234737,-1,-1,"0.02:0.60:0.84:0.47:0.66:0.35","Job requires more nodes than the System has"
36,"REJECTED","Frontier","Perlmutter-Phase-1",7.046,-1,-1,7.04623,0.000234839,-1,-1,"0.98:0.52:0.76:0.34:0.98:0.76","Job requires more nodes than the System has"
37,"COMPLETED","Aurora","Frontier",7.236,7.23624,7.23624,20.2696,0.000235244,0,13.0334,"0.62:0.03:0.61:1.00:0.11:0.88","None"
38,"REJECTED","Aurora","Perlmutter-Phase-2",7.295,-1,-1,7.29524,0.000235244,-1,-1,"0.21:0.01:0.79:0.70:0.56:0.94","Job requires GPU while System has none"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",7.343,7.34323,58.2202,79.2002,0.000234696,50.877,20.98,"0.24:0.80:0.54:0.48:0.80:0.09","None"
40,"COMPLETED","Perlmutter-Phase-2","Frontier",7.887,7.88724,7.88724,18.4713,0.000235244,0,10.584,"0.15:0.91:0.27:0.97:0.30:0.94","None"
41,"REJECTED","Frontier","Andes",7.917,-1,-1,7.91723,0.000234889,-1,-1,"0.91:0.66:0.85:0.90:0.83:0.88","Job requires more nodes than the System has"
42,"COMPLETED","Aurora","Perlmutter-Phase-1",8.684,8.68424,61.2992,92.1592,0.000235244,52.615,30.86,"0.80:0.77:0.32:0.76:0.96:0.83","None"
43,"REJECTED","Aurora","Perlmutter-Phase-1",9.145,-1,-1,9.14524,0.000235244,-1,-1,"0.81:0.28:0.55:0.71:0.94:0.32","Job requires more nodes than the System has"
44,"COMPLETED","Perlmutter-Phase-1","Frontier",9.171,9.17124,9.17124,56.7457,0.000235244,0,47.5745,"0.11:0.01:0.04:0.98:0.74:0.46","None"
45,"REJECTED","Frontier","Crux",9.34,-1,-1,9.34023,0.000234737,-1,-1,"0.61:0.04:0.93:0.66:0.13:0.07","Job requires more nodes than the System has"
46,"REJECTED","Perlmutter-Phase-1","Andes",9.753,-1,-1,9.75324,0.000235244,-1,-1,"0.94:0.28:0.10:0.54:0.28:0.82","Job requires more nodes than the System has"
47,"REJECTED","Aurora","Crux",9.805,-1,-1,9.80523,0.000234889,-1,-1,"0.03:0.30:0.75:0.30:0.03:0.75","Job requires more nodes than the System has"
48,"COMPLETED","Perlmutter-Phase-2","Frontier",9.815,9.81524,9.81524,85.7807,0.000235244,0,75.9654,"0.60:0.95:0.04:0.95:0.54:0.92","None"
49,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",9.979,9.97923,171.359,208.099,0.000234696,161.38,36.74,"0.04:0.61:0.10:0.84:0.94:0.23","None"
50,"REJECTED","Frontier","Perlmutter-Phase-1",10.37,-1,-1,10.3702,0.000234839,-1,-1,"0.65:0.79:0.13:0.64:0.96:0.20","Job requires more nodes than the System has"
51,"REJECTED","Frontier","Andes",10.481,-1,-1,10.4812,0.000234889,-1,-1,"0.94:0.65:0.52:0.55:0.01:0.24","Job requires more nodes than the System has"
52,"COMPLETED","Perlmutter-Phase-2","Frontier",10.708,10.7082,10.7082,20.6665,0.000235244,0,9.95828,"0.45:0.16:0.75:0.97:0.16:0.04","None"
53,"REJECTED","Perlmutter-Phase-2","Andes",10.785,-1,-1,10.7852,0.000235244,-1,-1,"0.93:0.91:0.92:0.30:0.38:0.86","Job requires more nodes than the System has"
54,"COMPLETED","Perlmutter-Phase-2","Aurora",10.939,10.9392,10.9392,13.9969,0.000235244,0,3.05769,"0.45:0.72:0.15:0.63:0.08:0.23","None"
55,"REJECTED","Frontier","Crux",11.085,-1,-1,11.0852,0.000234737,-1,-1,"0.57:0.09:0.89:0.78:0.03:0.16","Job requires more nodes than the System has"
56,"COMPLETED","Aurora","Perlmutter-Phase-2",11.856,11.8562,11.8562,36.0562,0.000235244,0,24.2,"0.42:0.45:0.48:0.39:0.74:0.84","None"
57,"REJECTED","Aurora","Andes",12.025,-1,-1,12.0252,0.000235244,-1,-1,"0.93:0.08:0.86:0.45:0.42:0.42","Job requires more nodes than the System has"
58,"REJECTED","Aurora","Andes",12.06,-1,-1,12.0602,0.000235244,-1,-1,"0.91:0.13:0.21:0.55:0.68:0.60","Job requires more nodes than the System has"
59,"REJECTED","Perlmutter-Phase-2","Andes",12.525,-1,-1,12.5252,0.000235244,-1,-1,"0.94:0.01:0.60:0.68:0.90:0.84","Job requires more nodes than the System has"
60,"COMPLETED","Perlmutter-Phase-2","Aurora",13.286,13.2862,13.2862,30.4209,0.000235244,0,17.1346,"0.84:0.98:0.52:0.16:0.34:0.29","None"
61,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",13.369,13.3692,13.3692,35.4292,0.000234696,0,22.06,"0.14:0.59:0.42:0.12:0.22:0.70","None"
62,"REJECTED","Perlmutter-Phase-1","Crux",13.421,-1,-1,13.4212,0.000235244,-1,-1,"0.60:0.37:0.90:0.01:0.89:0.90","Job requires more nodes than the System has"
63,"REJECTED","Perlmutter-Phase-1","Crux",13.566,-1,-1,13.5662,0.000235244,-1,-1,"0.93:0.17:0.97:0.78:0.02:0.28","Job requires more nodes than the System has"
64,"REJECTED","Frontier","Perlmutter-Phase-1",13.901,-1,-1,13.9012,0.000234839,-1,-1,"0.48:0.33:0.85:0.15:0.96:0.92","Job requires more nodes than the System has"
65,"REJECTED","Frontier","Crux",13.945,-1,-1,13.9452,0.000234737,-1,-1,"0.21:0.66:0.88:0.05:0.82:0.12","Job requires more nodes than the System has"
66,"REJECTED","Aurora","Crux",14.018,-1,-1,14.0182,0.000234889,-1,-1,"0.11:0.15:0.64:0.42:0.18:0.63","Job requires more nodes than the System has"
67,"REJECTED","Frontier","Andes",14.056,-1,-1,14.0562,0.000234889,-1,-1,"0.85:0.52:0.06:0.67:0.44:0.69","Job requires more nodes than the System has"
68,"COMPLETED","Andes","Perlmutter-Phase-1",14.103,14.1032,34.6992,61.2992,0.000234839,20.596,26.6,"0.16:0.70:0.02:0.64:0.79:0.77","None"
69,"REJECTED","Perlmutter-Phase-2","Andes",15.055,-1,-1,15.0552,0.000235244,-1,-1,"0.93:0.07:0.08:0.67:0.77:0.19","Job requires more nodes than the System has"
70,"REJECTED","Perlmutter-Phase-1","Andes",15.127,-1,-1,15.1272,0.000235244,-1,-1,"0.94:0.33:0.26:0.85:0.82:0.30","Job requires more nodes than the System has"
71,"REJECTED","Perlmutter-Phase-2","Crux",15.233,-1,-1,15.2332,0.000235244,-1,-1,"0.61:0.61:0.93:0.38:0.20:0.65","Job requires more nodes than the System has"
72,"REJECTED","Frontier","Perlmutter-Phase-1",15.461,-1,-1,15.4612,0.000234839,-1,-1,"0.00:0.76:0.54:0.27:0.85:0.05","Job requires more nodes than the System has"
73,"COMPLETED","Aurora","Aurora",15.596,15.5962,15.5962,22.2645,0.000234889,0,6.66827,"0.01:1.00:0.97:0.96:0.61:0.77","None"
74,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",15.642,15.6422,79.2002,122.12,0.000234696,63.558,42.92,"0.65:0.52:0.58:0.63:0.99:0.28","None"
