JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,153.6,5.41239e-05,0,153.6,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,71.8713,5.67842e-05,0,71.8713,"1.00","None"
3,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,208.8,5.41239e-05,0,208.8,"1.00","None"
4,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,236.4,5.41239e-05,0,236.4,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,233.85,5.67842e-05,0,233.85,"1.00","None"
6,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,745.53,5.67842e-05,0,745.53,"1.00","None"
7,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,116.4,5.41239e-05,0,116.4,"1.00","None"
8,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,80.453,5.67842e-05,0,80.4529,"1.00","None"
9,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,109.416,5.67842e-05,0,109.416,"1.00","None"
10,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,145.888,5.67842e-05,0,145.888,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,173.778,5.67842e-05,0,173.778,"1.00","None"
12,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,99.7617,5.67842e-05,0,99.7616,"1.00","None"
13,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,200.596,5.67842e-05,0,200.596,"1.00","None"
14,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,167.342,5.67842e-05,0,167.342,"1.00","None"
15,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,161.979,5.67842e-05,0,161.979,"1.00","None"
16,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,136.234,5.67842e-05,0,136.234,"1.00","None"
17,"COMPLETED","Andes","Andes",0,5.41239e-05,116.4,168,5.41239e-05,116.4,51.6,"1.00","None"
18,"COMPLETED","Andes","Andes",0,5.41239e-05,879.6,1422,5.41239e-05,879.6,542.4,"1.00","None"
19,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,26.4001,5.41239e-05,0,26.4,"1.00","None"
20,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,155.542,5.67842e-05,0,155.542,"1.00","None"
21,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,78.3076,5.67842e-05,0,78.3075,"1.00","None"
22,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,94.3981,5.67842e-05,0,94.3981,"1.00","None"
23,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,150.179,5.67842e-05,0,150.179,"1.00","None"
24,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,184.505,5.67842e-05,0,184.505,"1.00","None"
25,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,197.378,5.67842e-05,0,197.378,"1.00","None"
26,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,558.88,5.67842e-05,0,558.88,"1.00","None"
27,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,279.976,5.67842e-05,0,279.976,"1.00","None"
28,"COMPLETED","Andes","Andes",0,5.41239e-05,153.6,183.6,5.41239e-05,153.6,30,"1.00","None"
29,"COMPLETED","Andes","Andes",0,5.41239e-05,612,740.4,5.41239e-05,612,128.4,"1.00","None"
30,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,133.016,5.67842e-05,0,133.015,"1.00","None"
31,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,254.231,5.67842e-05,0,254.231,"1.00","None"
32,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,67.5805,5.67842e-05,0,67.5805,"1.00","None"
33,"COMPLETED","Andes","Andes",0,5.41239e-05,172.8,282,5.41239e-05,172.8,109.2,"1.00","None"
34,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,79.3803,5.67842e-05,0,79.3802,"1.00","None"
35,"COMPLETED","Andes","Andes",0,5.41239e-05,236.4,385.2,5.41239e-05,236.4,148.8,"1.00","None"
36,"COMPLETED","Andes","Andes",0,5.41239e-05,26.4001,75.6001,5.41239e-05,26.4,49.2,"1.00","None"
37,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,181.287,5.67842e-05,0,181.287,"1.00","None"
38,"COMPLETED","Andes","Andes",0,5.41239e-05,26.4001,105.6,5.41239e-05,26.4,79.2,"1.00","None"
39,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,30.0358,5.67842e-05,0,30.0358,"1.00","None"
40,"COMPLETED","Andes","Andes",0,5.41239e-05,5.41239e-05,151.2,5.41239e-05,0,151.2,"1.00","None"
41,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,453.755,5.67842e-05,0,453.754,"1.00","None"
42,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,113.707,5.67842e-05,0,113.707,"1.00","None"
43,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,172.706,5.67842e-05,0,172.706,"1.00","None"
44,"COMPLETED","Andes","Andes",0,5.41239e-05,164.4,328.8,5.41239e-05,164.4,164.4,"1.00","None"
45,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,585.697,5.67842e-05,0,585.697,"1.00","None"
46,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,79.3803,5.67842e-05,0,79.3802,"1.00","None"
47,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,93.3254,5.67842e-05,0,93.3254,"1.00","None"
48,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,18.2361,5.67842e-05,0,18.236,"1.00","None"
49,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,216.687,5.67842e-05,0,216.687,"1.00","None"
50,"COMPLETED","Andes","Andes",0,5.41239e-05,208.8,318,5.41239e-05,208.8,109.2,"1.00","None"
51,"COMPLETED","Andes","Andes",0,5.41239e-05,183.6,204,5.41239e-05,183.6,20.4,"1.00","None"
52,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,256.377,5.67842e-05,0,256.377,"1.00","None"
53,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,748.749,5.67842e-05,0,748.749,"1.00","None"
54,"COMPLETED","Andes","Andes",0,5.41239e-05,204,234,5.41239e-05,204,30,"1.00","None"
55,"COMPLETED","Frontier","Frontier",0,5.67842e-05,5.67842e-05,298.212,5.67842e-05,0,298.212,"1.00","None"
