JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000615453,193.088,220.978,0.000615453,193.087,27.8903,"0.00:0.87:0.00:0.72:0.76:0.00","None"
2,"COMPLETED","Frontier","Aurora",0,0.000645504,0.000645504,78.4622,0.000645504,0,78.4615,"0.00:0.89:0.00:0.91:0.00:0.00","None"
3,"COMPLETED","Andes","Frontier",0,0.000616931,277.831,297.14,0.000616931,277.831,19.3087,"0.80:0.88:0.70:0.73:0.77:0.70","None"
4,"COMPLETED","Frontier","Frontier",0,0.000632797,1241.12,1422.41,0.000632797,1241.12,181.287,"0.00:0.88:0.00:0.84:0.00:0.00","None"
5,"COMPLETED","Frontier","Frontier",0,0.000632115,458.046,562.098,0.000632115,458.045,104.052,"0.00:0.95:0.00:0.83:0.00:0.00","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000646053,0.000646053,256.801,0.000646053,0,256.8,"0.85:0.79:0.78:0.73:0.89:0.82","None"
7,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000675654,0.000675654,523.201,0.000675654,0,523.2,"0.85:0.79:0.79:0.73:0.89:0.82","None"
8,"COMPLETED","Frontier","Aurora",0,0.000643251,0.000643251,81.3468,0.000643251,0,81.3462,"0.00:0.88:0.00:0.91:0.00:0.83","None"
9,"COMPLETED","Frontier","Frontier",0,0.000459479,9161.22,10768.1,0.000459479,9161.22,1606.91,"0.00:0.85:0.00:0.00:0.00:0.00","None"
10,"COMPLETED","Frontier","Frontier",0,0.000627447,386.175,458.046,0.000627447,386.174,71.8713,"0.00:0.87:0.00:0.82:0.00:0.00","None"
11,"COMPLETED","Frontier","Frontier",0,0.00047018,36011.1,37944.1,0.00047018,36011.1,1933.02,"0.00:0.85:0.00:0.00:0.00:0.00","None"
12,"COMPLETED","Frontier","Frontier",0,0.000618382,1241.12,1409.54,0.000618382,1241.12,168.415,"0.00:0.88:0.00:0.84:0.00:0.00","None"
13,"COMPLETED","Frontier","Frontier",0,0.000616931,82.5989,249.941,0.000616931,82.5983,167.342,"0.00:0.94:0.00:0.81:0.00:0.82","None"
14,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000637559,0.000637559,834.001,0.000637559,0,834,"0.83:0.81:0.73:0.76:0.90:0.82","None"
15,"COMPLETED","Frontier","Aurora",0,0.000640765,0.000640765,49.616,0.000640765,0,49.6154,"0.00:0.88:0.00:0.90:0.00:0.83","None"
16,"COMPLETED","Andes","Andes",0,0.000614155,0.000614155,21.6006,0.000614155,0,21.6,"0.91:0.79:0.81:0.73:0.77:0.70","None"
