JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,27.8904,5.74049e-05,0,27.8903,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,291.776,5.74049e-05,0,291.776,"1.00","None"
3,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,21.6001,5.35032e-05,0,21.6,"1.00","None"
4,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,181.287,5.74049e-05,0,181.287,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,104.053,5.74049e-05,0,104.052,"1.00","None"
6,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,256.8,5.35032e-05,0,256.8,"1.00","None"
7,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,523.2,5.35032e-05,0,523.2,"1.00","None"
8,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,302.503,5.74049e-05,0,302.503,"1.00","None"
9,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,1606.91,5.74049e-05,0,1606.91,"1.00","None"
10,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,71.8713,5.74049e-05,0,71.8713,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,1933.02,5.74049e-05,0,1933.02,"1.00","None"
12,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,168.415,5.74049e-05,0,168.415,"1.00","None"
13,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,167.342,5.74049e-05,0,167.342,"1.00","None"
14,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,834,5.35032e-05,0,834,"1.00","None"
15,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,184.505,5.74049e-05,0,184.505,"1.00","None"
16,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,21.6001,5.35032e-05,0,21.6,"1.00","None"
17,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,33.6001,5.35032e-05,0,33.6,"1.00","None"
18,"COMPLETED","Frontier","Frontier",0,5.74049e-05,2411.44,2821.22,5.74049e-05,2411.44,409.774,"1.00","None"
19,"COMPLETED","Frontier","Frontier",0,5.74049e-05,3388.68,7629.08,5.74049e-05,3388.68,4240.41,"1.00","None"
20,"COMPLETED","Andes","Andes",0,5.35032e-05,788.4,1057.2,5.35032e-05,788.4,268.8,"1.00","None"
21,"COMPLETED","Andes","Andes",0,5.35032e-05,5.35032e-05,26.4001,5.35032e-05,0,26.4,"1.00","None"
22,"COMPLETED","Andes","Andes",0,5.35032e-05,21.6001,75.6001,5.35032e-05,21.6,54,"1.00","None"
23,"COMPLETED","Frontier","Frontier",0,5.74049e-05,181.287,789.511,5.74049e-05,181.287,608.224,"1.00","None"
24,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,172.706,5.74049e-05,0,172.706,"1.00","None"
25,"COMPLETED","Frontier","Frontier",0,5.74049e-05,3190.23,5744.34,5.74049e-05,3190.23,2554.11,"1.00","None"
26,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,86.8892,5.74049e-05,0,86.8892,"1.00","None"
27,"COMPLETED","Frontier","Frontier",0,5.74049e-05,5.74049e-05,45.0537,5.74049e-05,0,45.0536,"1.00","None"
28,"COMPLETED","Andes","Andes",0,5.35032e-05,26.4001,166.8,5.35032e-05,26.4,140.4,"1.00","None"
29,"COMPLETED","Frontier","Frontier",0,5.74049e-05,8369.01,10122.9,5.74049e-05,8369.01,1753.87,"1.00","None"
