JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.78:0.42:0.09:0.72:0.54:0.86","Job requires more nodes than the System has"
2,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.87:0.24:0.88:0.75:0.71:0.92","Job requires more nodes than the System has"
3,"REJECTED","Frontier","Andes",0,-1,-1,0.000346976,0.000346976,-1,-1,"0.72:0.32:0.17:0.17:0.64:0.65","Job requires more nodes than the System has"
4,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.03:0.62:0.57:0.59:0.09:0.79","Job requires more nodes than the System has"
5,"COMPLETED","Frontier","Frontier",0,0.000346976,0.000346976,956.854,0.000346976,0,956.853,"0.57:0.77:0.43:0.67:0.25:0.51","None"
6,"REJECTED","Frontier","Crux",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.25:0.01:0.71:0.59:0.40:0.34","Job requires more nodes than the System has"
7,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.52:0.43:0.53:0.10:0.64:0.61","Job requires more nodes than the System has"
8,"REJECTED","Frontier","Andes",0,-1,-1,0.000346976,0.000346976,-1,-1,"0.82:0.71:0.39:0.41:0.81:0.10","Job requires more nodes than the System has"
9,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.35:0.02:0.01:0.21:0.94:0.59","Job requires more nodes than the System has"
10,"REJECTED","Frontier","Andes",0,-1,-1,0.000346976,0.000346976,-1,-1,"0.79:0.10:0.36:0.35:0.68:0.27","Job requires more nodes than the System has"
11,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.10:0.24:0.23:0.07:0.67:0.71","Job requires more nodes than the System has"
12,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.48:0.81:0.57:0.55:0.25:1.00","Job requires more nodes than the System has"
13,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.49:0.67:0.37:0.14:0.78:0.56","Job requires more nodes than the System has"
14,"COMPLETED","Frontier","Frontier",0,0.000346976,0.000346976,1606.91,0.000346976,0,1606.91,"0.62:0.97:0.93:0.66:0.62:0.70","None"
15,"REJECTED","Frontier","Crux",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.46:0.24:0.52:0.15:0.47:0.40","Job requires more nodes than the System has"
16,"REJECTED","Frontier","Andes",0,-1,-1,0.000346976,0.000346976,-1,-1,"0.87:0.28:0.83:0.43:0.04:0.05","Job requires more nodes than the System has"
17,"REJECTED","Frontier","Crux",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.02:0.52:0.86:0.24:0.71:0.13","Job requires more nodes than the System has"
18,"REJECTED","Frontier","Aurora",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.24:0.38:0.24:0.58:0.22:0.32","Job requires more nodes than the System has"
19,"REJECTED","Frontier","Aurora",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.13:0.60:0.53:0.90:0.84:0.78","Job requires more nodes than the System has"
20,"COMPLETED","Frontier","Frontier",0,0.000346976,0.000346976,6291.42,0.000346976,0,6291.42,"0.60:0.99:0.93:0.90:0.82:0.62","None"
21,"COMPLETED","Frontier","Aurora",0,0.000397727,0.000397727,558.462,0.000397727,0,558.462,"0.36:0.29:0.56:0.75:0.75:0.50","None"
22,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.14:0.62:0.45:0.04:0.86:0.01","Job requires more nodes than the System has"
23,"REJECTED","Frontier","Aurora",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.53:0.59:0.66:0.88:0.70:0.01","Job requires more nodes than the System has"
24,"REJECTED","Frontier","Aurora",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.41:0.26:0.31:0.53:0.08:0.44","Job requires more nodes than the System has"
25,"REJECTED","Frontier","Crux",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.39:0.03:0.92:0.06:0.69:0.60","Job requires more nodes than the System has"
26,"REJECTED","Frontier","Crux",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.78:0.06:0.85:0.69:0.51:0.70","Job requires more nodes than the System has"
27,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.03:0.11:0.38:0.36:0.26:0.80","Job requires more nodes than the System has"
28,"REJECTED","Frontier","Aurora",0,-1,-1,0.000397727,0.000397727,-1,-1,"0.60:0.05:0.54:0.93:0.56:0.38","Job requires more nodes than the System has"
29,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000400551,0.000400551,-1,-1,"0.73:0.17:0.73:0.33:0.98:0.61","Job requires more nodes than the System has"
