JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier",0,0.00034339,0.00034339,137.307,0.00034339,0,137.306,"0.10:0.80:0.21:0.55:0.10:0.30","None"
2,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000396358,0.000396358,-1,-1,"0.92:0.46:0.13:0.27:0.92:0.58","Job requires more nodes than the System has"
3,"COMPLETED","Andes","Frontier",0,0.000343429,0.000343429,186.651,0.000343429,0,186.651,"0.67:0.86:0.55:0.38:0.75:0.04","None"
4,"COMPLETED","Andes","Frontier",0,0.000343429,0.000343429,211.323,0.000343429,0,211.323,"0.27:0.82:0.60:0.18:0.12:0.73","None"
5,"COMPLETED","Frontier","Aurora",0,0.000394741,0.000394741,62.885,0.000394741,0,62.8846,"0.11:0.43:0.46:0.63:0.20:0.33","None"
6,"REJECTED","Frontier","Crux",0,-1,-1,0.000394741,0.000394741,-1,-1,"0.61:0.38:0.65:0.31:0.10:0.48","Job requires more nodes than the System has"
7,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000396358,0.000396358,116.4,0.000396358,0,116.4,"0.42:0.19:0.01:0.08:0.61:0.09","None"
8,"COMPLETED","Frontier","Aurora",0,0.000394741,0.000394741,21.635,0.000394741,0,21.6346,"0.44:0.22:0.71:0.97:0.59:0.30","None"
9,"COMPLETED","Frontier","Aurora",0,0.000394741,0.000394741,29.4235,0.000394741,0,29.4231,"0.64:0.65:0.36:0.74:0.26:0.24","None"
10,"REJECTED","Frontier","Crux",0,-1,-1,0.000394741,0.000394741,-1,-1,"0.57:0.05:0.65:0.48:0.60:0.52","Job requires more nodes than the System has"
11,"COMPLETED","Frontier","Frontier",0,0.000343429,0.000343429,173.779,0.000343429,0,173.778,"0.15:0.90:0.29:0.74:0.62:0.48","None"
12,"COMPLETED","Frontier","Frontier",0,0.000343429,0.000343429,99.762,0.000343429,0,99.7616,"0.52:0.62:0.04:0.48:0.59:0.17","None"
