JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000610408,0.000610408,27.891,0.000610408,0,27.8903,"0.00:0.87:0.00:0.72:0.76:0.00","None"
2,"COMPLETED","Frontier","Aurora",0,0.000620079,0.000620079,78.4622,0.000620079,0,78.4615,"0.00:0.89:0.00:0.91:0.00:0.00","None"
3,"COMPLETED","Andes","Frontier",0,0.000622179,94.3987,113.707,0.000622179,94.3981,19.3087,"0.80:0.88:0.70:0.73:0.77:0.70","None"
4,"COMPLETED","Frontier","Frontier",0,0.000632527,823.839,1005.13,0.000632527,823.838,181.287,"0.00:0.88:0.00:0.84:0.00:0.00","None"
5,"COMPLETED","Frontier","Frontier",0,0.000612219,0.000612219,104.053,0.000612219,0,104.052,"0.00:0.95:0.00:0.83:0.00:0.00","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000640899,0.000640899,256.801,0.000640899,0,256.8,"0.85:0.79:0.78:0.73:0.89:0.82","None"
7,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00064702,0.00064702,523.201,0.00064702,0,523.2,"0.85:0.79:0.79:0.73:0.89:0.82","None"
8,"COMPLETED","Frontier","Aurora",0,0.00064678,0.00064678,81.3468,0.00064678,0,81.3462,"0.00:0.88:0.00:0.91:0.00:0.83","None"
9,"COMPLETED","Frontier","Frontier",0,0.000451479,8596.66,10203.6,0.000451479,8596.66,1606.91,"0.00:0.85:0.00:0.00:0.00:0.00","None"
10,"COMPLETED","Frontier","Frontier",0,0.000632686,179.142,251.014,0.000632686,179.142,71.8713,"0.00:0.87:0.00:0.82:0.00:0.00","None"
11,"COMPLETED","Frontier","Frontier",0,0.000459808,10676.3,12609.3,0.000459808,10676.3,1933.02,"0.00:0.85:0.00:0.00:0.00:0.00","None"
12,"COMPLETED","Frontier","Frontier",0,0.000615079,726.222,894.637,0.000615079,726.222,168.415,"0.00:0.88:0.00:0.84:0.00:0.00","None"
13,"COMPLETED","Frontier","Frontier",0,0.000628685,23.6001,190.942,0.000628685,23.5995,167.342,"0.00:0.94:0.00:0.81:0.00:0.82","None"
