JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.00122146,15.5782,152.597,0.00122146,15.577,137.019,"0.00:0.92:0.00:0.92:0.00:0.92","None"
2,"COMPLETED","Aurora","Aurora",0,0.00184722,96.6364,150.29,0.00184722,96.6346,53.6538,"0.00:0.92:0.00:0.97:0.00:0.88","None"
3,"COMPLETED","Aurora","Frontier",0,0.00178227,61.1454,89.0358,0.00178227,61.1437,27.8903,"0.92:0.96:0.92:0.95:0.92:0.92","None"
4,"COMPLETED","Aurora","Aurora",0,0.00120926,0.00120926,45.5781,0.00120926,0,45.5769,"0.00:0.92:0.00:0.92:0.00:0.92","None"
5,"COMPLETED","Aurora","Aurora",0,0.00123369,4676.9,4781.61,0.00123369,4676.9,104.712,"0.00:0.92:0.00:0.92:0.00:0.00","None"
6,"COMPLETED","Frontier","Frontier",0,0.00181217,67.5817,111.563,0.00181217,67.5799,43.9809,"0.92:0.96:0.92:0.96:0.92:0.92","None"
7,"COMPLETED","Aurora","Aurora",0,0.00181217,65.7704,129.232,0.00181217,65.7686,63.4615,"0.00:0.92:0.00:0.97:0.00:0.86","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00202251,491.3,512.754,0.00202251,491.298,21.4541,"0.00:0.97:0.00:0.96:0.00:0.92","None"
9,"COMPLETED","Aurora","Aurora",0,0.00176027,1962.55,2481.2,0.00176027,1962.55,518.654,"0.00:0.96:0.00:0.96:0.92:0.00","None"
10,"COMPLETED","Aurora","Aurora",0,0.00174356,0.00174356,6.05944,0.00174356,0,6.05769,"0.92:0.95:0.92:0.96:0.92:0.92","None"
11,"COMPLETED","Frontier","Frontier",0,0.00182317,3312.52,4690.94,0.00182317,3312.51,1378.43,"0.00:0.96:0.00:0.96:0.92:0.92","None"
12,"COMPLETED","Frontier","Frontier",0,0.00186295,635.043,1249.7,0.00186295,635.041,614.66,"0.00:0.96:0.00:0.93:0.00:0.87","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00181498,491.3,595.353,0.00181498,491.299,104.052,"0.92:0.96:0.92:0.95:0.92:0.92","None"
14,"COMPLETED","Aurora","Aurora",0,0.00119025,0.00119025,18.1743,0.00119025,0,18.1731,"0.00:0.92:0.00:0.92:0.00:0.92","None"
15,"COMPLETED","Aurora","Aurora",0,0.00184151,101.829,133.559,0.00184151,101.827,31.7308,"0.00:0.90:0.00:0.97:0.00:0.86","None"
16,"COMPLETED","Frontier","Frontier",0,0.00180522,24114.4,26833.7,0.00180522,24114.4,2719.31,"0.00:0.97:0.00:0.96:0.00:0.00","None"
17,"COMPLETED","Aurora","Aurora",0,0.00186969,1540.39,1766.83,0.00186969,1540.38,226.442,"0.00:0.92:0.00:0.97:0.00:0.00","None"
18,"COMPLETED","Frontier","Frontier",0,0.00122598,2852.33,3312.52,0.00122598,2852.32,460.191,"0.00:0.92:0.00:0.92:0.92:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.0012261,1621.93,4157.81,0.0012261,1621.93,2535.88,"0.92:0.92:0.00:0.92:0.92:0.92","None"
20,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00122064,0.00122064,97.5012,0.00122064,0,97.5,"0.00:0.92:0.00:0.92:0.00:0.92","None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00185922,997.346,2073.88,0.00185922,997.344,1076.54,"0.00:0.92:0.00:0.92:0.00:0.92","None"
