JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Andes",0,0.000235599,0.000235599,289.2,0.000235599,0,289.2,"0.96:0.25:0.85:0.49:0.60:0.39","None"
2,"REJECTED","Frontier","Andes",0,-1,-1,0.000235599,0.000235599,-1,-1,"0.89:0.72:0.59:0.12:0.03:0.00","Job requires more nodes than the System has"
3,"COMPLETED","Andes","Frontier",639.089,639.089,639.089,658.398,0.000234889,0,19.3087,"0.44:0.75:0.65:0.15:0.16:0.15","None"
4,"REJECTED","Frontier","Andes",1192.9,-1,-1,1192.9,0.000234889,-1,-1,"0.96:0.41:0.25:0.85:0.27:0.01","Job requires more nodes than the System has"
5,"COMPLETED","Andes","Aurora",1914.41,1914.41,1914.41,1920.76,0.000234839,0,6.34615,"0.27:0.39:0.15:0.45:0.41:0.27","None"
6,"REJECTED","Frontier","Crux",3196.88,-1,-1,3196.88,0.000234737,-1,-1,"0.22:0.39:0.83:0.12:0.08:0.15","Job requires more nodes than the System has"
7,"COMPLETED","Crux","Perlmutter-Phase-2",3600,3600,3600,4401.6,0.000235212,0,801.6,"0.28:0.42:0.20:0.06:0.73:0.68","None"
8,"REJECTED","Frontier","Andes",3604.66,-1,-1,3604.67,0.000234889,-1,-1,"0.97:0.90:0.57:0.76:0.94:0.22","Job requires more nodes than the System has"
9,"COMPLETED","Aurora","Frontier",4110.78,4110.79,4110.79,4224.49,0.000235244,0,113.707,"0.45:0.94:0.78:0.54:0.38:0.40","None"
10,"REJECTED","Frontier","Andes",7477.8,-1,-1,7477.8,0.000234889,-1,-1,"0.97:0.04:0.41:0.71:0.87:0.96","Job requires more nodes than the System has"
11,"COMPLETED","Frontier","Frontier",8116.19,8116.19,8116.19,8196.64,0.000234889,0,80.4529,"0.16:0.97:0.76:0.51:0.47:0.14","None"
12,"COMPLETED","Andes","Frontier",8436.85,8436.85,8436.85,8493.7,0.000234889,0,56.8534,"0.42:0.98:0.91:0.97:0.24:0.49","None"
13,"COMPLETED","Andes","Aurora",9441.46,9441.46,9441.46,9476.65,0.000234839,0,35.1923,"0.18:0.84:0.85:0.99:0.89:0.79","None"
14,"REJECTED","Frontier","Andes",9442.11,-1,-1,9442.11,0.000234889,-1,-1,"0.97:0.92:0.36:0.01:0.81:0.81","Job requires more nodes than the System has"
15,"REJECTED","Frontier","Andes",9714.65,-1,-1,9714.65,0.000234889,-1,-1,"0.85:0.58:0.46:0.67:0.50:0.41","Job requires more nodes than the System has"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",9840.12,9840.12,9840.12,10242.1,0.000235244,0,402,"0.48:0.60:0.51:0.04:0.58:0.60","None"
17,"COMPLETED","Andes","Crux",10429.4,10429.4,10429.4,10611.8,0.000234737,0,182.4,"0.41:0.23:0.93:0.11:0.45:0.01","None"
18,"COMPLETED","Andes","Aurora",10650,10650,10650,10735.7,0.000234839,0,85.6731,"0.68:0.30:0.32:0.75:0.27:0.07","None"
19,"COMPLETED","Perlmutter-Phase-2","Andes",10800,10800,10800,11205.6,0.000235362,0,405.6,"0.92:0.50:0.03:0.87:0.54:0.21","None"
20,"COMPLETED","Perlmutter-Phase-1","Frontier",10800,10800,10800,10868.7,0.000235362,0,68.6532,"0.57:0.94:0.92:0.74:0.75:0.41","None"
21,"COMPLETED","Frontier","Aurora",11315.7,11315.7,11315.7,11323.2,0.000234839,0,7.5,"0.23:0.25:0.20:0.83:0.15:0.48","None"
22,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",11799.4,-1,-1,11799.4,0.000234696,-1,-1,"0.12:0.53:0.58:0.33:0.75:0.61","Job requires GPU while System has none"
23,"COMPLETED","Frontier","Aurora",11802.7,11802.7,11802.7,11856.7,0.000234839,0,53.9423,"0.69:0.60:0.55:1.00:0.76:0.56","None"
24,"COMPLETED","Aurora","Frontier",12056,12056,12056,12236.2,0.000235244,0,180.215,"0.00:0.82:0.38:0.54:0.51:0.66","None"
25,"COMPLETED","Aurora","Frontier",12097.1,12097.1,12097.1,12260.2,0.000235244,0,163.051,"0.20:0.86:0.40:0.12:0.13:0.12","None"
26,"COMPLETED","Andes","Aurora",12153.3,12153.3,12153.3,12229.7,0.000234839,0,76.4423,"0.05:0.37:0.85:0.92:0.39:0.49","None"
27,"REJECTED","Aurora","Andes",12322.7,-1,-1,12322.7,0.000235244,-1,-1,"0.75:0.31:0.66:0.52:0.42:0.34","Job requires GPU while System has none"
28,"COMPLETED","Frontier","Frontier",12460.4,12460.4,12460.4,13022.5,0.000234889,0,562.098,"0.77:0.96:0.87:0.01:0.71:0.70","None"
29,"COMPLETED","Frontier","Aurora",12539.5,12539.6,12539.6,12547.1,0.000234839,0,7.5,"0.17:0.34:0.52:0.86:0.61:0.35","None"
30,"COMPLETED","Andes","Perlmutter-Phase-2",12849.3,12849.3,12849.3,12891.3,0.000234839,0,42,"0.71:0.72:0.07:0.41:0.72:0.52","None"
31,"COMPLETED","Frontier","Perlmutter-Phase-1",12856.4,12856.4,12856.4,13098.8,0.000234839,0,242.4,"0.37:0.80:0.84:0.18:0.05:0.98","None"
32,"COMPLETED","Frontier","Perlmutter-Phase-1",13184.6,13184.6,13184.6,13748.6,0.000234839,0,564,"0.62:0.71:0.05:0.65:0.47:0.96","None"
33,"REJECTED","Aurora","Crux",13195.9,-1,-1,13195.9,0.000234889,-1,-1,"0.61:0.54:0.76:0.24:0.26:0.59","Job requires GPU while System has none"
34,"COMPLETED","Aurora","Perlmutter-Phase-1",13534.5,13534.5,13534.5,13839.3,0.000235244,0,304.8,"0.88:0.33:0.91:0.10:0.67:0.99","None"
35,"COMPLETED","Aurora","Frontier",13805.4,13805.4,13805.4,14347.1,0.000235244,0,541.716,"0.63:0.71:0.42:0.67:0.29:0.23","None"
36,"COMPLETED","Frontier","Frontier",13856.7,13856.7,13856.7,13873.9,0.000234889,0,17.1633,"0.41:0.97:0.47:0.00:0.13:0.11","None"
37,"REJECTED","Frontier","Andes",14286.3,-1,-1,14286.3,0.000234889,-1,-1,"0.96:0.24:0.79:0.55:0.21:0.48","Job requires more nodes than the System has"
38,"REJECTED","Frontier","Andes",14436.5,-1,-1,14436.5,0.000234889,-1,-1,"0.88:0.28:0.75:0.28:0.26:0.44","Job requires more nodes than the System has"
39,"COMPLETED","Frontier","Perlmutter-Phase-1",14776.8,14776.8,14776.8,14881.2,0.000234839,0,104.4,"0.38:0.05:0.66:0.52:0.25:0.78","None"
40,"COMPLETED","Andes","Aurora",15079.5,15079.5,15079.5,15140.3,0.000234839,0,60.8654,"0.03:0.11:0.43:0.64:0.59:0.24","None"
41,"REJECTED","Frontier","Perlmutter-Phase-2",15342.8,-1,-1,15342.8,0.000234839,-1,-1,"0.23:0.65:0.90:0.87:0.97:0.39","Job requires GPU while System has none"
42,"COMPLETED","Perlmutter-Phase-2","Frontier",15511.2,15511.2,15511.2,15669.9,0.000235244,0,158.76,"0.68:0.85:0.22:0.51:0.47:0.69","None"
43,"REJECTED","Frontier","Perlmutter-Phase-1",15530.3,-1,-1,15530.3,0.000234839,-1,-1,"0.67:0.53:0.22:0.80:0.54:0.90","Job requires more nodes than the System has"
44,"COMPLETED","Frontier","Frontier",15538.8,15538.8,15538.8,15800.6,0.000234889,0,261.74,"0.51:0.54:0.41:0.44:0.37:0.06","None"
45,"COMPLETED","Perlmutter-Phase-2","Aurora",15815.4,15815.4,15815.4,15821.2,0.000235244,0,5.76923,"0.17:0.85:0.55:0.95:0.62:0.71","None"
46,"COMPLETED","Aurora","Perlmutter-Phase-1",15879,15879,15879,16679.4,0.000235244,0,800.4,"0.01:0.18:0.49:0.09:0.67:0.88","None"
47,"REJECTED","Frontier","Andes",15938.3,-1,-1,15938.3,0.000234889,-1,-1,"0.99:0.43:0.66:0.11:0.51:0.95","Job requires more nodes than the System has"
48,"COMPLETED","Aurora","Frontier",16098.5,16098.5,16098.5,16172.6,0.000235244,0,74.0167,"0.47:0.94:0.31:0.19:0.31:0.83","None"
49,"REJECTED","Frontier","Perlmutter-Phase-1",16157,-1,-1,16157,0.000234839,-1,-1,"0.71:0.82:0.79:0.43:0.28:0.84","Job requires more nodes than the System has"
50,"COMPLETED","Frontier","Aurora",16254.5,16254.5,16254.5,16296.3,0.000234839,0,41.8269,"0.59:0.32:0.23:0.97:0.09:0.81","None"
51,"REJECTED","Frontier","Perlmutter-Phase-1",16528.9,-1,-1,16528.9,0.000234839,-1,-1,"0.17:0.10:0.23:0.09:0.71:0.97","Job requires more nodes than the System has"
52,"REJECTED","Frontier","Perlmutter-Phase-1",16871.1,-1,-1,16871.1,0.000234839,-1,-1,"0.23:0.70:0.24:0.22:0.72:0.72","Job requires more nodes than the System has"
53,"COMPLETED","Aurora","Frontier",16949,16949,16949,17053.1,0.000235244,0,104.052,"0.64:0.82:0.25:0.65:0.18:0.70","None"
54,"COMPLETED","Perlmutter-Phase-1","Andes",17067.7,17067.7,17067.7,17113.3,0.000235244,0,45.6,"0.73:0.66:0.40:0.73:0.70:0.63","None"
55,"COMPLETED","Aurora","Frontier",17089.4,17089.4,17089.4,17274.9,0.000235244,0,185.578,"0.41:0.98:0.79:0.59:0.44:0.83","None"
56,"COMPLETED","Andes","Aurora",17238.9,17238.9,17238.9,17269.4,0.000234839,0,30.5769,"0.62:0.00:0.34:0.94:0.65:0.64","None"
57,"REJECTED","Aurora","Andes",17277.5,-1,-1,17277.5,0.000235244,-1,-1,"0.96:0.12:0.55:0.90:0.19:0.13","Job requires GPU while System has none"
58,"COMPLETED","Frontier","Frontier",17557.4,17557.4,17557.4,17648.6,0.000234889,0,91.18,"0.36:0.92:0.24:0.37:0.77:0.41","None"
59,"REJECTED","Frontier","Crux",17611.4,-1,-1,17611.4,0.000234737,-1,-1,"0.50:0.25:0.98:0.82:0.95:0.98","Job requires more nodes than the System has"
60,"REJECTED","Frontier","Perlmutter-Phase-1",17619.9,-1,-1,17619.9,0.000234839,-1,-1,"0.87:0.01:0.10:0.52:0.03:0.98","Job requires more nodes than the System has"
61,"COMPLETED","Andes","Perlmutter-Phase-1",17746.2,17746.2,17746.2,17825.4,0.000234839,0,79.2,"0.71:0.27:0.46:0.89:0.67:0.92","None"
62,"REJECTED","Frontier","Crux",17780.8,-1,-1,17780.8,0.000234737,-1,-1,"0.70:0.11:0.95:0.45:0.70:0.38","Job requires more nodes than the System has"
63,"COMPLETED","Andes","Aurora",17858.7,17858.7,17858.7,17878.3,0.000234839,0,19.6154,"0.65:0.06:0.84:0.96:0.84:0.87","None"
64,"COMPLETED","Aurora","Perlmutter-Phase-1",17949.3,17949.3,17949.3,18059.7,0.000235244,0,110.4,"0.56:0.07:0.35:0.29:0.07:0.62","None"
65,"REJECTED","Frontier","Perlmutter-Phase-1",17969.8,-1,-1,17969.8,0.000234839,-1,-1,"0.14:0.14:0.67:0.29:0.46:0.73","Job requires more nodes than the System has"
66,"COMPLETED","Perlmutter-Phase-2","Andes",17975.5,17975.5,17975.5,18139.9,0.000235244,0,164.4,"0.86:0.42:0.29:0.11:0.23:0.55","None"
67,"COMPLETED","Aurora","Perlmutter-Phase-2",18099.9,18099.9,18099.9,18120.3,0.000235244,0,20.4,"0.73:0.33:0.43:0.24:0.81:0.20","None"
68,"COMPLETED","Aurora","Perlmutter-Phase-1",18132.3,18132.3,18132.3,18153.9,0.000235244,0,21.6,"0.81:0.08:0.12:0.39:0.26:0.84","None"
69,"REJECTED","Frontier","Crux",18176.9,-1,-1,18176.9,0.000234737,-1,-1,"0.61:0.09:0.77:0.06:0.57:0.07","Job requires more nodes than the System has"
70,"COMPLETED","Andes","Crux",18241.8,18241.8,18241.8,18262.2,0.000234737,0,20.4,"0.40:0.32:0.68:0.62:0.54:0.06","None"
71,"REJECTED","Frontier","Perlmutter-Phase-1",18444.1,-1,-1,18444.1,0.000234839,-1,-1,"0.50:0.25:0.00:0.52:0.29:0.58","Job requires more nodes than the System has"
72,"COMPLETED","Aurora","Perlmutter-Phase-1",18705.1,18705.1,18705.1,18748.3,0.000235244,0,43.2,"0.09:0.75:0.81:0.70:0.80:0.91","None"
73,"COMPLETED","Perlmutter-Phase-1","Aurora",18707.4,18707.4,18707.4,18830,0.000235244,0,122.596,"0.39:0.74:0.56:1.00:0.39:0.01","None"
74,"COMPLETED","Frontier","Aurora",18902.2,18902.2,18902.2,18953.5,0.000234839,0,51.3462,"0.36:0.30:0.23:0.95:0.12:0.39","None"
75,"COMPLETED","Crux","Andes",18909.5,18909.5,18909.5,18938.3,0.00023518,0,28.8,"0.69:0.33:0.62:0.43:0.10:0.07","None"
76,"REJECTED","Frontier","Perlmutter-Phase-1",18974.5,-1,-1,18974.5,0.000234839,-1,-1,"0.05:0.76:0.25:0.40:0.59:0.97","Job requires more nodes than the System has"
77,"REJECTED","Frontier","Andes",19320,-1,-1,19320,0.000234889,-1,-1,"0.99:0.74:0.24:0.08:0.02:0.89","Job requires more nodes than the System has"
78,"REJECTED","Frontier","Andes",19649.3,-1,-1,19649.3,0.000234889,-1,-1,"0.98:0.88:0.68:0.77:0.82:0.15","Job requires more nodes than the System has"
79,"REJECTED","Frontier","Crux",19784.4,-1,-1,19784.4,0.000234737,-1,-1,"0.09:0.73:0.85:0.35:0.28:0.76","Job requires more nodes than the System has"
80,"COMPLETED","Andes","Crux",19858.8,19858.8,19858.8,19887.6,0.000234737,0,28.8,"0.02:0.33:0.63:0.51:0.04:0.53","None"
81,"REJECTED","Frontier","Perlmutter-Phase-2",19943.3,-1,-1,19943.3,0.000234839,-1,-1,"0.23:0.66:0.05:0.16:0.86:0.16","Job requires more nodes than the System has"
82,"COMPLETED","Andes","Perlmutter-Phase-2",20084.1,20084.1,20084.1,20499.3,0.000234839,0,415.2,"0.41:0.01:0.10:0.80:0.91:0.20","None"
