JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000276712,0.000276712,1112.4,0.000276712,0,1112.4,"0.00:0.97:0.00:0.96:0.00:0.00","None"
2,"COMPLETED","Frontier","Frontier",0,0.000284712,0.000284712,535.28,0.000284712,0,535.28,"0.00:0.96:0.00:0.94:0.00:0.00","None"
3,"COMPLETED","Frontier","Frontier",639.089,639.089,639.089,1890.94,0.000246535,0,1251.85,"0.00:0.90:0.00:0.00:0.00:0.00","None"
4,"COMPLETED","Andes","Aurora",1192.9,1192.9,1192.9,1358.19,0.000246677,0,165.288,"0.92:0.87:0.00:0.95:0.92:0.95","None"
5,"COMPLETED","Frontier","Frontier",1914.41,1914.41,1914.41,8108.21,0.000243535,0,6193.8,"0.00:0.96:0.00:0.00:0.00:0.00","None"
6,"COMPLETED","Frontier","Frontier",3196.88,3196.88,8108.21,8580.2,0.000241535,4911.33,471.99,"0.00:0.21:0.00:0.00:0.00:0.00","None"
7,"COMPLETED","Aurora","Aurora",3600,3600,3600,4770.29,0.000249535,0,1170.29,"0.00:0.48:0.00:0.95:0.00:0.00","None"
8,"COMPLETED","Frontier","Aurora",3604.66,3604.67,3604.67,4358.13,0.000241535,0,753.462,"0.00:0.52:0.00:0.84:0.00:0.00","None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1",4110.78,4110.79,4110.79,5851.99,0.000294535,0,1741.2,"0.00:0.51:0.00:0.88:0.00:0.90","None"
10,"COMPLETED","Frontier","Frontier",7477.8,7477.8,7477.8,8434.65,0.000244535,0,956.853,"0.00:0.54:0.00:0.00:0.00:0.00","None"
11,"COMPLETED","Frontier","Aurora",8116.19,8116.19,8116.19,8123.11,0.000241597,0,6.92308,"0.00:0.56:0.00:0.95:0.00:0.00","None"
12,"COMPLETED","Frontier","Frontier",8436.85,8436.85,8436.85,10692.7,0.000240712,0,2255.9,"0.00:0.67:0.00:0.00:0.00:0.00","None"
13,"COMPLETED","Frontier","Aurora",9441.46,9441.46,9441.46,9685.21,0.000245535,0,243.75,"0.00:0.72:0.00:0.96:0.00:0.00","None"
14,"COMPLETED","Frontier","Frontier",9442.11,9442.11,9442.11,11261.4,0.000243535,0,1819.31,"0.00:0.66:0.00:0.00:0.00:0.00","None"
15,"COMPLETED","Frontier","Frontier",9714.65,9714.65,9714.65,12229.1,0.000241712,0,2514.42,"0.00:0.39:0.00:0.00:0.00:0.00","None"
16,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10173,0.000270535,0,332.885,"0.00:0.09:0.00:0.97:0.93:0.95","None"
17,"COMPLETED","Aurora","Aurora",9867.68,9867.68,9867.68,10541.8,0.000267535,0,674.135,"0.00:0.10:0.00:0.93:0.00:0.00","None"
18,"COMPLETED","Frontier","Aurora",10429.4,10429.4,10429.4,10813.6,0.000241476,0,384.231,"0.00:0.09:0.00:0.86:0.00:0.00","None"
19,"COMPLETED","Frontier","Frontier",10650,10650,11261.4,12680.6,0.000244535,611.392,1419.19,"0.00:0.06:0.00:0.00:0.00:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,15013.2,0.000288609,0,4213.2,"0.00:0.60:0.00:0.90:0.00:0.94","None"
21,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,11718,0.000271609,0,918,"0.00:0.65:0.00:0.94:0.94:0.00","None"
22,"COMPLETED","Frontier","Aurora",11315.7,11315.7,11315.7,11406.6,0.000244597,0,90.8654,"0.00:0.48:0.00:0.95:0.00:0.00","None"
23,"COMPLETED","Perlmutter-Phase-2","Aurora",11799.4,11799.4,11799.4,11806.1,0.000269535,0,6.63462,"0.95:0.50:0.95:0.98:0.93:0.75","None"
24,"COMPLETED","Frontier","Frontier",11802.7,11802.7,12229.1,15904.2,0.000244535,426.347,3675.09,"0.00:0.24:0.00:0.00:0.00:0.00","None"
25,"COMPLETED","Aurora","Aurora",12056,12056,12056,12420.3,0.000268535,0,364.327,"0.00:0.49:0.00:0.98:0.00:0.73","None"
26,"COMPLETED","Aurora","Aurora",12097.1,12097.1,12097.1,13354.2,0.000286535,0,1257.12,"0.00:0.44:0.00:0.94:0.00:0.67","None"
27,"COMPLETED","Andes","Andes",12153.3,12153.3,12153.3,13431.3,0.000268535,0,1278,"0.93:0.48:0.00:0.88:0.92:0.74","None"
