JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000411084,0.000411084,4504.29,0.000411084,0,4504.29,"0.00:0.92:0.00:0.00:0.00:0.00","None"
2,"COMPLETED","Frontier","Frontier",0,0.000403084,0.000403084,729.44,0.000403084,0,729.44,"0.00:0.75:0.00:0.00:0.00:0.00","None"
3,"COMPLETED","Frontier","Frontier",639.089,639.089,729.44,1525.39,0.000402084,90.3508,795.948,"0.00:0.57:0.00:0.00:0.00:0.00","None"
4,"COMPLETED","Frontier","Aurora",1192.9,1192.9,1192.9,1443.86,0.000532352,0,250.962,"0.00:0.82:0.00:0.91:0.00:0.00","None"
5,"COMPLETED","Frontier","Frontier",1914.41,1914.41,7282.82,8120.6,0.000418084,5368.41,837.783,"0.00:0.60:0.00:0.00:0.00:0.00","None"
6,"COMPLETED","Frontier","Frontier",3196.88,3196.88,3196.88,7282.82,0.000491084,0,4085.94,"0.00:0.91:0.00:0.00:0.00:0.00","None"
7,"COMPLETED","Aurora","Frontier",3600,3600,3600,8204.05,0.000601535,0,4604.05,"0.00:0.90:0.00:0.88:0.00:0.78","None"
8,"COMPLETED","Frontier","Frontier",3604.66,3604.67,11482.4,13195.6,0.000420084,7877.78,1713.11,"0.00:0.57:0.00:0.00:0.00:0.00","None"
9,"COMPLETED","Aurora","Aurora",4110.78,4110.79,4110.79,4365.21,0.000465084,0,254.423,"0.00:0.48:0.00:0.75:0.00:0.00","None"
10,"COMPLETED","Frontier","Aurora",7477.8,7477.8,7477.8,8289.53,0.000538352,0,811.731,"0.00:0.61:0.00:0.75:0.00:0.00","None"
11,"COMPLETED","Frontier","Frontier",8116.19,8116.19,8120.6,10686.5,0.000400084,4.4108,2565.91,"0.00:0.58:0.00:0.00:0.00:0.00","None"
12,"COMPLETED","Frontier","Frontier",8436.85,8436.85,8436.85,10191.8,0.000603535,0,1754.95,"0.00:0.87:0.00:0.75:0.00:0.00","None"
13,"COMPLETED","Frontier","Frontier",9441.46,9441.46,9441.46,9933.83,0.000475084,0,492.372,"0.00:0.76:0.00:0.00:0.00:0.00","None"
14,"COMPLETED","Frontier","Frontier",9442.11,9442.11,13195.6,17309.4,0.000423084,3753.45,4113.83,"0.00:0.64:0.00:0.00:0.00:0.00","None"
15,"COMPLETED","Frontier","Frontier",9714.65,9714.65,9714.65,10719.8,0.000474084,0,1005.13,"0.00:0.84:0.00:0.00:0.00:0.00","None"
16,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10203.9,0.000454084,0,363.75,"0.00:0.00:0.00:0.86:0.00:0.00","None"
17,"COMPLETED","Aurora","Frontier",9867.68,9867.68,9867.68,11204.3,0.000526352,0,1336.59,"0.00:0.78:0.00:0.65:0.00:0.00","None"
18,"COMPLETED","Frontier","Frontier",10429.4,10429.4,13195.6,16867.4,0.000417084,2766.16,3671.87,"0.00:0.62:0.00:0.00:0.00:0.00","None"
19,"COMPLETED","Frontier","Frontier",10650,10650,10650,11482.4,0.000417084,0,832.42,"0.00:0.92:0.00:0.00:0.00:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,14793.6,0.000600712,0,3993.6,"0.00:0.86:0.00:0.86:0.00:0.93","None"
21,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,14178,0.000595653,0,3378,"0.00:0.66:0.00:0.76:0.82:0.73","None"
22,"COMPLETED","Frontier","Frontier",11315.7,11315.7,16867.4,18804.7,0.000432084,5551.73,1937.31,"0.00:0.65:0.00:0.00:0.00:0.00","None"
23,"COMPLETED","Perlmutter-Phase-1","Aurora",11799.4,11799.4,11799.4,13848.4,0.000640535,0,2048.94,"0.00:0.62:0.00:0.91:0.00:0.65","None"
24,"COMPLETED","Frontier","Frontier",11802.7,11802.7,13195.6,17430.6,0.000403084,1392.83,4235.04,"0.00:0.52:0.00:0.00:0.00:0.00","None"
25,"COMPLETED","Aurora","Aurora",12056,12056,12056,12816.1,0.000583535,0,760.096,"0.00:0.58:0.00:0.88:0.00:0.00","None"
26,"COMPLETED","Aurora","Aurora",12097.1,12097.1,12097.1,13729.2,0.000590535,0,1632.12,"0.00:0.57:0.00:0.87:0.00:0.00","None"
27,"COMPLETED","Frontier","Frontier",12153.3,12153.3,17309.4,19006.4,0.000402084,5156.12,1697.02,"0.00:0.58:0.00:0.00:0.00:0.00","None"
28,"COMPLETED","Aurora","Aurora",12322.7,12322.7,12322.7,12762,0.000600535,0,439.327,"0.00:0.79:0.00:0.95:0.00:0.79","None"
29,"COMPLETED","Frontier","Frontier",12460.4,12460.4,17309.4,20508.2,0.000410084,4848.97,3198.81,"0.00:0.60:0.00:0.00:0.00:0.00","None"
30,"COMPLETED","Frontier","Frontier",12539.5,12539.6,17430.6,19742.3,0.000429084,4891.05,2311.68,"0.00:0.57:0.00:0.00:0.00:0.00","None"
31,"COMPLETED","Frontier","Frontier",12849.3,12849.3,18804.7,22429.4,0.000409084,5955.46,3624.67,"0.00:0.56:0.00:0.00:0.00:0.00","None"
32,"COMPLETED","Frontier","Frontier",12856.4,12856.4,20500.7,21849.1,0.000425084,7644.25,1348.39,"0.00:0.57:0.00:0.00:0.00:0.00","None"
33,"COMPLETED","Frontier","Aurora",13184.6,13184.6,13184.6,13692.9,0.000533352,0,508.269,"0.00:0.64:0.00:0.84:0.00:0.00","None"
34,"COMPLETED","Aurora","Aurora",13195.9,13195.9,13195.9,13442.9,0.000599535,0,246.923,"0.00:0.49:0.00:0.75:0.00:0.00","None"
35,"COMPLETED","Aurora","Aurora",13386.9,13386.9,13386.9,14408.9,0.000602535,0,1022.02,"0.00:0.52:0.00:0.86:0.00:0.84","None"
36,"COMPLETED","Aurora","Aurora",13534.5,13534.5,13534.5,14543,0.000599535,0,1008.46,"0.00:0.52:0.00:0.79:0.77:0.68","None"
37,"COMPLETED","Aurora","Aurora",13805.4,13805.4,14656.3,15606.2,0.000409084,850.857,949.904,"0.00:0.00:0.00:0.66:0.00:0.00","None"
