JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000689016,0.000689016,182.401,0.000689016,0,182.4,"0.71:0.76:0.76:0.62:0.83:0.77","None"
2,"COMPLETED","Crux","Frontier",0,0.000693379,0.000693379,19.3094,0.000693379,0,19.3087,"0.77:0.73:0.74:0.74:0.76:0.80","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.0245853,628.801,1198.8,0.0245853,628.776,570,"0.00:0.83:0.81:0.00:0.00:0.81","None"
4,"COMPLETED","Aurora","Aurora",0,0.000682014,0.000682014,53.6545,0.000682014,0,53.6538,"0.00:0.57:0.84:0.00:0.00:0.62","None"
5,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.0186676,28.9637,83.6717,0.0186676,28.9451,54.708,"0.75:0.73:0.75:0.71:0.77:0.81","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000679883,127.201,205.201,0.000679883,127.2,78,"0.00:0.81:0.81:0.00:0.00:0.81","None"
7,"COMPLETED","Aurora","Aurora",0,0.000666265,0.000666265,89.7122,0.000666265,0,89.7115,"0.00:0.58:0.84:0.00:0.00:0.62","None"
8,"COMPLETED","Aurora","Aurora",0,0.000675571,0.000675571,118.847,0.000675571,0,118.846,"0.00:0.57:0.84:0.00:0.00:0.62","None"
9,"COMPLETED","Aurora","Frontier",0,0.00360361,28.9637,56.8541,0.00360361,28.9601,27.8903,"0.72:0.72:0.75:0.64:0.77:0.81","None"
10,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000654504,0.000654504,351.601,0.000654504,0,351.6,"0.00:0.82:0.81:0.00:0.00:0.81","None"
11,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000728153,292.801,318.001,0.000728153,292.8,25.2,"0.77:0.71:0.76:0.69:0.77:0.76","None"
12,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.00066763,0.00066763,127.201,0.00066763,0,127.2,"0.00:0.82:0.80:0.00:0.00:0.81","None"
13,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.00363869,99.6007,634.801,0.00363869,99.5971,535.2,"0.77:0.79:0.76:0.73:0.84:0.76","None"
14,"COMPLETED","Aurora","Frontier",0,0.00352127,18.2367,173.779,0.00352127,18.2331,155.542,"0.73:0.72:0.76:0.65:0.77:0.81","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00365375,205.201,351.601,0.00365375,205.197,146.4,"0.00:0.84:0.80:0.00:0.00:0.80","None"
16,"COMPLETED","Aurora","Aurora",0,0.000680505,0.000680505,165.289,0.000680505,0,165.288,"0.00:0.58:0.85:0.00:0.00:0.62","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00069298,0.00069298,62.2176,0.00069298,0,62.2169,"0.77:0.74:0.74:0.75:0.77:0.80","None"
18,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000694222,0.000694222,573.601,0.000694222,0,573.6,"0.72:0.77:0.77:0.64:0.83:0.77","None"
19,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.00664315,186.001,238.801,0.00664315,185.994,52.8,"0.82:0.74:0.75:0.78:0.77:0.76","None"
