JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.00028068,0.00028068,86.8894,0.00028068,0,86.8892,"0.92:0.92:0.95:0.92:0.92:0.96","None"
2,"COMPLETED","Frontier","Frontier",0,0.000293067,0.000293067,333.612,0.000293067,0,333.611,"0.00:0.88:0.94:0.00:0.00:0.96","None"
3,"COMPLETED","Frontier","Frontier",0,0.000270819,0.000270819,169.488,0.000270819,0,169.487,"0.00:0.92:0.92:0.00:0.00:0.92","None"
4,"COMPLETED","Frontier","Frontier",0,0.000270565,0.000270565,156.615,0.000270565,0,156.615,"0.00:0.92:0.92:0.00:0.00:0.92","None"
5,"COMPLETED","Frontier","Frontier",0,0.000281503,0.000281503,43.9812,0.000281503,0,43.9809,"0.00:0.92:0.96:0.00:0.00:0.97","None"
6,"COMPLETED","Frontier","Frontier",0,0.000278503,0.000278503,43.9812,0.000278503,0,43.9809,"0.00:0.92:0.96:0.00:0.00:0.97","None"
7,"COMPLETED","Frontier","Frontier",0,0.000293067,0.000293067,224.196,0.000293067,0,224.195,"0.00:0.86:0.92:0.00:0.00:0.96","None"
8,"COMPLETED","Frontier","Aurora",0,0.000291679,0.000291679,25.9618,0.000291679,0,25.9615,"0.92:0.92:0.96:0.92:0.92:0.95","None"
9,"COMPLETED","Frontier","Aurora",0,0.000286073,0.000286073,153.173,0.000286073,0,153.173,"0.00:0.92:0.92:0.00:0.00:0.92","None"
10,"COMPLETED","Frontier","Aurora",0,0.000291892,0.000291892,7.50029,0.000291892,0,7.5,"0.92:0.92:0.96:0.92:0.92:0.95","None"
11,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000287081,0.000287081,110.4,0.000287081,0,110.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
12,"COMPLETED","Frontier","Frontier",0,0.000278503,0.000278503,18.2363,0.000278503,0,18.236,"0.00:0.92:0.97:0.00:0.00:0.97","None"
13,"COMPLETED","Frontier","Frontier",0,0.000293067,0.000293067,142.67,0.000293067,0,142.67,"0.00:0.88:0.93:0.00:0.00:0.96","None"
14,"COMPLETED","Andes","Aurora",0,0.000291405,0.000291405,53.3657,0.000291405,0,53.3654,"0.92:0.92:0.96:0.92:0.92:0.95","None"
15,"COMPLETED","Andes","Frontier",0,0.000281503,0.000281503,157.688,0.000281503,0,157.688,"0.92:0.92:0.95:0.92:0.92:0.95","None"
16,"COMPLETED","Frontier","Frontier",0,0.000295858,0.000295858,553.516,0.000295858,0,553.516,"0.00:0.88:0.93:0.00:0.00:0.96","None"
17,"COMPLETED","Frontier","Aurora",0,0.000286073,0.000286073,192.693,0.000286073,0,192.692,"0.00:0.92:0.92:0.00:0.00:0.92","None"
18,"COMPLETED","Frontier","Frontier",0,0.000299148,0.000299148,175.924,0.000299148,0,175.924,"0.00:0.89:0.94:0.00:0.00:0.96","None"
19,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000286828,0.000286828,120,0.000286828,0,120,"0.92:0.92:0.92:0.92:0.92:0.92","None"
20,"COMPLETED","Andes","Aurora",0,0.000292583,0.000292583,55.6734,0.000292583,0,55.6731,"0.92:0.92:0.96:0.92:0.92:0.95","None"
21,"COMPLETED","Andes","Frontier",0,0.000270819,0.000270819,244.577,0.000270819,0,244.577,"0.92:0.92:0.92:0.92:0.92:0.92","None"
22,"COMPLETED","Andes","Frontier",0,0.000282525,0.000282525,209.178,0.000282525,0,209.178,"0.92:0.92:0.96:0.92:0.92:0.96","None"
