JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Andes",0,0.000281001,0.000281001,97.2003,0.000281001,0,97.2,"0.66:0.54:0.38:0.18:0.18:0.26","None"
2,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.03:0.05:0.69:0.92:0.10:0.27","Job requires GPU while System has none"
3,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.94:0.66:0.12:0.15:0.35:0.85","Job requires GPU while System has none"
4,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,42.1157,0.000265663,0,42.1154,"0.50:0.91:0.97:0.84:0.15:0.23","None"
5,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000285037,0.000285037,-1,-1,"0.04:0.41:0.35:0.11:0.51:0.06","Job requires GPU while System has none"
6,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.75:0.15:0.12:0.21:0.05:0.22","Job requires GPU while System has none"
7,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,250.8,0.000285037,0,250.8,"0.17:0.94:0.37:0.06:0.88:0.13","None"
8,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,96.5438,0.000281001,0,96.5435,"0.80:0.86:0.14:0.46:0.04:0.99","None"
9,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,153.173,0.000265663,0,153.173,"0.43:0.87:0.96:0.36:0.19:0.38","None"
10,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,31.2003,0.000285037,0,31.2,"0.69:1.00:0.91:0.67:0.33:0.11","None"
11,"COMPLETED","Andes","Andes",0,0.000281001,0.000281001,110.4,0.000281001,0,110.4,"0.87:0.53:0.23:0.27:0.60:0.41","None"
12,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.81:0.39:0.87:0.88:0.72:0.19","Job requires GPU while System has none"
13,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,38.3657,0.000265663,0,38.3654,"0.91:0.78:0.99:0.61:0.84:0.28","None"
14,"COMPLETED","Andes","Crux",0,0.000265663,0.000265663,222,0.000265663,0,222,"0.19:0.57:0.08:0.87:0.38:0.23","None"
15,"COMPLETED","Andes","Andes",0,0.000281001,0.000281001,176.4,0.000281001,0,176.4,"0.90:0.86:0.12:0.60:0.47:0.31","None"
16,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000285037,0.000285037,-1,-1,"0.79:0.54:0.16:0.15:0.80:0.72","Job requires GPU while System has none"
17,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.43:0.26:0.74:0.76:0.16:0.42","Job requires GPU while System has none"
18,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.68:0.29:0.22:0.72:0.70:0.60","Job requires GPU while System has none"
19,"COMPLETED","Frontier","Andes",0,0.000281001,0.000281001,120,0.000281001,0,120,"0.97:0.16:0.23:0.57:0.48:0.66","None"
20,"COMPLETED","Andes","Frontier",0,0.000281001,0.000281001,207.032,0.000281001,0,207.032,"0.25:0.00:0.52:0.20:0.23:0.89","None"
21,"COMPLETED","Andes","Crux",0,0.000265663,0.000265663,273.6,0.000265663,0,273.6,"0.07:0.49:0.24:0.81:0.58:0.02","None"
22,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000285037,0.000285037,234,0.000285037,0,234,"0.65:0.40:0.80:0.57:0.83:0.14","None"
23,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000285037,0.000285037,-1,-1,"0.30:0.25:0.49:0.74:0.86:0.78","Job requires GPU while System has none"
24,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.73:0.41:0.27:0.70:0.23:0.63","Job requires GPU while System has none"
25,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.50:0.22:0.39:0.64:0.25:0.35","Job requires GPU while System has none"
26,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,500.4,0.000285037,0,500.4,"0.85:0.94:0.17:0.65:0.35:0.17","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,799.2,0.000285037,0,799.2,"0.31:0.96:0.25:0.27:0.52:0.83","None"
28,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.97:0.56:0.29:0.30:0.82:0.59","Job requires GPU while System has none"
29,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,69.7261,0.000281001,0,69.7259,"0.51:0.24:0.73:0.89:0.33:0.94","None"
30,"COMPLETED","Frontier","Andes",0,0.000281001,110.4,280.8,0.000281001,110.4,170.4,"0.94:0.79:0.54:0.53:0.35:0.52","None"
31,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,112.8,0.000285037,0,112.8,"0.49:0.99:0.69:0.04:0.55:0.46","None"
32,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,97.6165,0.000281001,0,97.6162,"0.04:0.08:0.76:0.25:0.86:0.93","None"
33,"COMPLETED","Frontier","Andes",0,0.000281001,110.4,138,0.000281001,110.4,27.6,"0.86:0.55:0.58:0.06:0.08:0.02","None"
34,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,83.3657,0.000265663,0,83.3654,"0.76:0.40:0.86:0.36:0.43:0.32","None"
35,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,272.468,0.000281001,0,272.467,"0.09:0.11:0.84:0.51:0.17:0.88","None"
36,"COMPLETED","Andes","Crux",0,0.000265663,0.000265663,33.6003,0.000265663,0,33.6,"0.64:0.73:0.70:0.83:0.55:0.74","None"
37,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.82:0.03:0.45:0.17:0.49:0.12","Job requires GPU while System has none"
38,"COMPLETED","Andes","Aurora",0,0.000265663,0.000265663,7.50027,0.000265663,0,7.5,"0.80:0.65:0.81:0.68:0.22:0.70","None"
39,"COMPLETED","Andes","Frontier",0,0.000281001,0.000281001,458.046,0.000281001,0,458.045,"0.74:0.10:0.15:0.62:0.16:0.86","None"
40,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.27:0.08:0.10:0.78:0.26:0.56","Job requires GPU while System has none"
41,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,9.23103,0.000265663,0,9.23077,"0.36:0.19:0.69:0.25:0.49:0.23","None"
42,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,10.0964,0.000265663,0,10.0962,"0.62:0.61:0.91:0.81:0.61:0.88","None"
43,"COMPLETED","Frontier","Andes",0,0.000281001,120,322.8,0.000281001,120,202.8,"0.82:0.37:0.12:0.28:0.33:0.66","None"
44,"COMPLETED","Andes","Crux",0,0.000265663,0.000265663,44.4003,0.000265663,0,44.4,"0.50:0.26:0.49:0.61:0.35:0.41","None"
45,"COMPLETED","Frontier","Aurora",0,0.000265663,0.000265663,52.7887,0.000265663,0,52.7885,"0.61:0.63:0.81:0.00:0.13:0.32","None"
46,"COMPLETED","Andes","Andes",0,0.000281001,97.2003,279.6,0.000281001,97.2,182.4,"0.80:0.07:0.30:0.27:0.37:0.60","None"
47,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.23:0.11:0.48:0.73:0.21:0.58","Job requires GPU while System has none"
48,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000285037,0.000285037,-1,-1,"0.09:0.72:0.20:0.68:0.89:0.89","Job requires GPU while System has none"
49,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000285037,0.000285037,109.2,0.000285037,0,109.2,"0.24:0.93:0.28:0.61:0.99:0.10","None"
50,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,28.9633,0.000281001,0,28.9631,"0.33:0.09:0.41:0.50:0.62:0.66","None"
51,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000285037,0.000285037,-1,-1,"0.59:0.63:0.05:0.04:0.88:0.37","Job requires GPU while System has none"
52,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.96:0.65:0.65:0.32:0.35:0.54","Job requires GPU while System has none"
53,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,129.6,0.000285037,0,129.6,"0.02:0.93:0.27:0.20:0.31:0.66","None"
54,"COMPLETED","Frontier","Andes",0,0.000281001,157.2,237.6,0.000281001,157.2,80.4,"0.66:0.42:0.59:0.51:0.36:0.13","None"
55,"COMPLETED","Frontier","Crux",0,0.000265663,120,925.2,0.000265663,120,805.2,"0.29:0.60:0.21:0.91:0.65:0.60","None"
56,"REJECTED","Frontier","Crux",0,-1,-1,0.000265663,0.000265663,-1,-1,"0.36:0.78:0.79:0.86:0.68:0.23","Job requires GPU while System has none"
57,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,657.6,0.000285037,0,657.6,"0.48:0.98:0.65:0.32:0.42:0.35","None"
58,"COMPLETED","Andes","Crux",0,0.000265663,44.4003,120,0.000265663,44.4,75.6,"0.23:0.77:0.43:0.89:0.72:0.18","None"
59,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000285037,0.000285037,637.2,0.000285037,0,637.2,"0.48:0.97:0.08:0.88:0.02:0.51","None"
60,"COMPLETED","Frontier","Frontier",0,0.000281001,0.000281001,432.301,0.000281001,0,432.3,"0.40:0.23:0.51:0.54:0.19:0.86","None"
61,"REJECTED","Frontier","Andes",0,-1,-1,0.000281001,0.000281001,-1,-1,"0.84:0.41:0.37:0.23:0.36:0.20","Job requires GPU while System has none"
62,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000285037,0.000285037,19.2003,0.000285037,0,19.2,"0.62:0.77:0.23:0.16:0.51:0.45","None"
63,"COMPLETED","Andes","Aurora",0,0.000265663,0.000265663,55.3849,0.000265663,0,55.3846,"0.27:0.22:0.69:0.15:0.40:0.16","None"
64,"COMPLETED","Andes","Andes",0,0.000281001,120,157.2,0.000281001,120,37.2,"0.83:0.80:0.58:0.49:0.74:0.04","None"
