JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000304179,4272,5589.6,0.000304179,4272,1317.6,"0.92:0.92:0.92:0.00:0.92:0.92","None"
2,"COMPLETED","Frontier","Frontier",0,0.000300596,3978.67,7529.32,0.000300596,3978.67,3550.66,"0.00:0.88:0.94:0.00:0.00:0.96","None"
3,"COMPLETED","Frontier","Frontier",0,0.000284421,0.000284421,72.9443,0.000284421,0,72.944,"0.00:0.92:0.96:0.00:0.00:0.97","None"
4,"COMPLETED","Frontier","Frontier",0,0.000286675,21745.7,26272.5,0.000286675,21745.7,4526.82,"0.00:0.92:0.96:0.00:0.00:0.97","None"
5,"COMPLETED","Frontier","Frontier",0,0.000303177,5250.66,6843.63,0.000303177,5250.66,1592.97,"0.00:0.00:0.91:0.00:0.00:0.96","None"
6,"COMPLETED","Frontier","Frontier",0,0.000293823,3783.43,5161.86,0.000293823,3783.43,1378.43,"0.00:0.00:0.96:0.00:0.92:0.96","None"
7,"COMPLETED","Frontier","Frontier",0,0.000302355,32295.6,37366.3,0.000302355,32295.6,5070.68,"0.00:0.00:0.92:0.00:0.00:0.96","None"
8,"COMPLETED","Frontier","Frontier",0,0.000295823,8721.84,14179.8,0.000295823,8721.84,5457.93,"0.00:0.89:0.92:0.00:0.00:0.96","None"
9,"COMPLETED","Frontier","Frontier",0,0.000303177,1918,3988.32,0.000303177,1918,2070.32,"0.00:0.87:0.94:0.00:0.00:0.96","None"
10,"COMPLETED","Frontier","Aurora",0,0.000303277,0.000303277,1700.77,0.000303277,0,1700.77,"0.00:0.92:0.92:0.00:0.00:0.92","None"
11,"COMPLETED","Frontier","Frontier",0,0.000281597,564.243,1085.58,0.000281597,564.243,521.335,"0.00:0.00:0.92:0.00:0.92:0.92","None"
12,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000304179,0.000304179,3748.8,0.000304179,0,3748.8,"0.00:0.92:0.92:0.00:0.00:0.92","None"
13,"COMPLETED","Frontier","Frontier",0,0.000287263,0.000287263,20.3817,0.000287263,0,20.3814,"0.92:0.92:0.95:0.92:0.92:0.96","None"
14,"COMPLETED","Frontier","Frontier",0,0.000303177,94936.7,99313.3,0.000303177,94936.7,4376.64,"0.00:0.00:0.91:0.00:0.00:0.96","None"
15,"COMPLETED","Frontier","Frontier",0,0.000294823,10395.6,11907,0.000294823,10395.6,1511.44,"0.00:0.00:0.96:0.00:0.00:0.97","None"
16,"COMPLETED","Frontier","Frontier",0,0.000298177,47007,52680.6,0.000298177,47007,5673.54,"0.00:0.00:0.93:0.00:0.00:0.96","None"
17,"COMPLETED","Frontier","Aurora",0,0.000302625,0.000302625,1937.88,0.000302625,0,1937.88,"0.00:0.92:0.92:0.00:0.00:0.92","None"
18,"COMPLETED","Frontier","Frontier",0,0.000300823,6843.63,9596.2,0.000300823,6843.63,2752.56,"0.00:0.00:0.94:0.00:0.00:0.96","None"
19,"COMPLETED","Frontier","Frontier",0,0.000305823,19790.1,21745.7,0.000305823,19790.1,1955.54,"0.00:0.00:0.94:0.00:0.00:0.96","None"
20,"COMPLETED","Frontier","Frontier",0,0.000286675,77012.9,79367.5,0.000286675,77012.9,2354.59,"0.00:0.00:0.96:0.00:0.00:0.97","None"
