JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Andes",0,0.00029377,0.00029377,1317.6,0.00029377,0,1317.6,"0.96:0.16:0.54:0.36:0.23:0.44","None"
2,"REJECTED","Frontier","Andes",0,-1,-1,0.00029377,0.00029377,-1,-1,"0.87:0.52:0.18:0.07:0.27:0.36","Job requires GPU while System has none"
3,"REJECTED","Frontier","Andes",0,-1,-1,0.00029377,0.00029377,-1,-1,"0.96:0.05:0.38:0.70:0.75:0.25","Job requires GPU while System has none"
4,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000314272,0.000314272,5064,0.000314272,0,5064,"0.72:0.83:0.73:0.72:0.16:0.41","None"
5,"COMPLETED","Frontier","Frontier",0,0.00029377,0.00029377,1592.97,0.00029377,0,1592.97,"0.88:0.39:0.45:0.74:0.82:0.95","None"
6,"COMPLETED","Frontier","Aurora",0,0.000305226,0.000305226,370.673,0.000305226,0,370.673,"0.40:0.02:0.91:0.56:0.16:0.02","None"
7,"COMPLETED","Frontier","Frontier",0,0.00029377,0.00029377,5070.68,0.00029377,0,5070.68,"0.42:0.48:0.46:0.19:0.32:0.96","None"
8,"COMPLETED","Frontier","Frontier",0,0.00029377,0.00029377,5457.93,0.00029377,0,5457.93,"0.24:0.49:0.03:0.19:0.04:0.62","None"
9,"REJECTED","Frontier","Crux",0,-1,-1,0.000305226,0.000305226,-1,-1,"0.01:0.52:0.52:0.70:0.40:0.27","Job requires more nodes than the System has"
10,"COMPLETED","Frontier","Frontier",0,0.00029377,0.00029377,6324.67,0.00029377,0,6324.67,"0.08:0.78:0.27:0.69:0.53:0.97","None"
11,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000314272,0.000314272,583.2,0.000314272,0,583.2,"0.28:0.40:0.32:0.35:0.47:0.47","None"
12,"REJECTED","Frontier","Andes",0,-1,-1,0.00029377,0.00029377,-1,-1,"0.95:0.44:0.64:0.40:0.91:0.54","Job requires more nodes than the System has"
13,"COMPLETED","Frontier","Andes",0,0.00029377,1317.6,1340.4,0.00029377,1317.6,22.8,"0.99:0.42:0.39:0.96:0.14:0.32","None"
14,"COMPLETED","Frontier","Frontier",0,0.00029377,45929.3,50306,0.00029377,45929.3,4376.64,"0.40:0.59:0.28:0.24:0.91:0.94","None"
