JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000284762,6975.8,7997.02,0.000284762,6975.8,1021.22,"0.00:0.00:0.95:0.00:0.00:0.96","None"
2,"COMPLETED","Frontier","Frontier",0,0.000279552,0.000279552,809.893,0.000279552,0,809.893,"0.00:0.00:0.92:0.00:0.00:0.92","None"
3,"COMPLETED","Frontier","Frontier",0,0.000278041,6975.8,7892.97,0.000278041,6975.8,917.163,"0.00:0.00:0.00:0.00:0.00:0.96","None"
4,"COMPLETED","Frontier","Frontier",0,0.000279077,127629,131562,0.000279077,127629,3932.54,"0.00:0.00:0.00:0.00:0.00:0.92","None"
5,"COMPLETED","Frontier","Frontier",0,0.000276956,0.000276956,1763.53,0.000276956,0,1763.53,"0.00:0.00:0.00:0.00:0.00:0.96","None"
6,"COMPLETED","Frontier","Frontier",0,0.00027931,136481,139500,0.00027931,136481,3018.59,"0.00:0.00:0.00:0.00:0.00:0.97","None"
7,"COMPLETED","Frontier","Frontier",0,0.000279077,9484.86,10790.3,0.000279077,9484.86,1305.48,"0.00:0.00:0.00:0.00:0.00:0.96","None"
8,"COMPLETED","Frontier","Aurora",0,0.000303066,0.000303066,211.154,0.000303066,0,211.154,"0.00:0.00:0.92:0.00:0.00:0.92","None"
9,"COMPLETED","Frontier","Aurora",0,0.000303238,0.000303238,1125,0.000303238,0,1125,"0.00:0.00:0.96:0.00:0.00:0.96","None"
10,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000302865,0.000302865,860.4,0.000302865,0,860.4,"0.92:0.92:0.92:0.00:0.92:0.92","None"
11,"COMPLETED","Frontier","Frontier",0,0.000278041,9293.92,11894.2,0.000278041,9293.92,2600.24,"0.00:0.00:0.00:0.00:0.00:0.97","None"
12,"COMPLETED","Frontier","Frontier",0,0.000279636,17713.6,18705.8,0.000279636,17713.6,992.253,"0.00:0.00:0.00:0.00:0.00:0.97","None"
13,"COMPLETED","Frontier","Frontier",0,0.00027931,10746.4,12580.7,0.00027931,10746.4,1834.33,"0.00:0.00:0.00:0.00:0.00:0.96","None"
14,"COMPLETED","Frontier","Frontier",0,0.000278041,98237.3,101306,0.000278041,98237.3,3069.01,"0.00:0.00:0.00:0.00:0.00:0.95","None"
15,"COMPLETED","Frontier","Frontier",0,0.000279077,45442,46260.4,0.000279077,45442,818.474,"0.00:0.00:0.00:0.00:0.00:0.96","None"
16,"COMPLETED","Frontier","Frontier",0,0.000278041,0.000278041,5293.8,0.000278041,0,5293.8,"0.00:0.00:0.00:0.00:0.00:0.96","None"
17,"COMPLETED","Frontier","Frontier",0,0.000279077,9484.86,13017.3,0.000279077,9484.86,3532.42,"0.00:0.00:0.00:0.00:0.00:0.92","None"
18,"COMPLETED","Frontier","Frontier",0,0.000278041,95283.1,96115.5,0.000278041,95283.1,832.42,"0.00:0.00:0.00:0.00:0.00:0.92","None"
19,"COMPLETED","Frontier","Frontier",0,0.000294585,5304.53,6455.54,0.000294585,5304.53,1151.01,"0.00:0.00:0.94:0.00:0.00:0.96","None"
20,"COMPLETED","Frontier","Frontier",0,0.000299939,7997.02,8971.04,0.000299939,7997.02,974.017,"0.00:0.00:0.94:0.00:0.00:0.96","None"
21,"COMPLETED","Frontier","Frontier",0,0.000276956,0.000276956,4351.97,0.000276956,0,4351.97,"0.00:0.00:0.00:0.00:0.00:0.92","None"
22,"COMPLETED","Frontier","Frontier",0,0.000281591,3750.18,5301.31,0.000281591,3750.18,1551.13,"0.00:0.00:0.96:0.00:0.00:0.96","None"
23,"COMPLETED","Frontier","Frontier",0,0.000283939,5301.31,6254.95,0.000283939,5301.31,953.635,"0.00:0.00:0.95:0.00:0.00:0.96","None"
24,"COMPLETED","Frontier","Frontier",0,0.00027931,46260.4,49200.7,0.00027931,46260.4,2940.29,"0.00:0.00:0.00:0.00:0.00:0.95","None"
25,"COMPLETED","Frontier","Frontier",0,0.00027931,131562,132477,0.00027931,131562,915.018,"0.00:0.00:0.00:0.00:0.00:0.96","None"
26,"COMPLETED","Frontier","Frontier",0,0.000293939,19810.7,25133.5,0.000293939,19810.7,5322.77,"0.00:0.00:0.92:0.00:0.00:0.96","None"
27,"COMPLETED","Frontier","Frontier",0,0.000279077,90774.2,92850.9,0.000279077,90774.2,2076.76,"0.00:0.00:0.00:0.00:0.00:0.95","None"
28,"COMPLETED","Frontier","Frontier",0,0.000296585,6073.66,7157.09,0.000296585,6073.66,1083.43,"0.00:0.00:0.93:0.00:0.00:0.96","None"
29,"COMPLETED","Frontier","Frontier",0,0.00027931,11991.8,13029.1,0.00027931,11991.8,1037.31,"0.00:0.00:0.00:0.00:0.00:0.92","None"
30,"COMPLETED","Frontier","Frontier",0,0.000286704,5304.53,6133.73,0.000286704,5304.53,829.201,"0.00:0.00:0.95:0.00:0.00:0.96","None"
31,"COMPLETED","Frontier","Frontier",0,0.000279077,44943.1,45442,0.000279077,44943.1,498.808,"0.00:0.00:0.00:0.00:0.00:0.92","None"
32,"COMPLETED","Frontier","Frontier",0,0.00027931,14029.9,14973.9,0.00027931,14029.9,943.981,"0.00:0.00:0.00:0.00:0.00:0.92","None"
33,"COMPLETED","Andes","Frontier",0,0.000283939,4351.97,5304.53,0.000283939,4351.97,952.563,"0.92:0.92:0.96:0.00:0.92:0.96","None"
34,"COMPLETED","Frontier","Frontier",0,0.000278041,6073.66,9293.92,0.000278041,6073.66,3220.26,"0.00:0.00:0.00:0.00:0.00:0.96","None"
35,"COMPLETED","Frontier","Frontier",0,0.000283939,7374.85,8811.2,0.000283939,7374.85,1436.35,"0.00:0.00:0.96:0.00:0.00:0.96","None"
36,"COMPLETED","Frontier","Frontier",0,0.000279077,13017.3,15912.5,0.000279077,13017.3,2895.23,"0.00:0.00:0.00:0.00:0.00:0.97","None"
37,"COMPLETED","Frontier","Frontier",0,0.000297585,8811.2,11244.1,0.000297585,8811.2,2432.9,"0.00:0.00:0.93:0.00:0.00:0.96","None"
38,"COMPLETED","Frontier","Frontier",0,0.00027931,14423.6,17006.7,0.00027931,14423.6,2583.08,"0.00:0.00:0.00:0.00:0.00:0.96","None"
39,"COMPLETED","Frontier","Aurora",0,0.000303238,0.000303238,313.558,0.000303238,0,313.558,"0.00:0.00:0.96:0.00:0.00:0.95","None"
40,"COMPLETED","Frontier","Frontier",0,0.00027931,38765.4,40374.5,0.00027931,38765.4,1609.06,"0.00:0.00:0.00:0.00:0.00:0.97","None"
41,"COMPLETED","Frontier","Frontier",0,0.000279077,101306,107033,0.000279077,101306,5727.18,"0.00:0.00:0.00:0.00:0.00:0.92","None"
42,"COMPLETED","Frontier","Frontier",0,0.00027931,35519.1,41307.4,0.00027931,35519.1,5788.32,"0.00:0.00:0.00:0.00:0.00:0.92","None"
43,"COMPLETED","Frontier","Frontier",0,0.000278041,7374.85,11991.8,0.000278041,7374.85,4616.92,"0.00:0.00:0.00:0.00:0.00:0.97","None"
44,"COMPLETED","Andes","Aurora",0,0.000303238,0.000303238,821.25,0.000303238,0,821.25,"0.92:0.92:0.96:0.00:0.92:0.96","None"
45,"COMPLETED","Frontier","Frontier",0,0.000278041,5293.8,9491.3,0.000278041,5293.8,4197.5,"0.00:0.00:0.00:0.00:0.00:0.97","None"
46,"COMPLETED","Frontier","Frontier",0,0.000278041,189421,194013,0.000278041,189421,4592.25,"0.00:0.00:0.00:0.00:0.00:0.95","None"
47,"COMPLETED","Frontier","Frontier",0,0.000279495,53353.9,54247.5,0.000279495,53353.9,893.564,"0.00:0.00:0.00:0.00:0.00:0.95","None"
48,"COMPLETED","Frontier","Frontier",0,0.00027931,14206.9,15319.3,0.00027931,14206.9,1112.4,"0.00:0.00:0.00:0.00:0.00:0.96","None"
49,"COMPLETED","Frontier","Frontier",0,0.00027931,14226.2,16864,0.00027931,14226.2,2637.78,"0.00:0.00:0.00:0.00:0.00:0.95","None"
50,"COMPLETED","Frontier","Frontier",0,0.000278567,8637.43,9484.86,0.000278567,8637.43,847.437,"0.00:0.00:0.00:0.00:0.00:0.97","None"
51,"COMPLETED","Frontier","Frontier",0,0.000279629,1629.44,3750.18,0.000279629,1629.44,2120.74,"0.00:0.00:0.92:0.00:0.00:0.92","None"
52,"COMPLETED","Frontier","Frontier",0,0.00027931,87096.2,89179.4,0.00027931,87096.2,2083.19,"0.00:0.00:0.00:0.00:0.00:0.97","None"
