JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000605415,0.000605415,26.8182,0.000605415,0,26.8176,"0.00:0.00:0.83:0.00:0.00:0.96","None"
2,"COMPLETED","Frontier","Frontier",0,0.000597746,0.000597746,86.8898,0.000597746,0,86.8892,"0.00:0.00:0.85:0.00:0.00:0.89","None"
3,"COMPLETED","Frontier","Frontier",0,0.000595014,0.000595014,69.7265,0.000595014,0,69.7259,"0.00:0.00:0.85:0.00:0.00:0.89","None"
4,"COMPLETED","Frontier","Frontier",0,0.00059982,0.00059982,71.8719,0.00059982,0,71.8713,"0.00:0.00:0.85:0.00:0.00:0.89","None"
5,"COMPLETED","Frontier","Aurora",0,0.000613932,0.000613932,20.7698,0.000613932,0,20.7692,"0.00:0.84:0.92:0.00:0.00:0.89","None"
6,"COMPLETED","Frontier","Frontier",0,0.000609447,0.000609447,133.016,0.000609447,0,133.015,"0.00:0.84:0.85:0.00:0.00:0.96","None"
7,"COMPLETED","Frontier","Aurora",0,0.000670851,0.000670851,62.8853,0.000670851,0,62.8846,"0.00:0.85:0.92:0.00:0.00:0.89","None"
8,"COMPLETED","Frontier","Frontier",0,0.00059626,0.00059626,25.7455,0.00059626,0,25.7449,"0.00:0.00:0.75:0.00:0.00:0.80","None"
9,"COMPLETED","Frontier","Frontier",0,0.000595014,0.000595014,104.053,0.000595014,0,104.052,"0.00:0.00:0.75:0.00:0.00:0.89","None"
10,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000668304,0.000668304,716.401,0.000668304,0,716.4,"0.00:0.92:0.85:0.00:0.00:0.89","None"
11,"COMPLETED","Frontier","Aurora",0,0.000612124,0.000612124,131.828,0.000612124,0,131.827,"0.00:0.00:0.92:0.00:0.00:0.89","None"
12,"COMPLETED","Frontier","Frontier",0,0.00059708,0.00059708,95.4714,0.00059708,0,95.4708,"0.00:0.00:0.84:0.00:0.00:0.96","None"
13,"COMPLETED","Andes","Andes",0,0.000611205,0.000611205,141.601,0.000611205,0,141.6,"0.92:0.72:0.76:0.82:0.80:0.81","None"
14,"COMPLETED","Frontier","Frontier",0,0.00059708,0.00059708,264.959,0.00059708,0,264.958,"0.00:0.00:0.85:0.00:0.00:0.89","None"
15,"COMPLETED","Frontier","Aurora",0,0.000613932,0.000613932,26.5391,0.000613932,0,26.5385,"0.00:0.00:0.92:0.00:0.00:0.89","None"
16,"COMPLETED","Frontier","Aurora",0,0.000638161,0.000638161,111.635,0.000638161,0,111.635,"0.00:0.84:0.92:0.00:0.00:0.89","None"
17,"COMPLETED","Andes","Frontier",0,0.000604197,0.000604197,38.618,0.000604197,0,38.6174,"0.83:0.72:0.75:0.73:0.79:0.89","None"
18,"COMPLETED","Frontier","Aurora",0,0.000594014,0.000594014,183.751,0.000594014,0,183.75,"0.00:0.00:0.92:0.00:0.00:0.89","None"
19,"COMPLETED","Frontier","Aurora",0,0.000611118,0.000611118,139.039,0.000611118,0,139.038,"0.00:0.00:0.92:0.00:0.00:0.89","None"
20,"COMPLETED","Andes","Andes",0,0.000613028,0.000613028,26.4006,0.000613028,0,26.4,"0.92:0.71:0.75:0.82:0.79:0.81","None"
21,"COMPLETED","Andes","Frontier",0,0.000616205,0.000616205,74.0173,0.000616205,0,74.0167,"0.85:0.73:0.75:0.77:0.79:0.89","None"
22,"COMPLETED","Frontier","Frontier",0,0.000606836,0.000606836,23.6001,0.000606836,0,23.5995,"0.00:0.00:0.83:0.00:0.00:0.95","None"
23,"COMPLETED","Frontier","Frontier",0,0.000599014,0.000599014,218.833,0.000599014,0,218.832,"0.00:0.00:0.85:0.00:0.00:0.89","None"
24,"COMPLETED","Andes","Frontier",0,0.000611205,0.000611205,101.908,0.000611205,0,101.907,"0.83:0.73:0.75:0.74:0.79:0.89","None"
25,"COMPLETED","Frontier","Frontier",0,0.000597746,0.000597746,65.4356,0.000597746,0,65.435,"0.00:0.00:0.75:0.00:0.00:0.88","None"
26,"COMPLETED","Frontier","Aurora",0,0.000610062,0.000610062,61.7314,0.000610062,0,61.7308,"0.00:0.00:0.92:0.00:0.00:0.89","None"
27,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000609221,0.000609221,92.4006,0.000609221,0,92.4,"0.84:0.82:0.75:0.75:0.90:0.80","None"
28,"COMPLETED","Andes","Andes",0,0.000670851,60.0006,91.2006,0.000670851,59.9999,31.2,"0.95:0.73:0.75:0.87:0.79:0.80","None"
29,"COMPLETED","Andes","Frontier",0,0.000609851,0.000609851,20.382,0.000609851,0,20.3814,"0.82:0.72:0.75:0.72:0.79:0.89","None"
30,"COMPLETED","Andes","Andes",0,0.000616205,60.0006,158.401,0.000616205,60,98.4,"0.95:0.73:0.75:0.87:0.80:0.81","None"
31,"COMPLETED","Frontier","Aurora",0,0.000594014,0.000594014,164.712,0.000594014,0,164.712,"0.00:0.00:0.92:0.00:0.00:0.89","None"
32,"COMPLETED","Frontier","Aurora",0,0.000610062,0.000610062,100.385,0.000610062,0,100.385,"0.00:0.00:0.92:0.00:0.00:0.89","None"
33,"COMPLETED","Andes","Frontier",0,0.000617028,0.000617028,30.0364,0.000617028,0,30.0358,"0.82:0.72:0.75:0.72:0.79:0.89","None"
34,"COMPLETED","Frontier","Aurora",0,0.000610062,0.000610062,59.7121,0.000610062,0,59.7115,"0.00:0.00:0.92:0.00:0.00:0.89","None"
35,"COMPLETED","Frontier","Aurora",0,0.000604552,0.000604552,68.366,0.000604552,0,68.3654,"0.00:0.84:0.92:0.00:0.00:0.89","None"
36,"COMPLETED","Andes","Frontier",0,0.000609018,0.000609018,179.142,0.000609018,0,179.142,"0.84:0.74:0.76:0.75:0.80:0.89","None"
37,"COMPLETED","Andes","Frontier",0,0.000605851,0.000605851,22.5274,0.000605851,0,22.5268,"0.84:0.72:0.75:0.75:0.79:0.89","None"
38,"COMPLETED","Frontier","Frontier",0,0.000674851,0.000674851,83.6717,0.000674851,0,83.671,"0.00:0.73:0.75:0.00:0.79:0.80","None"
39,"COMPLETED","Frontier","Aurora",0,0.000598945,0.000598945,34.0391,0.000598945,0,34.0385,"0.00:0.00:0.92:0.00:0.00:0.89","None"
