JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Andes",0,5.23947e-05,5.23947e-05,1317.6,5.23947e-05,0,1317.6,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,3550.66,5.54097e-05,0,3550.66,"1.00","None"
3,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,72.944,5.54097e-05,0,72.944,"1.00","None"
4,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,4526.82,5.54097e-05,0,4526.82,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,1592.97,5.54097e-05,0,1592.97,"1.00","None"
6,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,1378.43,5.54097e-05,0,1378.43,"1.00","None"
7,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,5070.68,5.54097e-05,0,5070.68,"1.00","None"
8,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,5457.93,5.54097e-05,0,5457.93,"1.00","None"
9,"COMPLETED","Frontier","Frontier",0,5.54097e-05,1592.97,3663.29,5.54097e-05,1592.97,2070.32,"1.00","None"
10,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5457.93,11782.6,5.54097e-05,5457.93,6324.67,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.54097e-05,1378.43,1899.76,5.54097e-05,1378.43,521.335,"1.00","None"
12,"COMPLETED","Frontier","Frontier",0,5.54097e-05,3303.93,6655.07,5.54097e-05,3303.93,3351.13,"1.00","None"
13,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,20.3815,5.54097e-05,0,20.3814,"1.00","None"
14,"COMPLETED","Frontier","Frontier",0,5.54097e-05,152715,157091,5.54097e-05,152715,4376.64,"1.00","None"
15,"COMPLETED","Frontier","Frontier",0,5.54097e-05,23137.5,24649,5.54097e-05,23137.5,1511.44,"1.00","None"
16,"COMPLETED","Frontier","Frontier",0,5.54097e-05,87664.9,93338.4,5.54097e-05,87664.9,5673.54,"1.00","None"
17,"COMPLETED","Frontier","Frontier",0,5.54097e-05,3550.66,10757.1,5.54097e-05,3550.66,7206.44,"1.00","None"
18,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5070.68,7823.24,5.54097e-05,5070.68,2752.56,"1.00","None"
19,"COMPLETED","Frontier","Frontier",0,5.54097e-05,24649,26604.5,5.54097e-05,24649,1955.54,"1.00","None"
20,"COMPLETED","Frontier","Frontier",0,5.54097e-05,119197,121551,5.54097e-05,119197,2354.59,"1.00","None"
21,"COMPLETED","Frontier","Frontier",0,5.54097e-05,4526.82,7188.2,5.54097e-05,4526.82,2661.38,"1.00","None"
22,"COMPLETED","Frontier","Frontier",0,5.54097e-05,106149,107273,5.54097e-05,106149,1124.2,"1.00","None"
23,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5070.68,7730.99,5.54097e-05,5070.68,2660.31,"1.00","None"
24,"COMPLETED","Frontier","Frontier",0,5.54097e-05,25977.7,27389.4,5.54097e-05,25977.7,1411.68,"1.00","None"
25,"COMPLETED","Frontier","Frontier",0,5.54097e-05,7823.24,9548.15,5.54097e-05,7823.24,1724.91,"1.00","None"
26,"COMPLETED","Frontier","Frontier",0,5.54097e-05,47.1991,137.306,5.54097e-05,47.199,90.1073,"1.00","None"
27,"COMPLETED","Frontier","Frontier",0,5.54097e-05,27439.1,28449.6,5.54097e-05,27439.1,1010.49,"1.00","None"
28,"COMPLETED","Andes","Andes",0,5.23947e-05,5.23947e-05,52.8001,5.23947e-05,0,52.8,"1.00","None"
29,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,40.7629,5.54097e-05,0,40.7628,"1.00","None"
30,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5457.93,7702.03,5.54097e-05,5457.93,2244.1,"1.00","None"
31,"COMPLETED","Andes","Andes",0,5.23947e-05,1317.6,3745.2,5.23947e-05,1317.6,2427.6,"1.00","None"
32,"COMPLETED","Frontier","Frontier",0,5.54097e-05,12962.6,13355.2,5.54097e-05,12962.6,392.61,"1.00","None"
33,"COMPLETED","Andes","Andes",0,5.23947e-05,52.8001,890.4,5.23947e-05,52.8,837.6,"1.00","None"
34,"COMPLETED","Andes","Andes",0,5.23947e-05,3745.2,4879.2,5.23947e-05,3745.2,1134,"1.00","None"
35,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5705.72,9554.59,5.54097e-05,5705.72,3848.87,"1.00","None"
36,"COMPLETED","Frontier","Frontier",0,5.54097e-05,5.54097e-05,69.7259,5.54097e-05,0,69.7259,"1.00","None"
37,"COMPLETED","Frontier","Frontier",0,5.54097e-05,12432.7,12962.6,5.54097e-05,12432.7,529.917,"1.00","None"
38,"COMPLETED","Frontier","Frontier",0,5.54097e-05,72.944,150.179,5.54097e-05,72.944,77.2348,"1.00","None"
39,"COMPLETED","Frontier","Frontier",0,5.54097e-05,1592.97,2764.36,5.54097e-05,1592.97,1171.39,"1.00","None"
40,"COMPLETED","Frontier","Frontier",0,5.54097e-05,150.179,2681.76,5.54097e-05,150.179,2531.59,"1.00","None"
41,"COMPLETED","Frontier","Frontier",0,5.54097e-05,27389.4,29100.4,5.54097e-05,27389.4,1710.97,"1.00","None"
42,"COMPLETED","Frontier","Frontier",0,5.54097e-05,1899.76,5705.72,5.54097e-05,1899.76,3805.96,"1.00","None"
43,"COMPLETED","Frontier","Frontier",0,5.54097e-05,1899.76,3303.93,5.54097e-05,1899.76,1404.17,"1.00","None"
