JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier",0,0.000277425,1148.87,6399.76,0.000277425,1148.87,5250.89,"0.80:0.80:0.80:0.00:0.80:0.80","None"
2,"COMPLETED","Frontier","Aurora",0,0.000300948,0.000300948,508.27,0.000300948,0,508.269,"0.00:0.80:0.80:0.00:0.00:0.80","None"
3,"COMPLETED","Frontier","Frontier",0,0.000282011,2535.88,3476.64,0.000282011,2535.88,940.763,"0.00:0.80:0.91:0.00:0.80:0.93","None"
4,"COMPLETED","Frontier","Aurora",0,0.000305561,1389.52,2082.12,0.000305561,1389.52,692.596,"0.00:0.00:0.92:0.00:0.80:0.91","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000301793,1942.8,3128.4,0.000301793,1942.8,1185.6,"0.00:0.80:0.80:0.00:0.80:0.80","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000301542,0.000301542,589.2,0.000301542,0,589.2,"0.80:0.80:0.80:0.00:0.80:0.80","None"
7,"COMPLETED","Frontier","Frontier",0,0.000296011,39521.7,46256.1,0.000296011,39521.7,6734.45,"0.00:0.00:0.91:0.00:0.00:0.94","None"
8,"COMPLETED","Frontier","Frontier",0,0.000296011,9025.75,11096.1,0.000296011,9025.74,2070.32,"0.00:0.77:0.91:0.00:0.00:0.94","None"
9,"COMPLETED","Frontier","Frontier",0,0.000277576,1456.73,7781.41,0.000277576,1456.73,6324.67,"0.00:0.00:0.80:0.00:0.00:0.80","None"
10,"COMPLETED","Frontier","Aurora",0,0.000301346,0.000301346,140.193,0.000301346,0,140.192,"0.00:0.00:0.80:0.00:0.80:0.80","None"
11,"COMPLETED","Frontier","Aurora",0,0.000301346,0.000301346,901.154,0.000301346,0,901.154,"0.00:0.80:0.80:0.00:0.00:0.80","None"
12,"COMPLETED","Frontier","Frontier",0,0.000286733,2919.9,3840.29,0.000286733,2919.9,920.381,"0.00:0.80:0.95:0.00:0.00:0.97","None"
13,"COMPLETED","Frontier","Frontier",0,0.000285834,8848.75,9763.77,0.000285834,8848.75,915.018,"0.00:0.00:0.90:0.00:0.80:0.93","None"
14,"COMPLETED","Frontier","Aurora",0,0.000305171,254.712,1306.44,0.000305171,254.712,1051.73,"0.00:0.80:0.92:0.00:0.80:0.91","None"
15,"COMPLETED","Frontier","Frontier",0,0.000277576,27587.8,28914.8,0.000277576,27587.8,1326.94,"0.00:0.00:0.80:0.00:0.00:0.80","None"
16,"COMPLETED","Frontier","Frontier",0,0.000296011,5079.26,7831.82,0.000296011,5079.26,2752.56,"0.00:0.75:0.92:0.00:0.00:0.94","None"
17,"COMPLETED","Frontier","Frontier",0,0.000276469,0.000276469,1148.87,0.000276469,0,1148.87,"0.00:0.00:0.80:0.00:0.00:0.80","None"
18,"COMPLETED","Frontier","Frontier",0,0.000299834,9763.77,11604.5,0.000299834,9763.77,1840.76,"0.00:0.00:0.93:0.00:0.00:0.94","None"
19,"COMPLETED","Frontier","Frontier",0,0.000277576,1456.73,1974.85,0.000277576,1456.73,518.117,"0.00:0.00:0.80:0.00:0.80:0.80","None"
20,"COMPLETED","Frontier","Aurora",0,0.000305948,901.154,1999.33,0.000305948,901.154,1098.17,"0.00:0.80:0.92:0.00:0.80:0.90","None"
21,"COMPLETED","Frontier","Frontier",0,0.000283543,2535.88,5079.26,0.000283543,2535.88,2543.38,"0.00:0.80:0.95:0.00:0.00:0.97","None"
22,"COMPLETED","Frontier","Frontier",0,0.000283543,5549.11,7895.11,0.000283543,5549.11,2346.01,"0.00:0.00:0.92:0.00:0.80:0.93","None"
23,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000300308,700.8,1263.6,0.000300308,700.8,562.8,"0.80:0.80:0.80:0.00:0.80:0.80","None"
24,"COMPLETED","Frontier","Frontier",0,0.000293834,3476.64,5420.38,0.000293834,3476.64,1943.74,"0.00:0.74:0.92:0.00:0.00:0.94","None"
25,"COMPLETED","Andes","Andes",0,0.000277576,1560,3774,0.000277576,1560,2214,"0.80:0.80:0.80:0.00:0.80:0.80","None"
26,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000300308,3700.8,8005.2,0.000300308,3700.8,4304.4,"0.00:0.80:0.80:0.00:0.80:0.80","None"
27,"COMPLETED","Frontier","Frontier",0,0.000282011,1148.87,5549.11,0.000282011,1148.87,4400.24,"0.00:0.80:0.94:0.00:0.00:0.97","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000301542,1311.6,2445.6,0.000301542,1311.6,1134,"0.00:0.80:0.80:0.00:0.80:0.80","None"
29,"COMPLETED","Frontier","Frontier",0,0.000298479,2102.5,2919.9,0.000298479,2102.5,817.402,"0.00:0.75:0.91:0.00:0.00:0.94","None"
30,"COMPLETED","Frontier","Frontier",0,0.00028321,2555.19,3728.72,0.00028321,2555.18,1173.54,"0.80:0.80:0.91:0.00:0.80:0.92","None"
31,"COMPLETED","Frontier","Frontier",0,0.000276469,0.000276469,7193.56,0.000276469,0,7193.56,"0.00:0.00:0.80:0.00:0.00:0.80","None"
32,"COMPLETED","Frontier","Aurora",0,0.000301346,0.000301346,489.808,0.000301346,0,489.808,"0.00:0.80:0.80:0.00:0.00:0.80","None"
33,"COMPLETED","Frontier","Frontier",0,0.000296011,5593.62,8279.68,0.000296011,5593.62,2686.05,"0.00:0.74:0.91:0.00:0.00:0.95","None"
34,"COMPLETED","Frontier","Frontier",0,0.000277606,1974.85,3100.12,0.000277606,1974.85,1125.27,"0.00:0.00:0.80:0.00:0.00:0.80","None"
35,"COMPLETED","Frontier","Aurora",0,0.000299192,0.000299192,245.193,0.000299192,0,245.192,"0.00:0.00:0.80:0.00:0.00:0.80","None"
36,"COMPLETED","Frontier","Frontier",0,0.000293834,3476.64,9621.1,0.000293834,3476.64,6144.46,"0.00:0.76:0.91:0.00:0.00:0.94","None"
37,"COMPLETED","Frontier","Aurora",0,0.000305171,862.212,1742.02,0.000305171,862.212,879.808,"0.00:0.00:0.91:0.00:0.00:0.91","None"
38,"COMPLETED","Frontier","Andes",0,0.000277606,3774,4298.4,0.000277606,3774,524.4,"0.80:0.80:0.80:0.00:0.80:0.80","None"
39,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000299689,0.000299689,1311.6,0.000299689,0,1311.6,"0.00:0.00:0.80:0.00:0.80:0.80","None"
40,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000301206,700.8,4568.4,0.000301206,700.8,3867.6,"0.80:0.80:0.80:0.00:0.80:0.80","None"
41,"COMPLETED","Frontier","Frontier",0,0.000276469,0.000276469,1456.73,0.000276469,0,1456.73,"0.00:0.00:0.80:0.00:0.00:0.80","None"
42,"COMPLETED","Frontier","Frontier",0,0.000282011,39521.7,43859.7,0.000282011,39521.7,4338.02,"0.00:0.00:0.90:0.00:0.80:0.90","None"
43,"COMPLETED","Frontier","Frontier",0,0.000292302,4549.88,5593.62,0.000292302,4549.88,1043.74,"0.00:0.76:0.93:0.00:0.00:0.94","None"
44,"COMPLETED","Frontier","Aurora",0,0.000305382,1742.02,2520.58,0.000305382,1742.02,778.558,"0.00:0.00:0.92:0.00:0.80:0.92","None"
45,"COMPLETED","Frontier","Aurora",0,0.000301346,140.193,551.25,0.000301346,140.192,411.058,"0.00:0.00:0.80:0.00:0.00:0.80","None"
46,"COMPLETED","Frontier","Frontier",0,0.000296011,8904.53,11380.3,0.000296011,8904.53,2475.8,"0.00:0.75:0.92:0.00:0.00:0.95","None"
47,"COMPLETED","Frontier","Aurora",0,0.000305561,508.27,862.212,0.000305561,508.269,353.942,"0.00:0.80:0.91:0.00:0.80:0.91","None"
48,"COMPLETED","Frontier","Frontier",0,0.000280721,1148.87,2555.19,0.000280721,1148.87,1406.32,"0.00:0.80:0.94:0.00:0.00:0.97","None"
49,"COMPLETED","Frontier","Frontier",0,0.000293834,84462.7,85297.3,0.000293834,84462.7,834.565,"0.00:0.00:0.92:0.00:0.00:0.94","None"
50,"COMPLETED","Frontier","Andes",0,0.000276911,0.000276911,1560,0.000276911,0,1560,"0.80:0.80:0.80:0.00:0.80:0.80","None"
51,"COMPLETED","Frontier","Frontier",0,0.000285834,31404.5,32276.6,0.000285834,31404.5,872.11,"0.00:0.00:0.95:0.00:0.00:0.97","None"
52,"COMPLETED","Frontier","Frontier",0,0.000276911,38654.9,44213.7,0.000276911,38654.9,5558.76,"0.00:0.00:0.80:0.00:0.00:0.80","None"
53,"COMPLETED","Frontier","Frontier",0,0.00028321,7193.56,11697.9,0.00028321,7193.56,4504.29,"0.00:0.00:0.94:0.00:0.00:0.97","None"
54,"COMPLETED","Frontier","Aurora",0,0.000301635,245.193,944.712,0.000301635,245.192,699.519,"0.00:0.00:0.80:0.00:0.80:0.80","None"
55,"COMPLETED","Frontier","Frontier",0,0.000304302,7831.82,8790.82,0.000304302,7831.82,958.999,"0.00:0.74:0.91:0.00:0.00:0.95","None"
