JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,1021.22,5.51437e-05,0,1021.22,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,809.893,5.51437e-05,0,809.893,"1.00","None"
3,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,917.163,5.51437e-05,0,917.163,"1.00","None"
4,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,3932.54,5.51437e-05,0,3932.54,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,1763.53,5.51437e-05,0,1763.53,"1.00","None"
6,"COMPLETED","Frontier","Frontier",0,5.51437e-05,95119,98137.5,5.51437e-05,95119,3018.59,"1.00","None"
7,"COMPLETED","Frontier","Frontier",0,5.51437e-05,917.163,2222.65,5.51437e-05,917.163,1305.48,"1.00","None"
8,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,785.221,5.51437e-05,0,785.221,"1.00","None"
9,"COMPLETED","Frontier","Frontier",0,5.51437e-05,785.221,4968.77,5.51437e-05,785.221,4183.55,"1.00","None"
10,"COMPLETED","Andes","Andes",0,5.2173e-05,5.2173e-05,860.4,5.2173e-05,0,860.4,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1763.53,4363.77,5.51437e-05,1763.53,2600.24,"1.00","None"
12,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3932.54,4924.79,5.51437e-05,3932.54,992.253,"1.00","None"
13,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1763.53,3597.85,5.51437e-05,1763.53,1834.33,"1.00","None"
14,"COMPLETED","Frontier","Frontier",0,5.51437e-05,33481.3,36550.3,5.51437e-05,33481.3,3069.01,"1.00","None"
15,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5919.19,6737.66,5.51437e-05,5919.19,818.474,"1.00","None"
16,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3932.54,9226.34,5.51437e-05,3932.54,5293.8,"1.00","None"
17,"COMPLETED","Frontier","Frontier",0,5.51437e-05,14721.8,18254.2,5.51437e-05,14721.8,3532.42,"1.00","None"
18,"COMPLETED","Frontier","Frontier",0,5.51437e-05,91711,92543.4,5.51437e-05,91711,832.42,"1.00","None"
19,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1021.22,2172.23,5.51437e-05,1021.22,1151.01,"1.00","None"
20,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1021.22,1995.23,5.51437e-05,1021.22,974.017,"1.00","None"
21,"COMPLETED","Frontier","Frontier",0,5.51437e-05,111763,116115,5.51437e-05,111763,4351.97,"1.00","None"
22,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1692.73,3243.86,5.51437e-05,1692.73,1551.13,"1.00","None"
23,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1895.47,2849.11,5.51437e-05,1895.47,953.635,"1.00","None"
24,"COMPLETED","Frontier","Frontier",0,5.51437e-05,27610.4,30550.7,5.51437e-05,27610.4,2940.29,"1.00","None"
25,"COMPLETED","Frontier","Frontier",0,5.51437e-05,98137.5,99052.6,5.51437e-05,98137.5,915.018,"1.00","None"
26,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3932.54,9255.3,5.51437e-05,3932.54,5322.77,"1.00","None"
27,"COMPLETED","Frontier","Frontier",0,5.51437e-05,99052.6,101129,5.51437e-05,99052.6,2076.76,"1.00","None"
28,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1995.23,3078.67,5.51437e-05,1995.23,1083.43,"1.00","None"
29,"COMPLETED","Frontier","Frontier",0,5.51437e-05,6581.05,7618.36,5.51437e-05,6581.05,1037.31,"1.00","None"
30,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5.51437e-05,829.201,5.51437e-05,0,829.201,"1.00","None"
31,"COMPLETED","Frontier","Frontier",0,5.51437e-05,12841.4,13340.2,5.51437e-05,12841.4,498.808,"1.00","None"
32,"COMPLETED","Frontier","Frontier",0,5.51437e-05,6737.66,7681.64,5.51437e-05,6737.66,943.981,"1.00","None"
33,"COMPLETED","Andes","Andes",0,5.2173e-05,5.2173e-05,1065.6,5.2173e-05,0,1065.6,"1.00","None"
34,"COMPLETED","Frontier","Frontier",0,5.51437e-05,15730.2,18950.4,5.51437e-05,15730.2,3220.26,"1.00","None"
35,"COMPLETED","Frontier","Frontier",0,5.51437e-05,2222.65,3659,5.51437e-05,2222.65,1436.35,"1.00","None"
36,"COMPLETED","Frontier","Frontier",0,5.51437e-05,18026.1,20921.3,5.51437e-05,18026.1,2895.23,"1.00","None"
37,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3932.54,6365.44,5.51437e-05,3932.54,2432.9,"1.00","None"
38,"COMPLETED","Frontier","Frontier",0,5.51437e-05,9448.39,12031.5,5.51437e-05,9448.39,2583.08,"1.00","None"
39,"COMPLETED","Frontier","Frontier",0,5.51437e-05,1995.23,3161.26,5.51437e-05,1995.23,1166.03,"1.00","None"
40,"COMPLETED","Frontier","Frontier",0,5.51437e-05,20921.3,22530.4,5.51437e-05,20921.3,1609.06,"1.00","None"
41,"COMPLETED","Frontier","Frontier",0,5.51437e-05,39174.1,44901.3,5.51437e-05,39174.1,5727.18,"1.00","None"
42,"COMPLETED","Frontier","Frontier",0,5.51437e-05,21085.1,26873.4,5.51437e-05,21085.1,5788.32,"1.00","None"
43,"COMPLETED","Frontier","Frontier",0,5.51437e-05,11651.7,16268.7,5.51437e-05,11651.7,4616.92,"1.00","None"
44,"COMPLETED","Andes","Andes",0,5.2173e-05,1065.6,4482,5.2173e-05,1065.6,3416.4,"1.00","None"
45,"COMPLETED","Frontier","Frontier",0,5.51437e-05,12260,16457.4,5.51437e-05,12260,4197.5,"1.00","None"
46,"COMPLETED","Frontier","Frontier",0,5.51437e-05,160209,164801,5.51437e-05,160209,4592.25,"1.00","None"
47,"COMPLETED","Frontier","Frontier",0,5.51437e-05,22683.4,23577,5.51437e-05,22683.4,893.564,"1.00","None"
48,"COMPLETED","Frontier","Frontier",0,5.51437e-05,6737.66,7850.06,5.51437e-05,6737.66,1112.4,"1.00","None"
49,"COMPLETED","Frontier","Frontier",0,5.51437e-05,24199.2,26836.9,5.51437e-05,24199.2,2637.78,"1.00","None"
50,"COMPLETED","Frontier","Frontier",0,5.51437e-05,30550.7,31398.1,5.51437e-05,30550.7,847.437,"1.00","None"
51,"COMPLETED","Frontier","Frontier",0,5.51437e-05,4373.42,6494.16,5.51437e-05,4373.42,2120.74,"1.00","None"
52,"COMPLETED","Frontier","Frontier",0,5.51437e-05,31398.1,33481.3,5.51437e-05,31398.1,2083.19,"1.00","None"
53,"COMPLETED","Frontier","Frontier",0,5.51437e-05,36550.3,39174.1,5.51437e-05,36550.3,2623.84,"1.00","None"
54,"COMPLETED","Frontier","Frontier",0,5.51437e-05,7681.64,8510.85,5.51437e-05,7681.64,829.201,"1.00","None"
55,"COMPLETED","Frontier","Frontier",0,5.51437e-05,116967,120066,5.51437e-05,116967,3099.05,"1.00","None"
56,"COMPLETED","Frontier","Frontier",0,5.51437e-05,2222.65,5159.71,5.51437e-05,2222.65,2937.07,"1.00","None"
57,"COMPLETED","Frontier","Frontier",0,5.51437e-05,21757.7,28729.2,5.51437e-05,21757.7,6971.51,"1.00","None"
58,"COMPLETED","Frontier","Frontier",0,5.51437e-05,120541,121753,5.51437e-05,120541,1212.16,"1.00","None"
59,"COMPLETED","Frontier","Frontier",0,5.51437e-05,4466.75,5919.19,5.51437e-05,4466.75,1452.44,"1.00","None"
60,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3597.85,4417.4,5.51437e-05,3597.85,819.547,"1.00","None"
61,"COMPLETED","Frontier","Frontier",0,5.51437e-05,809.893,1692.73,5.51437e-05,809.893,882.837,"1.00","None"
62,"COMPLETED","Frontier","Frontier",0,5.51437e-05,7850.06,11651.7,5.51437e-05,7850.06,3801.67,"1.00","None"
63,"COMPLETED","Frontier","Frontier",0,5.51437e-05,12920.7,14721.8,5.51437e-05,12920.7,1801.07,"1.00","None"
64,"COMPLETED","Frontier","Frontier",0,5.51437e-05,29392.5,33702.7,5.51437e-05,29392.5,4310.13,"1.00","None"
65,"COMPLETED","Frontier","Frontier",0,5.51437e-05,2222.65,6951.13,5.51437e-05,2222.65,4728.49,"1.00","None"
66,"COMPLETED","Frontier","Frontier",0,5.51437e-05,3078.67,4466.75,5.51437e-05,3078.67,1388.08,"1.00","None"
67,"COMPLETED","Frontier","Frontier",0,5.51437e-05,4363.77,5196.19,5.51437e-05,4363.77,832.42,"1.00","None"
68,"COMPLETED","Frontier","Frontier",0,5.51437e-05,5159.71,6581.05,5.51437e-05,5159.71,1421.33,"1.00","None"
69,"COMPLETED","Frontier","Frontier",0,5.51437e-05,13028,13961.3,5.51437e-05,13028,933.254,"1.00","None"
70,"COMPLETED","Frontier","Frontier",0,5.51437e-05,30244.9,37619.8,5.51437e-05,30244.9,7374.85,"1.00","None"
71,"COMPLETED","Frontier","Frontier",0,5.51437e-05,809.893,1895.47,5.51437e-05,809.893,1085.58,"1.00","None"
72,"COMPLETED","Frontier","Frontier",0,5.51437e-05,8510.85,9696.19,5.51437e-05,8510.85,1185.34,"1.00","None"
73,"COMPLETED","Frontier","Frontier",0,5.51437e-05,6110.74,7160.92,5.51437e-05,6110.74,1050.18,"1.00","None"
74,"COMPLETED","Frontier","Frontier",235.422,235.422,26555.9,27610.4,5.20843e-05,26320.5,1054.47,"1.00","None"
75,"COMPLETED","Frontier","Frontier",267.98,267.98,13961.3,15730.2,5.20843e-05,13693.3,1768.89,"1.00","None"
76,"COMPLETED","Frontier","Frontier",539.095,539.095,19543.6,21594.6,5.20843e-05,19004.5,2051.01,"1.00","None"
77,"COMPLETED","Frontier","Frontier",609.522,609.522,7618.36,9448.39,5.20843e-05,7008.83,1830.04,"1.00","None"
78,"COMPLETED","Frontier","Frontier",685.305,685.305,3161.26,4373.42,5.20843e-05,2475.96,1212.16,"1.00","None"
79,"COMPLETED","Frontier","Frontier",871.976,871.976,44901.3,47937.1,5.20843e-05,44029.3,3035.76,"1.00","None"
80,"COMPLETED","Frontier","Frontier",981.927,981.927,32535.6,36708.4,5.20843e-05,31553.6,4172.82,"1.00","None"
81,"COMPLETED","Frontier","Frontier",1710.64,1710.64,4924.79,5743.27,5.20843e-05,3214.15,818.474,"1.00","None"
82,"COMPLETED","Frontier","Frontier",1786.8,1786.8,3243.86,8992.49,5.20843e-05,1457.07,5748.63,"1.00","None"
83,"COMPLETED","Frontier","Frontier",2306,2306,3659,6876.04,5.20843e-05,1353,3217.04,"1.00","None"
84,"COMPLETED","Frontier","Frontier",2524.5,2524.5,47937.1,50061,5.20843e-05,45412.6,2123.96,"1.00","None"
