JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Aurora",0,0.000303622,0.000303622,1412.02,0.000303622,0,1412.02,"0.34:0.60:0.97:0.03:0.74:0.12","None"
2,"REJECTED","Frontier","Crux",0,-1,-1,0.000303622,0.000303622,-1,-1,"0.14:0.17:0.05:0.85:0.56:0.05","Job requires more nodes than the System has"
3,"REJECTED","Frontier","Crux",0,-1,-1,0.000303622,0.000303622,-1,-1,"0.76:0.41:0.75:0.87:0.06:0.07","Job requires more nodes than the System has"
4,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000309197,0.000309197,-1,-1,"0.44:0.91:0.65:0.13:0.20:0.61","Job requires more nodes than the System has"
5,"COMPLETED","Frontier","Frontier",0,0.000288095,0.000288095,1059.83,0.000288095,0,1059.83,"0.80:0.44:0.46:0.19:0.46:0.92","None"
6,"COMPLETED","Andes","Frontier",0,0.000288095,0.000288095,526.699,0.000288095,0,526.698,"0.97:0.45:0.93:0.73:0.48:0.99","None"
7,"REJECTED","Frontier","Andes",0,-1,-1,0.000288095,0.000288095,-1,-1,"0.98:0.97:0.34:0.55:0.56:0.75","Job requires more nodes than the System has"
8,"REJECTED","Frontier","Andes",0,-1,-1,0.000288095,0.000288095,-1,-1,"0.91:0.06:0.23:0.76:0.04:0.00","Job requires more nodes than the System has"
9,"COMPLETED","Frontier","Aurora",0,0.000303622,0.000303622,1700.77,0.000303622,0,1700.77,"0.29:0.64:0.68:0.13:0.23:0.13","None"
10,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000309197,0.000309197,-1,-1,"0.36:0.67:0.02:0.13:0.44:0.06","Job requires more nodes than the System has"
11,"REJECTED","Frontier","Andes",0,-1,-1,0.000288095,0.000288095,-1,-1,"0.96:0.17:0.82:0.92:0.69:0.35","Job requires more nodes than the System has"
12,"REJECTED","Frontier","Crux",0,-1,-1,0.000303622,0.000303622,-1,-1,"0.39:0.81:0.37:0.84:0.55:0.36","Job requires more nodes than the System has"
13,"REJECTED","Frontier","Crux",0,-1,-1,0.000303622,0.000303622,-1,-1,"0.18:0.01:0.79:0.89:0.26:0.22","Job requires more nodes than the System has"
14,"COMPLETED","Frontier","Aurora",0,0.000303622,0.000303622,1051.73,0.000303622,0,1051.73,"0.61:0.87:0.94:0.92:0.42:0.02","None"
