JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000574476,0.000574476,603.934,0.000574476,0,603.933,"0.00:0.58:0.68:0.00:0.00:0.81","None"
2,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00354129,0.00354129,97.2035,0.00354129,0,97.2,"0.74:0.78:0.76:0.68:0.84:0.76","None"
3,"COMPLETED","Andes","Perlmutter-Phase-2",999.441,999.442,999.442,1127.84,0.000604392,0,128.4,"0.77:0.71:0.76:0.68:0.77:0.77","None"
4,"COMPLETED","Aurora","Perlmutter-Phase-1",3600,3600,3600,3687.6,0.000582535,0,87.6,"0.00:0.81:0.80:0.00:0.00:0.81","None"
5,"COMPLETED","Aurora","Frontier",4110.78,4110.79,4110.79,4234.15,0.000584535,0,123.361,"0.00:0.79:0.80:0.00:0.00:0.84","None"
6,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,4941.82,0.000583535,0,230.632,"0.00:0.79:0.80:0.00:0.00:0.85","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7231.3,0.000603535,0,55.7807,"0.00:0.78:0.80:0.00:0.00:0.84","None"
8,"COMPLETED","Aurora","Perlmutter-Phase-1",9840.12,9840.12,9840.12,9925.32,0.000589535,0,85.2,"0.00:0.82:0.80:0.00:0.00:0.81","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,11368.8,0.00151308,0,568.8,"0.73:0.77:0.77:0.65:0.83:0.77","None"
10,"COMPLETED","Andes","Frontier",12720.2,12720.2,12720.2,12929.4,0.00361153,0,209.178,"0.73:0.72:0.76:0.65:0.78:0.81","None"
11,"COMPLETED","Aurora","Frontier",13195.9,13195.9,13195.9,13399.7,0.000638535,0,203.814,"0.00:0.77:0.81:0.00:0.00:0.85","None"
12,"COMPLETED","Aurora","Frontier",13534.5,13534.5,13534.5,13758.7,0.000637535,0,224.195,"0.73:0.73:0.76:0.66:0.78:0.81","None"
13,"COMPLETED","Aurora","Aurora",13805.4,13805.4,13805.4,13927.5,0.00663353,0,122.019,"0.00:0.60:0.84:0.00:0.00:0.62","None"
14,"COMPLETED","Frontier","Frontier",14996.3,14996.3,14996.3,15041.3,0.00663453,0,45.0536,"0.72:0.72:0.76:0.64:0.77:0.81","None"
15,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,15521.1,0.00362353,0,213.468,"0.00:0.57:0.68:0.00:0.00:0.81","None"
16,"COMPLETED","Aurora","Frontier",15879,15879,15879,16286.7,0.000597535,0,407.628,"0.00:0.81:0.81:0.00:0.00:0.81","None"
17,"COMPLETED","Frontier","Frontier",15956,15956,15956,16125.5,0.000636535,0,169.487,"0.00:0.57:0.68:0.00:0.00:0.81","None"
18,"COMPLETED","Aurora","Frontier",16098.5,16098.5,16098.5,16139.3,0.000587535,0,40.7628,"0.00:0.77:0.80:0.00:0.00:0.84","None"
19,"COMPLETED","Frontier","Perlmutter-Phase-2",16116.5,16116.5,16116.5,16444.1,0.00654735,0,327.6,"0.72:0.77:0.76:0.64:0.83:0.77","None"
20,"COMPLETED","Andes","Perlmutter-Phase-2",16389.4,16389.4,16389.4,17221,0.000636519,0,831.6,"0.73:0.78:0.77:0.65:0.83:0.77","None"
21,"COMPLETED","Crux","Perlmutter-Phase-2",16949,16949,16949,17453,0.000693535,0,504,"0.72:0.77:0.77:0.64:0.83:0.77","None"
22,"COMPLETED","Perlmutter-Phase-1","Frontier",17067.7,17067.7,17067.7,17104.2,0.000581535,0,36.472,"0.00:0.76:0.80:0.00:0.00:0.84","None"
23,"COMPLETED","Aurora","Aurora",17089.4,17089.4,17089.4,17123.4,0.000613535,0,34.0385,"0.00:0.59:0.84:0.00:0.00:0.62","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17343.9,0.00367853,0,66.3462,"0.00:0.61:0.84:0.00:0.00:0.61","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,17889.8,0.000645535,0,418.355,"0.00:0.59:0.68:0.00:0.00:0.81","None"
26,"COMPLETED","Frontier","Perlmutter-Phase-1",17516,17516,17516,17867.6,0.0125884,0,351.6,"0.00:0.82:0.81:0.00:0.00:0.81","None"
27,"COMPLETED","Aurora","Frontier",17949.3,17949.3,17949.3,18310.8,0.000616535,0,361.502,"0.00:0.81:0.81:0.00:0.00:0.81","None"
28,"COMPLETED","Aurora","Aurora",18099.9,18099.9,18099.9,18169.2,0.000596535,0,69.2308,"0.00:0.57:0.84:0.00:0.00:0.62","None"
29,"COMPLETED","Aurora","Aurora",18132.3,18132.3,18132.3,18295,0.000646535,0,162.692,"0.00:0.60:0.84:0.00:0.00:0.62","None"
30,"COMPLETED","Frontier","Andes",18382.1,18382.1,18382.1,18480.5,0.000605535,0,98.4,"0.81:0.73:0.76:0.74:0.77:0.76","None"
31,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,18821.3,0.000651535,0,158.76,"0.74:0.73:0.76:0.68:0.78:0.81","None"
