JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,127.652,5.21287e-05,0,127.652,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,68.6532,5.21287e-05,0,68.6532,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,1151.77,5.20843e-05,0,152.324,"1.00","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3628.85,5.20843e-05,0,28.8462,"1.00","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,4844.2,5.20843e-05,0,133.015,"1.00","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,6559.46,5.20843e-05,0,291.776,"1.00","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7209.85,5.20843e-05,0,34.3266,"1.00","None"
8,"COMPLETED","Andes","Andes",9786.87,9786.87,9786.87,9909.27,5.20843e-05,0,122.4,"1.00","None"
9,"COMPLETED","Crux","Crux",9840.12,9840.12,9840.12,10227.7,5.20843e-05,0,387.6,"1.00","None"
10,"COMPLETED","Andes","Andes",10357.4,10357.4,10357.4,10728.2,5.20843e-05,0,370.8,"1.00","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,10878.5,5.20843e-05,0,104.052,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,10837.2,5.20843e-05,0,37.2,"1.00","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,10972.3,5.20843e-05,0,133.015,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,11310.8,11310.8,11513.6,5.20843e-05,0,202.8,"1.00","None"
15,"COMPLETED","Andes","Andes",12720.2,12720.2,12720.2,12745.4,5.20843e-05,0,25.2,"1.00","None"
16,"COMPLETED","Aurora","Aurora",13805.4,13805.4,13805.4,13822.7,5.20843e-05,0,17.3077,"1.00","None"
17,"COMPLETED","Frontier","Frontier",14996.3,14996.3,14996.3,15113.2,5.20843e-05,0,116.925,"1.00","None"
18,"COMPLETED","Andes","Andes",15307.7,15307.7,15307.7,15485.3,5.20843e-05,0,177.6,"1.00","None"
19,"COMPLETED","Crux","Crux",15879,15879,15879,16248.6,5.20843e-05,0,369.6,"1.00","None"
20,"COMPLETED","Andes","Andes",15956,15956,15956,16112,5.20843e-05,0,156,"1.00","None"
21,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,16151.6,5.20843e-05,0,53.0769,"1.00","None"
22,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,16271,5.20843e-05,0,154.47,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,16473.1,5.20843e-05,0,83.671,"1.00","None"
24,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,16439.8,5.20843e-05,0,21.4541,"1.00","None"
25,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17358,5.20843e-05,0,80.4808,"1.00","None"
26,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,17621.6,5.20843e-05,0,150.179,"1.00","None"
27,"COMPLETED","Andes","Andes",17516,17516,17516,17570,5.20843e-05,0,54,"1.00","None"
28,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,19086.9,5.20843e-05,0,704.768,"1.00","None"
29,"COMPLETED","Andes","Andes",18662.5,18662.5,18662.5,18800.5,5.20843e-05,0,138,"1.00","None"
30,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,18740.9,5.20843e-05,0,35.7692,"1.00","None"
31,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19256,19256,19256,19469.6,5.20843e-05,0,213.6,"1.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19297.1,19297.1,19297.1,19335.5,5.20843e-05,0,38.4,"1.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19522.7,19522.7,19522.7,19715.9,5.20843e-05,0,193.2,"1.00","None"
34,"COMPLETED","Andes","Andes",19873.8,19873.8,19873.8,19977,5.20843e-05,0,103.2,"1.00","None"
35,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,20056.8,5.20843e-05,0,122.288,"1.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20395.9,20395.9,20395.9,20447.5,5.20843e-05,0,51.6,"1.00","None"
37,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,20988.4,5.20843e-05,0,302.503,"1.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20734.5,20734.5,20734.5,21290.1,5.20843e-05,0,555.6,"1.00","None"
39,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,21328.1,5.20843e-05,0,241.359,"1.00","None"
40,"COMPLETED","Andes","Andes",21157.7,21157.7,21157.7,21181.7,5.20843e-05,0,24,"1.00","None"
41,"COMPLETED","Aurora","Aurora",21488.7,21488.7,21488.7,21637.8,5.20843e-05,0,149.135,"1.00","None"
42,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,21510.1,5.20843e-05,0,6.92308,"1.00","None"
43,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,21709.5,5.20843e-05,0,61.1442,"1.00","None"
44,"COMPLETED","Aurora","Aurora",21678,21678,21678,21733.1,5.20843e-05,0,55.0962,"1.00","None"
45,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,21946.8,5.20843e-05,0,20.1923,"1.00","None"
46,"COMPLETED","Frontier","Frontier",22430.9,22430.9,22430.9,22739.8,5.20843e-05,0,308.939,"1.00","None"
47,"COMPLETED","Crux","Crux",22502.4,22502.4,22502.4,23359.2,5.20843e-05,0,856.8,"1.00","None"
48,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22571.3,5.20843e-05,0,4.61538,"1.00","None"
49,"COMPLETED","Aurora","Aurora",22684.6,22684.6,22684.6,22697.8,5.20843e-05,0,13.2692,"1.00","None"
50,"COMPLETED","Andes","Andes",22797.5,22797.5,22797.5,22817.9,5.20843e-05,0,20.4,"1.00","None"
51,"COMPLETED","Andes","Andes",22978.5,22978.5,22978.5,23132.1,5.20843e-05,0,153.6,"1.00","None"
52,"COMPLETED","Frontier","Frontier",23547.7,23547.7,23547.7,24002.5,5.20843e-05,0,454.827,"1.00","None"
53,"COMPLETED","Frontier","Frontier",23872.7,23872.7,23872.7,23940.3,5.20843e-05,0,67.5805,"1.00","None"
54,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",24149,24149,24149,24251,5.20843e-05,0,102,"1.00","None"
55,"COMPLETED","Aurora","Aurora",24162.6,24162.6,24162.6,24188.3,5.20843e-05,0,25.6731,"1.00","None"
56,"COMPLETED","Frontier","Frontier",24237.6,24237.6,24237.6,24455.4,5.20843e-05,0,217.759,"1.00","None"
57,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24289.4,24289.4,24289.4,24471.8,5.20843e-05,0,182.4,"1.00","None"
58,"COMPLETED","Andes","Andes",24441.8,24441.8,24441.8,24473,5.20843e-05,0,31.2,"1.00","None"
59,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,24777.9,5.20843e-05,0,65.4808,"1.00","None"
60,"COMPLETED","Frontier","Frontier",24770.3,24770.3,24770.3,24828.2,5.20843e-05,0,57.9261,"1.00","None"
61,"COMPLETED","Frontier","Frontier",24811,24811,24811,24894.6,5.20843e-05,0,83.671,"1.00","None"
62,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",25149.3,25149.3,25149.3,25571.7,5.20843e-05,0,422.4,"1.00","None"
63,"COMPLETED","Andes","Andes",25195.5,25195.5,25195.5,25323.9,5.20843e-05,0,128.4,"1.00","None"
64,"COMPLETED","Andes","Andes",25283.4,25283.4,25283.4,25317,5.20843e-05,0,33.6,"1.00","None"
65,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25299.9,25299.9,25299.9,25427.1,5.20843e-05,0,127.2,"1.00","None"
66,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25332.3,25332.3,25332.3,25536.3,5.20843e-05,0,204,"1.00","None"
67,"COMPLETED","Aurora","Aurora",25620.4,25620.4,25620.4,25745.9,5.20843e-05,0,125.481,"1.00","None"
68,"COMPLETED","Crux","Crux",25674.5,25674.5,25674.5,25888.1,5.20843e-05,0,213.6,"1.00","None"
69,"COMPLETED","Frontier","Frontier",25691.2,25691.2,25691.2,25827.4,5.20843e-05,0,136.234,"1.00","None"
70,"COMPLETED","Aurora","Aurora",25726.4,25726.4,25726.4,25731.1,5.20843e-05,0,4.61538,"1.00","None"
71,"COMPLETED","Aurora","Aurora",25817,25817,25817,25840.6,5.20843e-05,0,23.6538,"1.00","None"
72,"COMPLETED","Aurora","Aurora",25961.6,25961.6,25961.6,25969.7,5.20843e-05,0,8.07692,"1.00","None"
73,"COMPLETED","Aurora","Aurora",25976.8,25976.8,25976.8,26015.4,5.20843e-05,0,38.6538,"1.00","None"
74,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",26109.5,26109.5,26109.5,26216.3,5.20843e-05,0,106.8,"1.00","None"
75,"COMPLETED","Frontier","Frontier",26323.6,26323.6,26323.6,26341.8,5.20843e-05,0,18.236,"1.00","None"
76,"COMPLETED","Frontier","Frontier",26461,26461,26461,26542.6,5.20843e-05,0,81.5256,"1.00","None"
77,"COMPLETED","Frontier","Frontier",26627.6,26627.6,26627.6,26657.6,5.20843e-05,0,30.0358,"1.00","None"
