JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,1364.48,5.21287e-05,0,1364.48,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,4604.05,5.21287e-05,0,4604.05,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,1910.17,5.20843e-05,0,910.727,"1.00","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3620.48,5.20843e-05,0,20.4808,"1.00","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,6266.61,5.20843e-05,0,1555.42,"1.00","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,7779.12,5.20843e-05,0,1511.44,"1.00","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,11139.2,5.20843e-05,0,3963.65,"1.00","None"
8,"COMPLETED","Frontier","Frontier",9786.87,9786.87,12027.6,14382.2,5.20843e-05,2240.7,2354.59,"1.00","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10673.8,5.20843e-05,0,833.654,"1.00","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,12027.6,5.20843e-05,0,1670.2,"1.00","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,18492.5,5.20843e-05,0,7718.12,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,10929.6,5.20843e-05,0,129.6,"1.00","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,14382.2,16325.9,5.20843e-05,3542.83,1943.74,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,11310.8,11310.8,11436.8,5.20843e-05,0,126,"1.00","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,14382.2,15216.7,5.20843e-05,1661.99,834.565,"1.00","None"
16,"COMPLETED","Aurora","Aurora",13805.4,13805.4,13805.4,15585.2,5.20843e-05,0,1779.81,"1.00","None"
17,"COMPLETED","Frontier","Frontier",14996.3,14996.3,15216.7,16555.5,5.20843e-05,220.448,1338.74,"1.00","None"
18,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,17543.2,5.20843e-05,0,2235.52,"1.00","None"
19,"COMPLETED","Frontier","Frontier",15309.5,15309.5,16325.9,18584,5.20843e-05,1016.38,2258.05,"1.00","None"
20,"COMPLETED","Aurora","Aurora",15879,15879,15879,16496.9,5.20843e-05,0,617.885,"1.00","None"
21,"COMPLETED","Frontier","Frontier",15956,15956,16325.9,18261.1,5.20843e-05,369.935,1935.16,"1.00","None"
22,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,16829.8,5.20843e-05,0,731.25,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16555.5,19350.9,5.20843e-05,438.965,2795.47,"1.00","None"
24,"COMPLETED","Andes","Andes",16389.4,16389.4,16389.4,16423,5.20843e-05,0,33.6,"1.00","None"
25,"COMPLETED","Frontier","Frontier",16418.4,16418.4,17543.2,18350.9,5.20843e-05,1124.82,807.747,"1.00","None"
26,"COMPLETED","Crux","Crux",17089.4,17089.4,17089.4,17137.4,5.20843e-05,0,48,"1.00","None"
27,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17299.7,5.20843e-05,0,22.2115,"1.00","None"
28,"COMPLETED","Frontier","Frontier",17471.4,17471.4,18492.5,24554.4,5.20843e-05,1021.11,6061.86,"1.00","None"
29,"COMPLETED","Frontier","Frontier",17516,17516,17516,17969.8,5.20843e-05,0,453.754,"1.00","None"
30,"COMPLETED","Frontier","Frontier",18278.3,18278.3,18278.3,19398.2,5.20843e-05,0,1119.9,"1.00","None"
31,"COMPLETED","Andes","Andes",18382.1,18382.1,18382.1,18421.7,5.20843e-05,0,39.6,"1.00","None"
32,"COMPLETED","Andes","Andes",18638.6,18638.6,18638.6,22800.2,5.20843e-05,0,4161.6,"1.00","None"
33,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,22028.7,5.20843e-05,0,3366.15,"1.00","None"
34,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19942.6,5.20843e-05,0,1237.5,"1.00","None"
35,"COMPLETED","Frontier","Frontier",18835.7,18835.7,19350.9,20447.2,5.20843e-05,515.201,1096.31,"1.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19256,19256,19256,19341.2,5.20843e-05,0,85.2,"1.00","None"
37,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19297.1,19297.1,19297.1,19525.1,5.20843e-05,0,228,"1.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19522.7,19522.7,19522.7,20905.1,5.20843e-05,0,1382.4,"1.00","None"
39,"COMPLETED","Frontier","Frontier",19873.8,19873.8,19873.8,19902.8,5.20843e-05,0,28.9631,"1.00","None"
40,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,26259.2,5.20843e-05,0,6324.67,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20395.9,20395.9,20395.9,22061.5,5.20843e-05,0,1665.6,"1.00","None"
42,"COMPLETED","Andes","Andes",20685.9,20685.9,20685.9,20779.5,5.20843e-05,0,93.6,"1.00","None"
43,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20734.5,20734.5,20734.5,22154.1,5.20843e-05,0,1419.6,"1.00","None"
44,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,26627.3,5.20843e-05,0,5540.52,"1.00","None"
45,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,24140.9,5.20843e-05,0,2983.19,"1.00","None"
46,"COMPLETED","Aurora","Aurora",21488.7,21488.7,21488.7,22188.2,5.20843e-05,0,699.519,"1.00","None"
47,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,21867.2,5.20843e-05,0,364.038,"1.00","None"
