JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000587712,0.000587712,664.801,0.000587712,0,664.8,"0.00:0.92:0.84:0.00:0.00:0.88","None"
2,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000597712,0.000597712,76.8006,0.000597712,0,76.8,"0.81:0.80:0.74:0.70:0.89:0.80","None"
3,"COMPLETED","Frontier","Andes",999.441,999.442,999.442,1029.44,0.000594535,0,30,"0.95:0.70:0.72:0.86:0.76:0.78","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3689.42,0.000586535,0,89.4231,"0.00:0.82:0.96:0.00:0.00:0.85","None"
5,"COMPLETED","Frontier","Andes",4711.18,4711.18,4711.18,4748.38,0.000588535,0,37.2,"0.91:0.69:0.73:0.80:0.76:0.79","None"
6,"COMPLETED","Frontier","Aurora",7175.52,7175.52,7175.52,7759.08,0.000516352,0,583.558,"0.00:0.00:0.91:0.00:0.00:0.88","None"
7,"COMPLETED","Frontier","Aurora",9786.87,9786.87,9786.87,10215.2,0.000596535,0,428.365,"0.00:0.77:0.92:0.00:0.00:0.89","None"
8,"COMPLETED","Aurora","Perlmutter-Phase-2",9840.12,9840.12,9840.12,10370.5,0.000582392,0,530.4,"0.76:0.81:0.79:0.78:0.90:0.76","None"
9,"COMPLETED","Frontier","Perlmutter-Phase-1",10357.4,10357.4,10357.4,10469,0.000586535,0,111.6,"0.00:0.90:0.84:0.00:0.00:0.89","None"
10,"COMPLETED","Andes","Frontier",10774.4,10774.4,10774.4,11022.2,0.000658535,0,247.795,"0.85:0.72:0.73:0.77:0.77:0.88","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,10933.2,0.000597535,0,133.2,"0.00:0.94:0.84:0.00:0.00:0.85","None"
12,"COMPLETED","Frontier","Aurora",10839.3,10839.3,10839.3,10883.5,0.000579535,0,44.1346,"0.00:0.83:0.92:0.00:0.00:0.88","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,11310.8,11310.8,12480.8,0.000600535,0,1170,"0.00:0.93:0.85:0.00:0.00:0.86","None"
14,"COMPLETED","Frontier","Andes",12720.2,12720.2,12720.2,12890.6,0.000583535,0,170.4,"0.91:0.70:0.74:0.81:0.78:0.80","None"
15,"COMPLETED","Crux","Frontier",13805.4,13805.4,13805.4,13928.8,0.000628392,0,123.361,"0.75:0.70:0.79:0.76:0.77:0.84","None"
16,"COMPLETED","Frontier","Aurora",14996.3,14996.3,14996.3,15263.7,0.000594535,0,267.404,"0.00:0.76:0.91:0.00:0.00:0.88","None"
17,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,15417.1,0.000623535,0,109.416,"0.00:0.82:0.84:0.00:0.00:0.96","None"
18,"COMPLETED","Crux","Perlmutter-Phase-2",15879,15879,15879,16017,0.000593392,0,138,"0.76:0.81:0.79:0.78:0.89:0.75","None"
19,"COMPLETED","Frontier","Perlmutter-Phase-1",15956,15956,15956,16031.6,0.000596535,0,75.6,"0.00:0.90:0.84:0.00:0.00:0.88","None"
20,"COMPLETED","Crux","Frontier",16098.5,16098.5,16098.5,16120,0.000599519,0,21.4541,"0.73:0.69:0.77:0.76:0.75:0.83","None"
21,"COMPLETED","Frontier","Perlmutter-Phase-1",16116.5,16116.5,16116.5,16530.5,0.000586535,0,414,"0.00:0.92:0.84:0.00:0.00:0.89","None"
22,"COMPLETED","Andes","Frontier",16389.4,16389.4,16389.4,16430.2,0.000594535,0,40.7628,"0.82:0.70:0.73:0.71:0.77:0.88","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,16443,0.000661535,0,24.6722,"0.00:0.82:0.83:0.00:0.00:0.95","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",17067.7,17067.7,17067.7,17187.7,0.000595535,0,120,"0.00:0.96:0.84:0.00:0.00:0.84","None"
25,"COMPLETED","Crux","Frontier",17277.5,17277.5,17277.5,17402,0.000597519,0,124.434,"0.75:0.70:0.79:0.76:0.78:0.84","None"
26,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,18766.2,0.000593535,0,1294.76,"0.00:0.00:0.74:0.00:0.75:0.79","None"
27,"COMPLETED","Andes","Frontier",17516,17516,17516,17663,0.000601535,0,146.961,"0.80:0.70:0.73:0.69:0.76:0.89","None"
28,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,18420.7,0.000595535,0,38.6174,"0.83:0.71:0.73:0.73:0.77:0.88","None"
29,"COMPLETED","Andes","Andes",18662.5,18662.5,18662.5,18826.9,0.000597535,0,164.4,"0.94:0.71:0.74:0.85:0.78:0.80","None"
30,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,20551.5,0.000605535,0,1846.44,"0.00:0.79:0.96:0.00:0.00:0.85","None"
31,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",19256,19256,19256,19719.2,0.000656535,0,463.2,"0.00:0.70:0.74:0.00:0.80:0.75","None"
32,"COMPLETED","Perlmutter-Phase-2","Frontier",19297.1,19297.1,19297.1,19323.9,0.000589535,0,26.8176,"0.76:0.75:0.73:0.72:0.82:0.83","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",19522.7,19522.7,19522.7,19606.7,0.000599535,0,84,"0.74:0.84:0.74:0.69:0.93:0.75","None"
34,"COMPLETED","Frontier","Aurora",19873.8,19873.8,19873.8,20022.7,0.000594535,0,148.846,"0.00:0.83:0.93:0.00:0.00:0.89","None"
35,"COMPLETED","Perlmutter-Phase-1","Frontier",20395.9,20395.9,20395.9,20533.2,0.000595535,0,137.306,"0.00:0.87:0.84:0.00:0.00:0.92","None"
36,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,20704.2,0.000596535,0,18.236,"0.00:0.81:0.83:0.00:0.00:0.96","None"
37,"COMPLETED","Perlmutter-Phase-2","Andes",20734.5,20734.5,20734.5,20765.7,0.000600535,0,31.2,"0.86:0.75:0.73:0.82:0.83:0.74","None"
38,"COMPLETED","Andes","Andes",21086.8,21086.8,21086.8,21269.2,0.000603535,0,182.4,"0.96:0.72:0.73:0.89:0.77:0.79","None"
39,"COMPLETED","Frontier","Aurora",21157.7,21157.7,21157.7,21278.3,0.000580535,0,120.577,"0.00:0.82:0.93:0.00:0.00:0.89","None"
40,"COMPLETED","Aurora","Frontier",21488.7,21488.7,21488.7,21506.9,0.000585535,0,18.236,"0.77:0.70:0.76:0.82:0.75:0.82","None"
41,"COMPLETED","Aurora","Perlmutter-Phase-1",21503.2,21503.2,21503.2,22294,0.000583535,0,790.8,"0.00:0.90:0.89:0.00:0.00:0.85","None"
42,"COMPLETED","Andes","Frontier",21648.4,21648.4,21648.4,21846.9,0.000591712,0,198.451,"0.79:0.69:0.73:0.68:0.76:0.89","None"
43,"COMPLETED","Aurora","Perlmutter-Phase-1",21678,21678,21678,21783.6,0.000585535,0,105.6,"0.00:0.90:0.88:0.00:0.00:0.85","None"
44,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,21986,0.000599535,0,59.4231,"0.00:0.82:0.96:0.00:0.00:0.85","None"
45,"COMPLETED","Frontier","Frontier",22430.9,22430.9,22430.9,23537.9,0.000604535,0,1107.03,"0.00:0.00:0.84:0.00:0.00:0.95","None"
46,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,23091.1,0.000597535,0,588.75,"0.00:0.77:0.96:0.00:0.00:0.85","None"
47,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22774.1,0.000600535,0,207.404,"0.00:0.83:0.96:0.00:0.00:0.86","None"
48,"COMPLETED","Aurora","Perlmutter-Phase-2",22684.6,22684.6,22684.6,22793.8,0.000594535,0,109.2,"0.76:0.82:0.77:0.82:0.89:0.72","None"
49,"COMPLETED","Frontier","Aurora",22797.5,22797.5,22797.5,22835,0.000598535,0,37.5,"0.00:0.82:0.92:0.00:0.00:0.89","None"
50,"COMPLETED","Frontier","Andes",22978.5,22978.5,22978.5,23312.1,0.000606535,0,333.6,"0.94:0.72:0.74:0.85:0.78:0.80","None"
51,"COMPLETED","Frontier","Perlmutter-Phase-1",23547.7,23547.7,23547.7,23745.7,0.000595535,0,198,"0.00:0.91:0.84:0.00:0.00:0.88","None"
52,"COMPLETED","Frontier","Andes",23872.7,23872.7,23872.7,24165.5,0.000603535,0,292.8,"0.92:0.71:0.75:0.81:0.78:0.80","None"
53,"COMPLETED","Perlmutter-Phase-2","Frontier",24149,24149,24149,28549.3,0.000610535,0,4400.24,"0.00:0.00:0.75:0.00:0.80:0.83","None"
54,"COMPLETED","Aurora","Perlmutter-Phase-1",24162.6,24162.6,24162.6,24881.4,0.000596535,0,718.8,"0.00:0.90:0.89:0.00:0.00:0.85","None"
55,"COMPLETED","Andes","Perlmutter-Phase-2",24441.8,24441.8,24441.8,24641,0.000595535,0,199.2,"0.80:0.80:0.73:0.69:0.89:0.79","None"
56,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,25554.1,0.000594535,0,841.731,"0.00:0.00:0.91:0.00:0.00:0.80","None"
57,"COMPLETED","Andes","Perlmutter-Phase-2",24770.3,24770.3,24770.3,25023.5,0.000600519,0,253.2,"0.82:0.81:0.74:0.71:0.90:0.80","None"
58,"COMPLETED","Frontier","Perlmutter-Phase-1",24811,24811,24811,25417,0.000604535,0,606,"0.00:0.92:0.84:0.00:0.00:0.89","None"
59,"COMPLETED","Perlmutter-Phase-2","Frontier",25149.3,25149.3,25149.3,25166.4,0.000597712,0,17.1633,"0.75:0.75:0.72:0.70:0.82:0.83","None"
60,"COMPLETED","Frontier","Perlmutter-Phase-1",25195.5,25195.5,25195.5,25333.5,0.000606535,0,138,"0.00:0.90:0.84:0.00:0.00:0.89","None"
61,"COMPLETED","Frontier","Frontier",25283.4,25283.4,25283.4,25413.2,0.000607535,0,129.797,"0.00:0.82:0.83:0.00:0.00:0.96","None"
62,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25299.9,25299.9,25299.9,26101.5,0.000602535,0,801.6,"0.78:0.86:0.75:0.74:0.96:0.76","None"
63,"COMPLETED","Perlmutter-Phase-1","Frontier",25332.3,25332.3,25332.3,25380.6,0.000590535,0,48.2718,"0.00:0.86:0.82:0.00:0.00:0.91","None"
