JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.000235497,0.000235497,7.21177,0.000235497,0,7.21154,"0.30:0.02:0.92:0.18:0.43:0.66","None"
2,"COMPLETED","Frontier","Frontier",0,0.000235599,0.000235599,1662.69,0.000235599,0,1662.69,"0.41:0.36:0.75:0.05:0.44:0.90","None"
3,"COMPLETED","Andes","Andes",999.441,999.441,999.441,1022.24,0.000234889,0,22.8,"0.91:0.37:0.47:0.30:0.06:0.30","None"
4,"REJECTED","Aurora","Crux",3600,-1,-1,3600,0.000234889,-1,-1,"0.17:0.47:0.82:0.90:0.60:0.48","Job requires more nodes than the System has"
5,"REJECTED","Frontier","Crux",4711.18,-1,-1,4711.18,0.000234737,-1,-1,"0.13:0.34:0.92:0.95:0.18:0.76","Job requires more nodes than the System has"
6,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7488.75,0.000234889,0,313.23,"0.93:0.60:0.65:0.53:0.60:0.95","None"
7,"COMPLETED","Frontier","Perlmutter-Phase-2",9786.87,9786.87,9786.87,9903.27,0.000234839,0,116.4,"0.42:0.11:0.13:0.03:0.76:0.29","None"
8,"REJECTED","Aurora","Andes",9840.12,-1,-1,9840.12,0.000235244,-1,-1,"0.84:0.44:0.74:0.26:0.30:0.25","Job requires more nodes than the System has"
9,"COMPLETED","Frontier","Aurora",10357.4,10357.4,10357.4,10373.8,0.000234839,0,16.4423,"0.41:0.44:0.71:0.37:0.13:0.20","None"
10,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,10814.1,0.000234889,0,39.6901,"0.89:0.80:0.75:0.60:0.70:0.91","None"
11,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",10800,-1,-1,10800,0.000234696,-1,-1,"0.94:0.94:0.11:0.11:0.96:0.51","Job requires GPU while System has none"
12,"COMPLETED","Andes","Aurora",10839.3,10839.3,10839.3,10864.1,0.000234839,0,24.8077,"0.65:0.84:0.97:0.07:0.56:0.81","None"
13,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",11310.8,-1,-1,11310.8,0.000234696,-1,-1,"0.73:0.98:0.92:0.10:0.99:0.56","Job requires GPU while System has none"
14,"REJECTED","Frontier","Perlmutter-Phase-2",12720.2,-1,-1,12720.2,0.000234839,-1,-1,"0.29:0.60:0.85:0.74:0.87:0.16","Job requires more nodes than the System has"
15,"COMPLETED","Crux","Crux",13805.4,13805.4,13805.4,13869,0.000234889,0,63.6,"0.78:0.46:0.51:0.95:0.87:0.32","None"
16,"COMPLETED","Andes","Aurora",14996.3,14996.3,14996.3,15981.1,0.000234839,0,984.808,"0.53:0.63:0.98:0.17:0.27:0.43","None"
17,"REJECTED","Frontier","Perlmutter-Phase-2",15307.7,-1,-1,15307.7,0.000234839,-1,-1,"0.08:0.68:0.36:0.35:0.81:0.73","Job requires GPU while System has none"
18,"REJECTED","Aurora","Andes",15879,-1,-1,15879,0.000235244,-1,-1,"0.98:0.50:0.43:0.96:0.32:0.61","Job requires more nodes than the System has"
19,"COMPLETED","Andes","Aurora",15956,15956,15956,16104.2,0.000234839,0,148.269,"0.84:0.34:0.86:0.80:0.13:0.21","None"
