JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000241756,0.000241756,2583.08,0.000241756,0,2583.08,"0.00:0.00:0.00:0.00:0.00:0.97","None"
2,"COMPLETED","Frontier","Frontier",0,0.000285712,0.000285712,882.837,0.000285712,0,882.837,"0.00:0.00:0.94:0.00:0.00:0.96","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,2472.27,0.000244535,0,1472.82,"0.00:0.00:0.00:0.00:0.00:0.84","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,4519.9,0.000266535,0,919.904,"0.00:0.00:0.98:0.00:0.00:0.96","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,6186.15,0.000241535,0,1474.97,"0.00:0.00:0.00:0.00:0.00:0.99","None"
6,"COMPLETED","Frontier","Aurora",6267.68,6267.68,6267.68,6478.84,0.000241535,0,211.154,"0.00:0.00:0.95:0.00:0.00:0.92","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,8443.46,0.000267535,0,1267.94,"0.00:0.00:0.99:0.00:0.00:0.99","None"
8,"COMPLETED","Frontier","Frontier",9786.87,9786.87,9786.87,10602.1,0.000244535,0,815.256,"0.00:0.00:0.00:0.00:0.00:0.98","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10934,0.000267535,0,1093.85,"0.00:0.00:0.99:0.00:0.00:0.84","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,12492.1,0.000243561,0,2134.68,"0.00:0.00:0.00:0.00:0.00:0.85","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,14425.9,0.000243535,0,3651.49,"0.00:0.00:0.00:0.00:0.00:0.86","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,13839.6,0.000267535,0,3039.6,"0.00:0.00:0.67:0.00:0.93:0.79","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,11719,0.000243712,0,879.619,"0.00:0.00:0.00:0.00:0.00:0.75","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",11310.8,11310.8,11310.8,11527.4,0.000246712,0,216.635,"0.00:0.95:0.95:0.00:0.00:0.43","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,14222,0.000253535,0,1501.79,"0.00:0.00:0.00:0.00:0.00:0.90","None"
16,"COMPLETED","Aurora","Aurora",13805.4,13805.4,13805.4,14049.5,0.000243535,0,244.038,"0.00:0.00:0.95:0.00:0.00:0.00","None"
17,"COMPLETED","Andes","Aurora",14996.3,14996.3,14996.3,15239.5,0.000255392,0,243.173,"0.93:0.95:0.99:0.00:0.92:0.98","None"
18,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,17020.8,0.000250535,0,1713.11,"0.00:0.00:0.93:0.00:0.00:0.94","None"
19,"COMPLETED","Aurora","Aurora",15879,15879,15879,16124.2,0.000286535,0,245.192,"0.00:0.00:1.00:0.00:0.00:0.88","None"
20,"COMPLETED","Frontier","Frontier",15956,15956,15956,17594,0.000256535,0,1638.02,"0.00:0.00:0.70:0.00:0.00:0.88","None"
21,"COMPLETED","Aurora","Frontier",16098.5,16098.5,16098.5,20114.7,0.000243712,0,4016.21,"0.00:0.00:0.75:0.00:0.00:0.83","None"
22,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,20069.4,0.000243535,0,3952.92,"0.00:0.00:0.00:0.00:0.00:0.73","None"
23,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,20562.3,0.000240712,0,4172.82,"0.00:0.00:0.00:0.00:0.00:0.70","None"
24,"COMPLETED","Andes","Aurora",16418.4,16418.4,16418.4,16883.9,0.000255392,0,465.577,"0.93:0.95:0.98:0.00:0.92:0.56","None"
25,"COMPLETED","Aurora","Aurora",17089.4,17089.4,17089.4,18687.4,0.000286535,0,1598.08,"0.00:0.00:0.97:0.00:0.00:0.59","None"
26,"COMPLETED","Aurora","Perlmutter-Phase-1",17277.5,17277.5,17277.5,21071.9,0.000268535,0,3794.4,"0.00:0.95:0.80:0.00:0.00:0.64","None"
27,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,19640.4,0.000243712,0,2169.01,"0.00:0.00:0.00:0.00:0.00:0.64","None"
28,"COMPLETED","Frontier","Aurora",17516,17516,17516,17798.1,0.000240535,0,282.115,"0.00:0.00:0.82:0.00:0.00:0.52","None"
29,"COMPLETED","Frontier","Aurora",18278.3,18278.3,18278.3,18552.9,0.000241535,0,274.615,"0.00:0.00:0.81:0.00:0.00:0.56","None"
30,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,22183.8,0.000241535,0,3801.67,"0.00:0.00:0.00:0.00:0.00:0.51","None"
31,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,19320.8,0.000241579,0,682.241,"0.00:0.00:0.00:0.00:0.00:0.45","None"
32,"COMPLETED","Frontier","Frontier",18662.5,18662.5,20718.6,23591.3,0.000243535,2056.08,2872.71,"0.00:0.00:0.00:0.00:0.00:0.13","None"
33,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19175.3,0.000266535,0,470.192,"0.00:0.00:0.96:0.00:0.00:0.12","None"
34,"COMPLETED","Frontier","Frontier",18835.7,18835.7,19320.8,20718.6,0.000241712,485.111,1397.74,"0.00:0.00:0.00:0.00:0.00:0.14","None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora",19256,19256,19256,20064.5,0.000249712,0,808.558,"0.00:0.43:0.92:0.00:0.00:0.08","None"
36,"COMPLETED","Perlmutter-Phase-1","Aurora",19297.1,19297.1,19297.1,19526.7,0.000283712,0,229.615,"0.00:0.71:0.86:0.00:0.00:0.07","None"
37,"COMPLETED","Perlmutter-Phase-1","Aurora",19522.7,19522.7,19522.7,20330.6,0.000269535,0,807.981,"0.00:0.43:0.88:0.00:0.00:0.16","None"
38,"COMPLETED","Frontier","Frontier",19873.8,19873.8,20069.4,20907.2,0.000244535,195.58,837.783,"0.00:0.00:0.00:0.00:0.00:0.27","None"
39,"COMPLETED","Frontier","Frontier",19934.5,19934.5,20907.2,24993.1,0.000245535,972.686,4085.94,"0.00:0.00:0.00:0.00:0.00:0.26","None"
40,"COMPLETED","Perlmutter-Phase-2","Aurora",20395.9,20395.9,20395.9,20609.1,0.000271535,0,213.173,"0.00:0.00:0.97:0.00:0.93:0.53","None"
41,"COMPLETED","Frontier","Aurora",20685.9,20685.9,20685.9,21119.8,0.000240535,0,433.846,"0.00:0.00:0.93:0.00:0.00:0.62","None"
42,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20734.5,20734.5,20734.5,24225.3,0.000248535,0,3490.8,"0.00:0.70:0.91:0.00:0.93:0.07","None"
43,"COMPLETED","Frontier","Frontier",21086.8,21086.8,23591.3,27096.9,0.000244535,2504.54,3505.6,"0.00:0.00:0.00:0.00:0.00:0.14","None"
44,"COMPLETED","Frontier","Aurora",21157.7,21157.7,21157.7,21439,0.000244535,0,281.25,"0.00:0.00:0.93:0.00:0.00:0.41","None"
45,"COMPLETED","Aurora","Aurora",21488.7,21488.7,21488.7,22237.6,0.000240495,0,748.846,"0.00:0.00:0.96:0.00:0.00:0.00","None"
46,"COMPLETED","Aurora","Frontier",21503.2,21503.2,22183.8,23421.7,0.000240712,680.59,1237.9,"0.00:0.00:0.09:0.00:0.00:0.13","None"
47,"COMPLETED","Frontier","Frontier",21648.4,21648.4,23421.7,24050.3,0.000241535,1773.29,628.605,"0.00:0.00:0.00:0.00:0.00:0.10","None"
48,"COMPLETED","Aurora","Frontier",21678,21678,23591.3,27183.8,0.000240712,1913.33,3592.49,"0.00:0.00:0.10:0.00:0.00:0.10","None"
49,"COMPLETED","Aurora","Frontier",21926.6,21926.6,23591.3,25267.9,0.000244535,1664.7,1676.64,"0.00:0.00:0.10:0.00:0.00:0.11","None"
50,"COMPLETED","Frontier","Frontier",22430.9,22430.9,24050.3,27774.7,0.000241569,1619.41,3724.43,"0.00:0.00:0.00:0.00:0.00:0.06","None"
51,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,22818,0.000286535,0,315.577,"0.00:0.00:1.00:0.00:0.00:0.04","None"
52,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,23074.4,0.000248535,0,507.692,"0.00:0.00:0.83:0.00:0.00:0.05","None"
53,"COMPLETED","Aurora","Aurora",22684.6,22684.6,22684.6,23896.4,0.000271535,0,1211.83,"0.00:0.00:0.71:0.00:0.00:0.10","None"
54,"COMPLETED","Frontier","Aurora",22797.5,22797.5,22797.5,23979,0.000241476,0,1181.54,"0.00:0.00:0.43:0.00:0.00:0.06","None"
55,"COMPLETED","Frontier","Frontier",22978.5,22978.5,24993.1,32005.4,0.000241712,2014.62,7012.28,"0.00:0.00:0.00:0.00:0.00:0.06","None"
56,"COMPLETED","Frontier","Frontier",23547.7,23547.7,153614,154458,0.000243535,130066,844.219,"0.00:0.00:0.00:0.00:0.00:0.05","None"
57,"COMPLETED","Frontier","Frontier",23872.7,23872.7,27096.9,29734.7,0.000245535,3224.21,2637.78,"0.00:0.00:0.00:0.00:0.00:0.11","None"
58,"COMPLETED","Aurora","Aurora",24025,24025,24025,24290.4,0.000251535,0,265.385,"0.00:0.00:0.93:0.00:0.00:0.07","None"
59,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",24149,24149,24149,26765,0.000272535,0,2616,"0.00:0.94:0.87:0.00:0.76:0.11","None"
60,"COMPLETED","Aurora","Aurora",24162.6,24162.6,24290.4,25596.9,0.000243535,127.806,1306.44,"0.00:0.00:0.56:0.00:0.00:0.00","None"
61,"COMPLETED","Frontier","Frontier",24237.6,24237.6,113880,118212,0.000241579,89642,4332.66,"0.00:0.00:0.00:0.00:0.00:0.10","None"
62,"COMPLETED","Frontier","Frontier",24441.8,24441.8,27183.8,28502.1,0.000241535,2741.97,1318.36,"0.00:0.00:0.00:0.00:0.00:0.06","None"
63,"COMPLETED","Aurora","Aurora",24712.4,24712.4,25596.9,26095.9,0.000286535,884.472,499.038,"0.00:0.00:0.10:0.00:0.00:0.07","None"
64,"COMPLETED","Frontier","Frontier",24770.3,24770.3,25267.9,26369.6,0.000286535,497.639,1101.67,"0.00:0.00:0.05:0.00:0.00:0.10","None"
65,"COMPLETED","Frontier","Frontier",24811,24811,122362,125461,0.000249535,97550.6,3099.05,"0.00:0.00:0.00:0.00:0.00:0.11","None"
66,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25149.3,25149.3,25149.3,26408.1,0.000246499,0,1258.8,"0.00:0.75:0.05:0.00:0.92:0.06","None"
67,"COMPLETED","Frontier","Frontier",25195.5,25195.5,34969.4,41575.1,0.000244535,9773.97,6605.72,"0.00:0.00:0.00:0.00:0.00:0.06","None"
68,"COMPLETED","Frontier","Frontier",25283.4,25283.4,26369.6,27684.7,0.000250535,1086.16,1315.14,"0.00:0.00:0.00:0.00:0.00:0.11","None"
69,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25299.9,25299.9,26408.1,26872.5,0.000246499,1108.15,464.4,"0.00:0.00:0.05:0.00:0.67:0.11","None"
