JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,3778.07,5.21287e-05,0,3778.07,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,626.46,5.21287e-05,0,626.46,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,5506.95,5.20843e-05,0,4507.51,"1.00","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3813.17,5.20843e-05,0,213.173,"1.00","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,6682.82,5.20843e-05,0,1971.63,"1.00","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,7749.09,5.20843e-05,0,1481.41,"1.00","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7749.09,8583.65,5.20843e-05,573.565,834.565,"1.00","None"
8,"COMPLETED","Frontier","Frontier",9786.87,9786.87,9786.87,10701.9,5.20843e-05,0,915.018,"1.00","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10254.6,5.20843e-05,0,414.519,"1.00","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,11599.6,5.20843e-05,0,1242.19,"1.00","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,11796.7,5.20843e-05,0,1022.29,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,12315.6,5.20843e-05,0,1515.6,"1.00","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,11324.2,5.20843e-05,0,484.863,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,11310.8,12315.6,14812.8,5.20843e-05,1004.82,2497.2,"1.00","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,15251.8,5.20843e-05,0,2531.59,"1.00","None"
16,"COMPLETED","Aurora","Aurora",13805.4,13805.4,13805.4,14103.7,5.20843e-05,0,298.269,"1.00","None"
17,"COMPLETED","Frontier","Frontier",14996.3,14996.3,14996.3,17231.8,5.20843e-05,0,2235.52,"1.00","None"
18,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,16115.4,5.20843e-05,0,807.747,"1.00","None"
19,"COMPLETED","Aurora","Aurora",15879,15879,15879,16267.6,5.20843e-05,0,388.558,"1.00","None"
20,"COMPLETED","Frontier","Frontier",15956,15956,15956,18126.1,5.20843e-05,0,2170.08,"1.00","None"
21,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,17087.4,5.20843e-05,0,988.846,"1.00","None"
22,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,17106.6,5.20843e-05,0,990.107,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,16858.2,5.20843e-05,0,468.772,"1.00","None"
24,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,17269,5.20843e-05,0,850.656,"1.00","None"
25,"COMPLETED","Aurora","Aurora",17089.4,17089.4,17089.4,18942.4,5.20843e-05,0,1853.08,"1.00","None"
26,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,18151.3,5.20843e-05,0,873.75,"1.00","None"
27,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,22123.7,5.20843e-05,0,4652.32,"1.00","None"
28,"COMPLETED","Frontier","Frontier",17516,17516,17516,23292.5,5.20843e-05,0,5776.52,"1.00","None"
29,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,18963.5,5.20843e-05,0,581.406,"1.00","None"
30,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,19758.5,5.20843e-05,0,1119.9,"1.00","None"
31,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,20057,5.20843e-05,0,1394.52,"1.00","None"
32,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19063.7,5.20843e-05,0,358.558,"1.00","None"
33,"COMPLETED","Frontier","Frontier",18835.7,18835.7,18835.7,20725.8,5.20843e-05,0,1890.11,"1.00","None"
34,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",19256,19256,19256,24795.2,5.20843e-05,0,5539.2,"1.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19297.1,19297.1,19297.1,20279.9,5.20843e-05,0,982.8,"1.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19522.7,19522.7,20279.9,25065.5,5.20843e-05,757.272,4785.6,"1.00","None"
37,"COMPLETED","Frontier","Frontier",19873.8,19873.8,19873.8,20939,5.20843e-05,0,1065.2,"1.00","None"
38,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,21120.9,5.20843e-05,0,1186.41,"1.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20395.9,20395.9,20395.9,22726.3,5.20843e-05,0,2330.4,"1.00","None"
40,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,22523.5,5.20843e-05,0,1837.54,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20734.5,20734.5,22726.3,23677.9,5.20843e-05,1991.82,951.6,"1.00","None"
42,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,22583.2,5.20843e-05,0,1496.42,"1.00","None"
43,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,27942.6,5.20843e-05,0,6784.86,"1.00","None"
44,"COMPLETED","Aurora","Aurora",21488.7,21488.7,21488.7,21743.7,5.20843e-05,0,255,"1.00","None"
45,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21743.7,22259.5,5.20843e-05,240.505,515.769,"1.00","None"
46,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,24309.8,5.20843e-05,0,2661.38,"1.00","None"
47,"COMPLETED","Aurora","Aurora",21678,21678,21678,22408.9,5.20843e-05,0,730.962,"1.00","None"
48,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,22843.6,5.20843e-05,0,917.019,"1.00","None"
49,"COMPLETED","Frontier","Frontier",22430.9,22430.9,22430.9,23330.9,5.20843e-05,0,900,"1.00","None"
50,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,22815.7,5.20843e-05,0,313.269,"1.00","None"
51,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22933.9,5.20843e-05,0,367.212,"1.00","None"
52,"COMPLETED","Aurora","Aurora",22684.6,22684.6,22684.6,23051.5,5.20843e-05,0,366.923,"1.00","None"
53,"COMPLETED","Frontier","Frontier",22797.5,22797.5,22797.5,24962.2,5.20843e-05,0,2164.72,"1.00","None"
54,"COMPLETED","Frontier","Frontier",22978.5,22978.5,22978.5,24134.9,5.20843e-05,0,1156.38,"1.00","None"
55,"COMPLETED","Frontier","Frontier",23547.7,23547.7,23547.7,27010.4,5.20843e-05,0,3462.69,"1.00","None"
56,"COMPLETED","Frontier","Frontier",23872.7,23872.7,24134.9,27239.3,5.20843e-05,262.224,3104.41,"1.00","None"
57,"COMPLETED","Aurora","Aurora",24025,24025,24025,24852.1,5.20843e-05,0,827.019,"1.00","None"
58,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24149,24149,24795.2,27095.6,5.20843e-05,646.124,2300.4,"1.00","None"
59,"COMPLETED","Aurora","Aurora",24162.6,24162.6,24162.6,24514,5.20843e-05,0,351.346,"1.00","None"
60,"COMPLETED","Frontier","Frontier",24237.6,24237.6,24962.2,25793.5,5.20843e-05,724.549,831.347,"1.00","None"
61,"COMPLETED","Frontier","Frontier",24441.8,24441.8,135693,137009,5.20843e-05,111251,1316.21,"1.00","None"
62,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,25315,5.20843e-05,0,602.596,"1.00","None"
63,"COMPLETED","Frontier","Frontier",24770.3,24770.3,24770.3,26487.7,5.20843e-05,0,1717.4,"1.00","None"
64,"COMPLETED","Frontier","Frontier",24811,24811,27239.3,31355.3,5.20843e-05,2428.35,4115.97,"1.00","None"
65,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25149.3,25149.3,27095.6,27597.2,5.20843e-05,1946.28,501.6,"1.00","None"
66,"COMPLETED","Frontier","Frontier",25195.5,25195.5,27239.3,31088.2,5.20843e-05,2043.86,3848.87,"1.00","None"
67,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25299.9,25299.9,27095.6,27603.2,5.20843e-05,1795.63,507.6,"1.00","None"
68,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25332.3,25332.3,27603.2,29687.6,5.20843e-05,2270.86,2084.4,"1.00","None"
69,"COMPLETED","Aurora","Aurora",25620.4,25620.4,25620.4,26212.9,5.20843e-05,0,592.5,"1.00","None"
70,"COMPLETED","Aurora","Aurora",25674.5,25674.5,26222.6,26463.2,5.20843e-05,548.09,240.577,"1.00","None"
71,"COMPLETED","Frontier","Frontier",25691.2,25691.2,25691.2,31364.7,5.20843e-05,0,5673.54,"1.00","None"
