JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000235497,0.000235497,-1,-1,"0.09:0.66:0.50:0.40:0.52:0.53","Job requires more nodes than the System has"
2,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000235497,0.000235497,-1,-1,"0.32:0.93:0.01:0.65:0.58:0.77","Job requires more nodes than the System has"
3,"REJECTED","Frontier","Perlmutter-Phase-1",999.441,-1,-1,999.441,0.000234839,-1,-1,"0.39:0.93:0.84:0.44:0.89:0.75","Job requires more nodes than the System has"
4,"REJECTED","Aurora","Andes",3600,-1,-1,3600,0.000235244,-1,-1,"0.54:0.18:0.37:0.46:0.41:0.07","Job requires more nodes than the System has"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,6186.15,0.000234889,0,1474.97,"0.60:0.35:0.04:0.26:0.38:0.74","None"
6,"REJECTED","Frontier","Perlmutter-Phase-1",6267.68,-1,-1,6267.68,0.000234839,-1,-1,"0.32:0.95:0.01:0.32:0.13:0.03","Job requires more nodes than the System has"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,8443.46,0.000234889,0,1267.94,"0.11:0.77:0.45:0.15:0.61:0.85","None"
8,"REJECTED","Frontier","Perlmutter-Phase-1",9786.87,-1,-1,9786.87,0.000234839,-1,-1,"0.05:0.66:0.09:0.51:0.40:0.39","Job requires more nodes than the System has"
9,"REJECTED","Aurora","Crux",9840.12,-1,-1,9840.12,0.000234889,-1,-1,"0.81:0.37:0.93:0.95:0.64:0.71","Job requires more nodes than the System has"
10,"REJECTED","Frontier","Perlmutter-Phase-2",10357.4,-1,-1,10357.4,0.000234839,-1,-1,"0.05:0.75:0.18:0.45:0.93:0.02","Job requires more nodes than the System has"
11,"REJECTED","Frontier","Crux",10774.4,-1,-1,10774.4,0.000234737,-1,-1,"0.63:0.86:0.13:0.94:0.78:0.94","Job requires more nodes than the System has"
12,"COMPLETED","Perlmutter-Phase-2","Frontier",10800,10800,10800,13517.2,0.000235244,0,2717.16,"0.59:0.75:0.66:0.58:0.13:0.86","None"
13,"REJECTED","Frontier","Perlmutter-Phase-1",10839.3,-1,-1,10839.3,0.000234839,-1,-1,"0.76:0.82:0.48:0.68:0.51:0.18","Job requires more nodes than the System has"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",11310.8,11310.8,11310.8,11527.4,0.000235244,0,216.635,"0.10:0.28:0.55:0.06:0.44:0.20","None"
15,"REJECTED","Frontier","Andes",12720.2,-1,-1,12720.2,0.000234889,-1,-1,"0.98:0.12:0.03:0.06:0.74:0.47","Job requires more nodes than the System has"
16,"REJECTED","Aurora","Perlmutter-Phase-1",13805.4,-1,-1,13805.4,0.000235244,-1,-1,"0.49:0.92:0.68:0.69:0.05:0.19","Job requires more nodes than the System has"
17,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,16007.9,0.000234889,0,1011.6,"0.92:0.71:0.19:0.65:0.05:0.90","None"
18,"COMPLETED","Frontier","Aurora",15307.7,15307.7,15307.7,15768.3,0.000234839,0,460.673,"0.55:0.20:0.88:0.57:0.27:0.83","None"
19,"REJECTED","Aurora","Perlmutter-Phase-1",15879,-1,-1,15879,0.000235244,-1,-1,"0.69:0.73:0.63:0.56:0.62:0.40","Job requires more nodes than the System has"
20,"REJECTED","Frontier","Crux",15956,-1,-1,15956,0.000234737,-1,-1,"0.24:0.46:0.66:0.67:0.64:0.43","Job requires more nodes than the System has"
21,"REJECTED","Aurora","Crux",16098.5,-1,-1,16098.5,0.000234889,-1,-1,"0.42:0.46:0.45:0.86:0.68:0.53","Job requires more nodes than the System has"
22,"REJECTED","Frontier","Crux",16116.5,-1,-1,16116.5,0.000234737,-1,-1,"0.74:0.04:0.85:0.95:0.71:0.03","Job requires more nodes than the System has"
23,"REJECTED","Frontier","Aurora",16389.4,-1,-1,16389.4,0.000234839,-1,-1,"0.32:0.18:1.00:0.13:0.73:0.33","Job requires more nodes than the System has"
24,"COMPLETED","Andes","Perlmutter-Phase-1",16418.4,16418.4,16418.4,18355.2,0.000234839,0,1936.8,"0.19:0.85:0.79:0.56:0.50:0.40","None"
25,"REJECTED","Aurora","Andes",17089.4,-1,-1,17089.4,0.000235244,-1,-1,"0.99:0.48:0.93:0.44:0.31:0.02","Job requires more nodes than the System has"
26,"COMPLETED","Aurora","Frontier",17277.5,17277.5,17277.5,20669.4,0.000235244,0,3391.9,"0.35:0.36:0.01:0.23:0.58:0.70","None"
